date,K,K_EPS,PE Ratio
1973-02-21,1.81,,
1973-02-22,1.83,,
1973-02-23,1.77,,
1973-02-26,1.73,,
1973-02-27,1.76,,
1973-02-28,1.78,,
1973-03-01,1.83,,
1973-03-02,1.82,,
1973-03-05,1.81,,
1973-03-06,1.81,,
1973-03-07,1.81,,
1973-03-08,1.81,,
1973-03-09,1.8,,
1973-03-12,1.8,,
1973-03-13,1.8,,
1973-03-14,1.77,,
1973-03-15,1.77,,
1973-03-16,1.8,,
1973-03-19,1.83,,
1973-03-20,1.85,,
1973-03-21,1.82,,
1973-03-22,1.78,,
1973-03-23,1.84,,
1973-03-26,1.84,,
1973-03-27,1.89,,
1973-03-28,1.89,,
1973-03-29,1.91,,
1973-03-30,1.96,,
1973-04-02,1.97,,
1973-04-03,1.99,,
1973-04-04,1.95,,
1973-04-05,2.02,,
1973-04-06,1.97,,
1973-04-09,1.99,,
1973-04-10,1.98,,
1973-04-11,1.98,,
1973-04-12,1.95,,
1973-04-13,1.97,,
1973-04-16,1.99,,
1973-04-17,2.02,,
1973-04-18,2.0,,
1973-04-19,2.0,,
1973-04-23,1.99,,
1973-04-24,1.99,,
1973-04-25,1.98,,
1973-04-26,1.95,,
1973-04-27,1.92,,
1973-04-30,1.95,,
1973-05-01,1.92,,
1973-05-02,1.98,,
1973-05-03,2.06,,
1973-05-04,2.17,,
1973-05-07,2.08,,
1973-05-08,2.13,,
1973-05-09,2.09,,
1973-05-10,2.08,,
1973-05-11,2.13,,
1973-05-14,2.09,,
1973-05-15,2.05,,
1973-05-16,2.02,,
1973-05-17,2.0,,
1973-05-18,1.97,,
1973-05-21,2.02,,
1973-05-22,2.05,,
1973-05-23,2.03,,
1973-05-24,2.05,,
1973-05-25,2.03,,
1973-05-29,2.05,,
1973-05-30,1.97,,
1973-05-31,1.88,,
1973-06-01,1.94,,
1973-06-04,1.91,,
1973-06-05,1.91,,
1973-06-06,1.98,,
1973-06-07,2.0,,
1973-06-08,2.08,,
1973-06-11,2.06,,
1973-06-12,2.06,,
1973-06-13,2.06,,
1973-06-14,1.97,,
1973-06-15,1.92,,
1973-06-18,1.95,,
1973-06-19,1.95,,
1973-06-20,1.97,,
1973-06-21,1.97,,
1973-06-22,2.0,,
1973-06-25,1.97,,
1973-06-26,1.84,,
1973-06-27,1.7,,
1973-06-28,1.77,,
1973-06-29,1.77,,
1973-07-02,1.73,,
1973-07-03,1.81,,
1973-07-05,1.75,,
1973-07-06,1.73,,
1973-07-09,1.73,,
1973-07-10,1.77,,
1973-07-11,1.8,,
1973-07-12,1.73,,
1973-07-13,1.73,,
1973-07-16,1.81,,
1973-07-17,1.75,,
1973-07-18,1.7,,
1973-07-19,1.75,,
1973-07-20,1.86,,
1973-07-23,1.81,,
1973-07-24,1.81,,
1973-07-25,1.78,,
1973-07-26,1.84,,
1973-07-27,1.81,,
1973-07-30,1.8,,
1973-07-31,1.78,,
1973-08-01,1.78,,
1973-08-02,1.8,,
1973-08-03,1.81,,
1973-08-06,1.84,,
1973-08-07,1.75,,
1973-08-08,1.73,,
1973-08-09,1.73,,
1973-08-10,1.73,,
1973-08-13,1.7,,
1973-08-14,1.73,,
1973-08-15,1.77,,
1973-08-16,1.75,,
1973-08-17,1.75,,
1973-08-20,1.75,,
1973-08-21,1.73,,
1973-08-22,1.73,,
1973-08-23,1.73,,
1973-08-24,1.75,,
1973-08-27,1.73,,
1973-08-28,1.8,,
1973-08-29,1.77,,
1973-08-30,1.77,,
1973-08-31,1.83,,
1973-09-04,1.86,,
1973-09-05,1.88,,
1973-09-06,1.86,,
1973-09-07,1.88,,
1973-09-10,1.88,,
1973-09-11,1.86,,
1973-09-12,1.86,,
1973-09-13,1.84,,
1973-09-14,1.89,,
1973-09-17,1.88,,
1973-09-18,1.91,,
1973-09-19,1.91,,
1973-09-20,1.88,,
1973-09-21,1.86,,
1973-09-24,1.88,,
1973-09-25,1.91,,
1973-09-26,1.89,,
1973-09-27,1.86,,
1973-09-28,1.81,,
1973-10-01,1.78,,
1973-10-02,1.86,,
1973-10-03,1.84,,
1973-10-04,1.92,,
1973-10-05,1.89,,
1973-10-08,1.89,,
1973-10-09,1.92,,
1973-10-10,1.89,,
1973-10-11,1.94,,
1973-10-12,1.89,,
1973-10-15,1.88,,
1973-10-16,1.84,,
1973-10-17,1.83,,
1973-10-18,1.88,,
1973-10-19,1.89,,
1973-10-22,1.91,,
1973-10-23,1.89,,
1973-10-24,1.88,,
1973-10-25,1.88,,
1973-10-26,1.94,,
1973-10-29,1.92,,
1973-10-30,1.89,,
1973-10-31,1.88,,
1973-11-01,1.88,,
1973-11-02,1.88,,
1973-11-05,1.84,,
1973-11-06,1.86,,
1973-11-07,1.83,,
1973-11-08,1.89,,
1973-11-09,1.86,,
1973-11-12,1.91,,
1973-11-13,1.88,,
1973-11-14,1.88,,
1973-11-15,1.88,,
1973-11-16,1.88,,
1973-11-19,1.86,,
1973-11-20,1.86,,
1973-11-21,1.88,,
1973-11-23,1.84,,
1973-11-26,1.84,,
1973-11-27,1.81,,
1973-11-28,1.83,,
1973-11-29,1.83,,
