date,GM,GM_EPS,PE Ratio
,,0.17,
2010-04-07,,0.0,
2010-05-17,,2.392,
2010-08-16,,5.616,
2010-11-10,,3.354,
2010-11-18,34.19,3.354,10.193798449612402
2010-11-19,34.26,3.354,10.214669051878353
2010-11-22,34.08,3.354,10.161001788908765
2010-11-23,33.25,3.354,9.913536076326773
2010-11-24,33.48,3.354,9.982110912343469
2010-11-26,33.8,3.354,10.07751937984496
2010-11-29,33.8,3.354,10.07751937984496
2010-11-30,34.2,3.354,10.196779964221825
2010-12-01,34.78,3.354,10.369707811568277
2010-12-02,34.68,3.354,10.33989266547406
2010-12-03,34.55,3.354,10.30113297555158
2010-12-06,34.48,3.354,10.280262373285629
2010-12-07,34.68,3.354,10.33989266547406
2010-12-08,34.45,3.354,10.271317829457365
2010-12-09,33.74,3.354,10.059630292188432
2010-12-10,33.81,3.354,10.080500894454383
2010-12-13,33.8,3.354,10.07751937984496
2010-12-14,33.89,3.354,10.104353011329755
2010-12-15,33.61,3.354,10.020870602265951
2010-12-16,33.61,3.354,10.020870602265951
2010-12-17,34.0,3.354,10.137149672033393
2010-12-20,33.76,3.354,10.065593321407274
2010-12-21,33.85,3.354,10.092426952892069
2010-12-22,34.92,3.354,10.411449016100178
2010-12-23,34.81,3.354,10.378652355396541
2010-12-27,34.6,3.354,10.316040548598687
2010-12-28,35.32,3.354,10.530709600477042
2010-12-29,36.02,3.354,10.739415623136553
2010-12-30,36.82,3.354,10.97793679189028
2010-12-31,36.86,3.354,10.989862850327967
2011-01-03,37.06,3.354,11.049493142516399
2011-01-04,37.9,3.354,11.29994036970781
2011-01-05,38.07,3.354,11.350626118067979
2011-01-06,38.9,3.354,11.59809183064997
2011-01-07,38.98,3.354,11.621943947525342
2011-01-10,38.56,3.354,11.496720333929636
2011-01-11,38.75,3.354,11.553369111508646
2011-01-12,38.62,3.354,11.514609421586165
2011-01-13,38.27,3.354,11.41025641025641
2011-01-14,38.2,3.354,11.38938580799046
2011-01-18,38.03,3.354,11.338700059630293
2011-01-19,37.4,3.354,11.150864639236731
2011-01-20,37.18,3.354,11.085271317829458
2011-01-21,37.24,3.354,11.103160405485987
2011-01-24,37.64,3.354,11.22242098986285
2011-01-25,38.4,3.354,11.44901610017889
2011-01-26,37.89,3.354,11.29695885509839
2011-01-27,38.67,3.354,11.529516994633275
2011-01-28,36.6,3.354,10.912343470483005
2011-01-31,36.49,3.354,10.879546809779368
2011-02-01,36.45,3.354,10.867620751341683
2011-02-02,35.68,3.354,10.638044126416219
2011-02-03,36.06,3.354,10.75134168157424
2011-02-04,36.59,3.354,10.909361955873585
2011-02-07,36.7,3.354,10.942158616577222
2011-02-08,36.89,3.354,10.99880739415623
2011-02-09,36.41,3.354,10.855694692903993
2011-02-10,35.88,3.354,10.697674418604652
2011-02-11,36.45,3.354,10.867620751341683
2011-02-14,36.29,3.354,10.819916517590936
2011-02-15,36.11,3.354,10.766249254621346
2011-02-16,36.75,3.354,10.957066189624328
2011-02-17,36.37,3.354,10.843768634466308
2011-02-18,36.51,3.354,10.88550983899821
2011-02-22,35.77,3.354,10.664877757901014
2011-02-23,34.59,3.354,10.313059033989267
2011-02-24,33.02,3.354,9.844961240310079
2011-02-25,33.25,3.354,9.913536076326773
2011-02-28,33.53,3.354,9.997018485390578
2011-03-01,32.95,0.0,inf
2011-03-02,32.88,0.0,inf
2011-03-03,33.03,0.0,inf
2011-03-04,32.39,0.0,inf
2011-03-07,31.7,0.0,inf
2011-03-08,32.72,0.0,inf
2011-03-09,32.25,0.0,inf
2011-03-10,31.42,0.0,inf
2011-03-11,31.93,0.0,inf
2011-03-14,31.59,0.0,inf
2011-03-15,32.35,0.0,inf
2011-03-16,31.78,0.0,inf
2011-03-17,31.44,0.0,inf
2011-03-18,31.85,0.0,inf
2011-03-21,31.28,0.0,inf
2011-03-22,30.74,0.0,inf
2011-03-23,31.16,0.0,inf
2011-03-24,31.39,0.0,inf
2011-03-25,31.47,0.0,inf
2011-03-28,30.85,0.0,inf
2011-03-29,31.1,0.0,inf
2011-03-30,31.55,0.0,inf
2011-03-31,31.03,0.0,inf
2011-04-01,32.41,0.0,inf
2011-04-04,32.39,0.0,inf
2011-04-05,32.87,0.0,inf
2011-04-06,32.87,0.0,inf
2011-04-07,32.31,0.0,inf
2011-04-08,31.52,0.0,inf
2011-04-11,30.77,0.0,inf
2011-04-12,31.15,0.0,inf
2011-04-13,30.86,0.0,inf
2011-04-14,30.58,0.0,inf
2011-04-15,30.24,0.0,inf
2011-04-18,29.97,0.0,inf
2011-04-19,29.59,0.0,inf
2011-04-20,29.93,0.0,inf
2011-04-21,30.95,0.0,inf
2011-04-25,31.14,0.0,inf
2011-04-26,31.27,0.0,inf
2011-04-27,31.78,0.0,inf
2011-04-28,31.91,0.0,inf
2011-04-29,32.09,0.0,inf
2011-05-02,32.18,0.0,inf
2011-05-03,32.99,0.0,inf
2011-05-04,33.04,0.0,inf
2011-05-05,32.02,0.0,inf
2011-05-06,31.91,2.2679521276595747,14.06996188800938
2011-05-09,31.39,2.2679521276595747,13.84068015244796
2011-05-10,31.61,2.2679521276595747,13.937683963647023
2011-05-11,31.3,2.2679521276595747,13.800996775139254
2011-05-12,31.42,2.2679521276595747,13.853907944884197
2011-05-13,31.07,2.2679521276595747,13.69958369979478
2011-05-16,31.1,2.2679521276595747,13.712811492231017
2011-05-17,31.1,2.2679521276595747,13.712811492231017
2011-05-18,31.52,2.2679521276595747,13.898000586338316
2011-05-19,31.47,2.2679521276595747,13.875954265611256
2011-05-20,31.18,2.2679521276595747,13.748085605394312
2011-05-23,30.96,2.2679521276595747,13.65108179419525
2011-05-24,30.83,2.2679521276595747,13.593761360304894
2011-05-25,31.27,2.2679521276595747,13.787768982703017
2011-05-26,30.68,2.2679521276595747,13.527622398123716
2011-05-27,31.28,2.2679521276595747,13.792178246848431
2011-05-31,31.81,2.2679521276595747,14.02586924655526
2011-06-01,30.23,2.2679521276595747,13.32920551158018
2011-06-02,29.6,2.2679521276595747,13.051421870419231
2011-06-03,29.12,2.2679521276595747,12.83977719143946
2011-06-06,28.56,2.2679521276595747,12.592858399296393
2011-06-07,28.78,2.2679521276595747,12.689862210495455
2011-06-08,28.86,2.2679521276595747,12.72513632365875
2011-06-09,29.45,2.2679521276595747,12.985282908238052
2011-06-10,28.85,2.2679521276595747,12.720727059513338
2011-06-13,28.59,2.2679521276595747,12.60608619173263
2011-06-14,29.11,2.2679521276595747,12.835367927294048
2011-06-15,28.95,2.2679521276595747,12.764819700967458
2011-06-16,28.59,2.2679521276595747,12.60608619173263
2011-06-17,29.0,2.2679521276595747,12.786866021694516
2011-06-20,29.52,2.2679521276595747,13.016147757255935
2011-06-21,29.59,2.2679521276595747,13.04701260627382
2011-06-22,29.97,2.2679521276595747,13.21456464379947
2011-06-23,30.14,2.2679521276595747,13.289522134271474
2011-06-24,29.92,2.2679521276595747,13.192518323072413
2011-06-27,30.26,2.2679521276595747,13.342433304016417
2011-06-28,30.5,2.2679521276595747,13.448255643506302
2011-06-29,30.3,2.2679521276595747,13.360070360598064
2011-06-30,30.36,2.2679521276595747,13.386525945470535
2011-07-01,30.58,2.2679521276595747,13.483529756669597
2011-07-05,30.86,2.2679521276595747,13.60698915274113
2011-07-06,31.19,2.2679521276595747,13.752494869539724
2011-07-07,31.8,2.2679521276595747,14.02145998240985
2011-07-08,31.58,2.2679521276595747,13.924456171210787
2011-07-11,30.75,2.2679521276595747,13.5584872471416
2011-07-12,30.68,2.2679521276595747,13.527622398123716
2011-07-13,30.75,2.2679521276595747,13.5584872471416
2011-07-14,30.1,2.2679521276595747,13.271885077689827
2011-07-15,29.76,2.2679521276595747,13.121970096745821
2011-07-18,29.1,2.2679521276595747,12.830958663148637
2011-07-19,29.33,2.2679521276595747,12.932371738493108
2011-07-20,29.24,2.2679521276595747,12.892688361184401
2011-07-21,29.96,2.2679521276595747,13.21015537965406
2011-07-22,30.1,2.2679521276595747,13.271885077689827
2011-07-25,29.5,2.2679521276595747,13.007329228965112
2011-07-26,29.09,2.2679521276595747,12.826549399003223
2011-07-27,28.14,2.2679521276595747,12.407669305189094
2011-07-28,28.1,2.2679521276595747,12.390032248607445
2011-07-29,27.68,2.2679521276595747,12.204843154500145
2011-08-01,28.07,2.2679521276595747,12.37680445617121
2011-08-02,27.05,2.2679521276595747,11.927059513339197
2011-08-03,27.17,2.2679521276595747,11.97997068308414
2011-08-04,25.99,2.2679521276595747,11.459677513925534
2011-08-05,26.31,3.58,7.349162011173184
2011-08-08,24.57,3.58,6.863128491620111
2011-08-09,25.54,3.58,7.134078212290502
2011-08-10,23.92,3.58,6.681564245810057
2011-08-11,25.81,3.58,7.20949720670391
2011-08-12,25.75,3.58,7.192737430167598
2011-08-15,26.42,3.58,7.379888268156425
2011-08-16,25.83,3.58,7.215083798882681
2011-08-17,24.94,3.58,6.966480446927375
2011-08-18,23.6,3.58,6.592178770949721
2011-08-19,22.16,3.58,6.189944134078212
2011-08-22,21.71,3.58,6.064245810055866
2011-08-23,22.06,3.58,6.162011173184357
2011-08-24,22.37,3.58,6.248603351955308
2011-08-25,22.3,3.58,6.229050279329609
2011-08-26,22.87,3.58,6.388268156424581
2011-08-29,23.79,3.58,6.645251396648044
2011-08-30,23.58,3.58,6.586592178770949
2011-08-31,24.03,3.58,6.712290502793296
2011-09-01,23.03,3.58,6.432960893854749
2011-09-02,22.07,3.58,6.164804469273743
2011-09-06,21.44,3.58,5.988826815642458
2011-09-07,22.86,3.58,6.385474860335195
2011-09-08,22.48,3.58,6.279329608938547
2011-09-09,21.76,3.58,6.078212290502794
2011-09-12,21.87,3.58,6.108938547486034
2011-09-13,22.0,3.58,6.145251396648044
2011-09-14,22.18,3.58,6.195530726256983
2011-09-15,22.7,3.58,6.340782122905027
2011-09-16,22.61,3.58,6.315642458100559
2011-09-19,23.05,3.58,6.43854748603352
2011-09-20,22.43,3.58,6.26536312849162
2011-09-21,21.28,3.58,5.944134078212291
2011-09-22,20.24,3.58,5.653631284916201
2011-09-23,21.0,3.58,5.865921787709497
2011-09-26,21.08,3.58,5.88826815642458
