date,XYL,XYL_EPS,PE Ratio
,,0.0,
2011-10-13,24.25,0.0,inf
2011-10-14,25.35,0.0,inf
2011-10-17,25.16,0.0,inf
2011-10-18,25.24,0.0,inf
2011-10-19,24.75,0.0,inf
2011-10-20,24.75,0.0,inf
2011-10-21,25.54,0.0,inf
2011-10-24,25.77,0.0,inf
2011-10-25,25.75,0.0,inf
2011-10-26,25.02,0.0,inf
2011-10-27,25.62,0.0,inf
2011-10-28,25.82,0.0,inf
2011-10-31,26.74,0.0,inf
2011-11-01,27.31,0.0,inf
2011-11-02,26.62,0.0,inf
2011-11-03,26.39,0.0,inf
2011-11-04,25.19,0.0,inf
2011-11-07,24.6,0.0,inf
2011-11-08,24.94,0.0,inf
2011-11-09,23.89,0.0,inf
2011-11-10,23.65,0.0,inf
2011-11-11,23.79,0.0,inf
2011-11-14,23.93,0.0,inf
2011-11-15,23.99,0.0,inf
2011-11-16,24.12,0.0,inf
2011-11-17,23.85,0.0,inf
2011-11-18,23.93,0.0,inf
2011-11-21,23.62,0.0,inf
2011-11-22,23.63,0.0,inf
2011-11-23,23.68,0.0,inf
2011-11-25,23.0,0.0,inf
2011-11-28,23.49,0.0,inf
2011-11-29,23.27,0.0,inf
2011-11-30,23.9,0.0,inf
2011-12-01,24.27,0.0,inf
2011-12-02,24.25,0.0,inf
2011-12-05,25.09,0.0,inf
2011-12-06,24.83,0.0,inf
2011-12-07,24.57,0.0,inf
2011-12-08,23.88,0.0,inf
2011-12-09,24.35,0.0,inf
2011-12-12,23.92,0.0,inf
2011-12-13,23.85,0.0,inf
2011-12-14,23.41,0.0,inf
2011-12-15,23.92,0.0,inf
2011-12-16,24.67,0.0,inf
2011-12-19,24.25,0.0,inf
2011-12-20,24.31,0.0,inf
2011-12-21,24.92,0.0,inf
2011-12-22,24.83,0.0,inf
2011-12-23,24.91,0.0,inf
2011-12-27,25.05,0.0,inf
2011-12-28,25.56,0.0,inf
2011-12-29,25.95,0.0,inf
2011-12-30,25.69,0.0,inf
2012-01-03,25.14,0.0,inf
2012-01-04,25.97,0.0,inf
2012-01-05,25.6,0.0,inf
2012-01-06,25.17,0.0,inf
2012-01-09,25.27,0.0,inf
2012-01-10,25.58,0.0,inf
2012-01-11,26.06,0.0,inf
2012-01-12,25.7,0.0,inf
2012-01-13,25.63,0.0,inf
2012-01-17,25.63,0.0,inf
2012-01-18,26.99,0.0,inf
2012-01-19,26.62,0.0,inf
2012-01-20,26.36,0.0,inf
2012-01-23,25.75,0.0,inf
2012-01-24,26.14,0.0,inf
2012-01-25,26.6,0.0,inf
2012-01-26,25.94,0.0,inf
2012-01-27,25.81,0.0,inf
2012-01-30,25.92,0.0,inf
2012-01-31,25.91,0.0,inf
2012-02-01,26.82,0.0,inf
2012-02-02,26.65,0.0,inf
2012-02-03,27.03,0.0,inf
2012-02-06,26.78,0.0,inf
2012-02-07,27.22,0.0,inf
2012-02-08,27.39,0.0,inf
2012-02-09,27.13,0.0,inf
2012-02-10,27.07,0.0,inf
2012-02-13,27.03,0.0,inf
2012-02-14,26.92,0.0,inf
2012-02-15,27.0,0.0,inf
2012-02-16,27.15,0.0,inf
2012-02-17,27.59,0.0,inf
2012-02-21,27.82,0.0,inf
2012-02-22,27.53,0.0,inf
2012-02-23,27.78,0.0,inf
2012-02-24,27.26,0.0,inf
