date,ILMN,ILMN_EPS,PE Ratio
2000-07-28,19.59,,
2000-07-31,17.5,,
2000-08-01,17.75,,
2000-08-02,19.06,,
2000-08-03,22.13,,
2000-08-04,20.47,,
2000-08-07,21.13,,
2000-08-08,20.49,,
2000-08-09,21.41,,
2000-08-10,22.5,,
2000-08-11,20.94,,
2000-08-14,20.0,,
2000-08-15,20.0,,
2000-08-16,21.31,,
2000-08-17,20.94,,
2000-08-18,22.0,,
2000-08-21,22.59,,
2000-08-22,21.06,,
2000-08-23,20.56,,
2000-08-24,20.01,,
2000-08-25,20.88,,
2000-08-28,20.81,,
2000-08-29,21.25,,
2000-08-30,20.0,,
2000-08-31,22.38,,
2000-09-01,23.31,,
2000-09-05,22.88,,
2000-09-06,21.0,,
2000-09-07,22.5,,
2000-09-08,21.47,,
2000-09-11,20.56,,
2000-09-12,20.38,,
2000-09-13,18.25,,
2000-09-14,18.5,,
2000-09-15,18.88,,
2000-09-18,17.0,,
2000-09-19,16.66,,
2000-09-20,17.0,,
2000-09-21,17.69,,
2000-09-22,19.63,,
2000-09-25,19.94,,
2000-09-26,19.91,,
2000-09-27,20.81,,
2000-09-28,21.88,,
2000-09-29,22.69,,
2000-10-02,22.88,,
2000-10-03,20.0,,
2000-10-04,18.06,,
2000-10-05,17.81,,
2000-10-06,15.03,,
2000-10-09,15.38,,
2000-10-10,16.25,,
2000-10-11,16.0,,
2000-10-12,16.13,,
2000-10-13,17.56,,
2000-10-16,17.75,,
2000-10-17,18.09,,
2000-10-18,17.38,,
2000-10-19,17.31,,
2000-10-20,16.5,,
2000-10-23,17.0,,
2000-10-24,17.06,,
2000-10-25,18.0,,
2000-10-26,19.38,,
2000-10-27,18.25,,
2000-10-30,16.25,,
2000-10-31,16.25,,
2000-11-01,16.78,,
2000-11-02,17.81,,
2000-11-03,18.25,,
2000-11-06,20.31,,
2000-11-07,20.5,,
2000-11-08,20.31,,
2000-11-09,19.44,,
2000-11-10,19.0,,
2000-11-13,18.5,,
2000-11-14,16.97,,
2000-11-15,15.88,,
2000-11-16,12.69,,
2000-11-17,11.44,,
2000-11-20,10.69,,
2000-11-21,10.66,,
2000-11-22,8.0,,
2000-11-24,9.75,,
2000-11-27,9.59,,
2000-11-28,8.88,,
2000-11-29,9.03,,
2000-11-30,9.16,,
2000-12-01,9.63,,
2000-12-04,9.81,,
2000-12-05,12.06,,
2000-12-06,11.69,,
2000-12-07,11.63,,
2000-12-08,11.38,,
2000-12-11,10.5,,
2000-12-12,10.94,,
2000-12-13,11.28,,
2000-12-14,10.81,,
2000-12-15,11.5,,
2000-12-18,11.81,,
2000-12-19,10.88,,
2000-12-20,8.94,,
2000-12-21,9.0,,
2000-12-22,9.5,,
2000-12-26,8.94,,
2000-12-27,8.75,,
2000-12-28,8.5,,
2000-12-29,8.03,,
2001-01-02,7.63,,
2001-01-03,6.91,,
2001-01-04,7.06,,
2001-01-05,5.97,,
2001-01-08,4.44,,
2001-01-09,4.31,,
2001-01-10,5.25,,
2001-01-11,6.69,,
2001-01-12,6.5,,
2001-01-16,6.75,,
2001-01-17,7.53,,
2001-01-18,7.31,,
2001-01-19,7.5,,
2001-01-22,7.22,,
2001-01-23,8.63,,
2001-01-24,9.34,,
2001-01-25,9.38,,
2001-01-26,10.03,,
2001-01-29,10.88,,
2001-01-30,10.66,,
2001-01-31,10.5,,
2001-02-01,10.22,,
2001-02-02,9.13,,
2001-02-05,8.13,,
2001-02-06,8.0,,
2001-02-07,8.16,,
2001-02-08,8.16,,
2001-02-09,8.16,,
2001-02-12,8.19,,
2001-02-13,8.13,,
2001-02-14,8.19,,
2001-02-15,8.0,,
2001-02-16,8.41,,
2001-02-20,8.0,,
2001-02-21,8.28,,
2001-02-22,7.91,,
2001-02-23,7.69,,
2001-02-26,7.81,,
2001-02-27,7.88,,
2001-02-28,7.5,,
2001-03-01,7.25,,
2001-03-02,6.19,,
2001-03-05,6.53,,
2001-03-06,6.19,,
2001-03-07,5.5,,
2001-03-08,5.63,,
2001-03-09,5.0,,
2001-03-12,4.06,,
2001-03-13,4.06,,
2001-03-14,4.5,,
2001-03-15,4.52,,
2001-03-16,4.47,,
2001-03-19,4.8,,
2001-03-20,4.47,,
2001-03-21,4.44,,
2001-03-22,4.03,,
2001-03-23,4.03,,
2001-03-26,4.19,,
2001-03-27,3.91,,
2001-03-28,3.81,,
2001-03-29,3.63,,
2001-03-30,3.53,,
2001-04-02,3.41,,
2001-04-03,2.94,,
2001-04-04,2.94,,
2001-04-05,3.19,,
2001-04-06,3.06,,
2001-04-09,3.13,,
2001-04-10,3.5,,
2001-04-11,3.5,,
2001-04-12,3.55,,
2001-04-16,3.55,,
2001-04-17,3.52,,
2001-04-18,4.0,,
2001-04-19,4.72,,
2001-04-20,5.18,,
2001-04-23,4.63,,
2001-04-24,4.53,,
2001-04-25,4.53,,
2001-04-26,4.15,,
2001-04-27,3.95,,
2001-04-30,4.18,,
2001-05-01,4.25,,
2001-05-02,4.5,,
2001-05-03,4.5,,
2001-05-04,4.49,,
2001-05-07,4.38,,
2001-05-08,4.48,,
2001-05-09,4.53,,
2001-05-10,4.53,,
2001-05-11,4.56,,
2001-05-14,4.57,,
2001-05-15,4.73,,
2001-05-16,4.59,,
2001-05-17,4.68,,
2001-05-18,4.68,,
2001-05-21,5.13,,
2001-05-22,5.23,,
2001-05-23,5.18,,
2001-05-24,5.15,,
2001-05-25,5.23,,
2001-05-29,5.85,,
2001-05-30,5.65,,
2001-05-31,5.7,,
2001-06-01,5.57,,
2001-06-04,5.38,,
2001-06-05,5.5,,
2001-06-06,5.49,,
2001-06-07,5.35,,
2001-06-08,5.15,,
2001-06-11,5.76,,
2001-06-12,6.03,,
2001-06-13,6.03,,
2001-06-14,5.25,,
2001-06-15,5.55,,
2001-06-18,5.72,,
2001-06-19,5.45,,
2001-06-20,5.1,,
2001-06-21,4.78,,
2001-06-22,4.78,,
2001-06-25,5.04,,
2001-06-26,4.86,,
2001-06-27,4.75,,
2001-06-28,4.45,,
2001-06-29,5.89,,
2001-07-02,5.78,,
2001-07-03,5.73,,
2001-07-05,6.38,,
2001-07-06,6.38,,
2001-07-09,6.58,,
2001-07-10,6.38,,
2001-07-11,6.33,,
2001-07-12,6.4,,
2001-07-13,6.08,,
2001-07-16,5.83,,
2001-07-17,6.05,,
2001-07-18,5.82,,
2001-07-19,5.99,,
2001-07-20,6.05,,
2001-07-23,5.99,,
2001-07-24,5.9,,
2001-07-25,5.72,,
2001-07-26,5.8,,
2001-07-27,5.82,,
2001-07-30,5.71,,
2001-07-31,5.73,,
2001-08-01,6.18,,
2001-08-02,6.15,,
2001-08-03,6.16,,
2001-08-06,5.78,,
2001-08-07,5.83,,
2001-08-08,5.65,,
2001-08-09,5.55,,
2001-08-10,6.01,,
2001-08-13,6.21,,
2001-08-14,6.2,,
2001-08-15,6.22,,
2001-08-16,6.1,,
2001-08-17,5.95,,
2001-08-20,5.78,,
2001-08-21,5.48,,
2001-08-22,5.39,,
2001-08-23,5.4,,
2001-08-24,5.54,,
2001-08-27,5.63,,
2001-08-28,5.03,,
2001-08-29,4.7,,
2001-08-30,4.45,,
2001-08-31,4.4,,
2001-09-04,4.47,,
2001-09-05,4.52,,
2001-09-06,4.35,,
2001-09-07,4.25,,
2001-09-10,4.22,,
2001-09-17,3.78,,
2001-09-18,3.81,,
2001-09-19,3.33,,
2001-09-20,3.04,,
2001-09-21,3.0,,
2001-09-24,3.25,,
2001-09-25,3.4,,
2001-09-26,2.95,,
2001-09-27,3.0,,
2001-09-28,3.25,,
2001-10-01,3.15,,
2001-10-02,3.24,,
2001-10-03,2.98,,
2001-10-04,3.21,,
2001-10-05,3.1,,
2001-10-08,3.01,,
2001-10-09,3.0,,
2001-10-10,3.25,,
2001-10-11,3.37,,
2001-10-12,3.5,,
2001-10-15,3.97,,
2001-10-16,4.25,,
2001-10-17,4.24,,
2001-10-18,4.38,,
2001-10-19,4.52,,
2001-10-22,4.95,,
2001-10-23,4.78,,
2001-10-24,4.88,,
2001-10-25,5.02,,
2001-10-26,5.05,,
2001-10-29,5.38,,
2001-10-30,5.0,,
2001-10-31,5.01,,
2001-11-01,5.05,,
2001-11-02,5.65,,
2001-11-05,5.3,,
2001-11-06,5.3,,
2001-11-07,5.13,,
2001-11-08,5.05,,
2001-11-09,4.55,,
2001-11-12,4.5,,
2001-11-13,4.47,,
2001-11-14,4.6,,
2001-11-15,4.58,,
2001-11-16,4.48,,
2001-11-19,4.62,,
2001-11-20,4.93,,
2001-11-21,4.86,,
2001-11-23,4.87,,
2001-11-26,4.7,,
2001-11-27,5.22,,
2001-11-28,5.05,,
2001-11-29,5.28,,
2001-11-30,4.98,,
2001-12-03,4.72,,
2001-12-04,4.95,,
2001-12-05,4.91,,
2001-12-06,5.0,,
2001-12-07,5.13,,
2001-12-10,4.98,,
2001-12-11,4.97,,
2001-12-12,4.9,,
2001-12-13,5.09,,
2001-12-14,5.24,,
2001-12-17,5.28,,
2001-12-18,5.0,,
2001-12-19,5.13,,
2001-12-20,5.5,,
2001-12-21,6.0,,
2001-12-24,5.99,,
2001-12-26,5.64,,
2001-12-27,5.77,,
2001-12-28,5.72,,
2001-12-31,5.88,,
2002-01-02,5.63,,
2002-01-03,5.65,,
2002-01-04,5.97,,
2002-01-07,6.03,,
2002-01-08,6.08,,
2002-01-09,6.17,,
2002-01-10,5.69,,
2002-01-11,5.71,,
2002-01-14,5.41,,
2002-01-15,5.43,,
2002-01-16,5.32,,
2002-01-17,5.33,,
2002-01-18,5.11,,
2002-01-22,5.0,,
2002-01-23,5.0,,
2002-01-24,4.78,,
2002-01-25,4.62,,
2002-01-28,4.59,,
2002-01-29,4.28,,
2002-01-30,4.25,,
2002-01-31,4.23,,
2002-02-01,4.15,,
2002-02-04,3.98,,
2002-02-05,4.01,,
2002-02-06,3.9,,
2002-02-07,3.55,,
2002-02-08,3.73,,
2002-02-11,3.38,,
2002-02-12,3.25,,
2002-02-13,3.64,,
2002-02-14,3.5,,
2002-02-15,3.62,,
2002-02-19,3.56,,
2002-02-20,3.68,,
2002-02-21,3.43,,
2002-02-22,3.5,,
2002-02-25,3.41,,
2002-02-26,3.46,,
2002-02-27,3.49,,
2002-02-28,3.43,,
2002-03-01,3.5,,
2002-03-04,3.52,,
2002-03-05,3.76,,
2002-03-06,3.75,,
2002-03-07,3.53,,
2002-03-08,3.85,,
2002-03-11,4.48,,
2002-03-12,4.38,,
2002-03-13,4.4,,
2002-03-14,4.69,,
2002-03-15,4.68,,
2002-03-18,4.55,,
2002-03-19,4.5,,
2002-03-20,4.36,,
2002-03-21,4.44,,
2002-03-22,4.5,,
2002-03-25,4.5,,
2002-03-26,4.49,,
2002-03-27,4.48,,
2002-03-28,4.73,,
2002-03-29,,-0.83,
2002-04-01,3.75,-0.83,-4.518072289156627
2002-04-02,3.88,-0.83,-4.674698795180723
2002-04-03,3.79,-0.83,-4.566265060240964
2002-04-04,3.78,-0.83,-4.554216867469879
2002-04-05,3.83,-0.83,-4.614457831325302
2002-04-08,3.91,-0.83,-4.710843373493976
2002-04-09,3.85,-0.83,-4.63855421686747
2002-04-10,3.81,-0.83,-4.590361445783133
2002-04-11,3.86,-0.83,-4.650602409638554
2002-04-12,4.05,-0.83,-4.879518072289157
2002-04-15,4.09,-0.83,-4.927710843373494
2002-04-16,4.17,-0.83,-5.024096385542169
2002-04-17,4.22,-0.83,-5.0843373493975905
2002-04-18,4.49,-0.83,-5.409638554216868
2002-04-19,4.42,-0.83,-5.325301204819278
2002-04-22,4.4,-0.83,-5.3012048192771095
2002-04-23,4.48,-0.83,-5.397590361445784
2002-04-24,4.47,-0.83,-5.385542168674699
2002-04-25,4.43,-0.83,-5.337349397590361
2002-04-26,4.32,-0.83,-5.2048192771084345
2002-04-29,4.23,-0.83,-5.096385542168676
2002-04-30,4.2,-0.83,-5.060240963855422
2002-05-01,4.2,-0.83,-5.060240963855422
2002-05-02,4.43,-0.83,-5.337349397590361
2002-05-03,4.5,-0.83,-5.421686746987952
2002-05-06,4.12,-0.83,-4.963855421686747
2002-05-07,3.34,-0.83,-4.024096385542169
2002-05-08,3.6,-0.83,-4.337349397590362
2002-05-09,3.25,-0.83,-3.91566265060241
2002-05-10,3.4,-0.83,-4.096385542168675
2002-05-13,3.5,-0.28,-12.499999999999998
2002-05-14,3.48,-0.28,-12.428571428571427
2002-05-15,3.46,-0.28,-12.357142857142856
2002-05-16,3.26,-0.28,-11.64285714285714
2002-05-17,3.27,-0.28,-11.678571428571427
2002-05-20,3.28,-0.28,-11.714285714285712
2002-05-21,3.25,-0.28,-11.607142857142856
2002-05-22,3.06,-0.28,-10.928571428571427
2002-05-23,3.25,-0.28,-11.607142857142856
2002-05-24,3.18,-0.28,-11.357142857142856
2002-05-28,3.17,-0.28,-11.32142857142857
2002-05-29,3.28,-0.28,-11.714285714285712
2002-05-30,3.28,-0.28,-11.714285714285712
2002-05-31,3.2,-0.28,-11.428571428571429
2002-06-03,3.04,-0.28,-10.857142857142856
2002-06-04,3.28,-0.28,-11.714285714285712
2002-06-05,3.28,-0.28,-11.714285714285712
2002-06-06,2.8,-0.28,-9.999999999999998
2002-06-07,2.82,-0.28,-10.07142857142857
2002-06-10,2.91,-0.28,-10.392857142857142
2002-06-11,2.83,-0.28,-10.107142857142856
2002-06-12,2.5,-0.28,-8.928571428571427
2002-06-13,2.17,-0.28,-7.749999999999999
2002-06-14,2.51,-0.28,-8.964285714285714
2002-06-17,2.83,-0.28,-10.107142857142856
2002-06-18,3.03,-0.28,-10.82142857142857
2002-06-19,3.09,-0.28,-11.035714285714285
2002-06-20,2.96,-0.28,-10.571428571428571
2002-06-21,3.02,-0.28,-10.785714285714285
2002-06-24,2.95,-0.28,-10.535714285714285
2002-06-25,3.1,-0.28,-11.071428571428571
2002-06-26,3.1,-0.28,-11.071428571428571
2002-06-27,3.28,-0.28,-11.714285714285712
2002-06-28,3.36,-0.28,-11.999999999999998
2002-07-01,3.11,-0.28,-11.107142857142856
2002-07-02,3.01,-0.28,-10.749999999999998
2002-07-03,2.96,-0.28,-10.571428571428571
2002-07-05,3.0,-0.28,-10.714285714285714
2002-07-08,2.83,-0.28,-10.107142857142856
2002-07-09,2.33,-0.28,-8.321428571428571
2002-07-10,2.25,-0.28,-8.035714285714285
2002-07-11,2.23,-0.28,-7.9642857142857135
2002-07-12,2.28,-0.28,-8.14285714285714
2002-07-15,2.1,-0.28,-7.5
2002-07-16,2.22,-0.28,-7.928571428571429
2002-07-17,2.25,-0.28,-8.035714285714285
2002-07-18,2.23,-0.28,-7.9642857142857135
2002-07-19,2.05,-0.28,-7.32142857142857
2002-07-22,2.07,-0.28,-7.3928571428571415
2002-07-23,2.05,-0.28,-7.32142857142857
2002-07-24,2.25,-0.28,-8.035714285714285
2002-07-25,2.18,-0.28,-7.785714285714286
2002-07-26,2.28,-0.28,-8.14285714285714
2002-07-29,2.5,-0.28,-8.928571428571427
2002-07-30,2.25,-0.28,-8.035714285714285
2002-07-31,2.23,-0.28,-7.9642857142857135
2002-08-01,2.11,-0.28,-7.535714285714285
2002-08-02,2.05,-0.28,-7.32142857142857
2002-08-05,2.05,-0.28,-7.32142857142857
2002-08-06,2.08,-0.28,-7.428571428571428
2002-08-07,2.02,-0.28,-7.2142857142857135
2002-08-08,2.05,-0.28,-7.32142857142857
2002-08-09,2.05,-0.28,-7.32142857142857
2002-08-12,2.03,-0.28,-7.249999999999998
2002-08-13,1.92,-0.28,-6.857142857142856
2002-08-14,2.19,-0.82,-2.6707317073170733
2002-08-15,2.0,-0.82,-2.4390243902439024
2002-08-16,1.96,-0.82,-2.3902439024390243
2002-08-19,2.0,-0.82,-2.4390243902439024
2002-08-20,1.66,-0.82,-2.024390243902439
2002-08-21,2.0,-0.82,-2.4390243902439024
2002-08-22,1.95,-0.82,-2.3780487804878048
2002-08-23,1.88,-0.82,-2.292682926829268
2002-08-26,2.02,-0.82,-2.4634146341463414
2002-08-27,1.97,-0.82,-2.402439024390244
2002-08-28,1.95,-0.82,-2.3780487804878048
2002-08-29,1.98,-0.82,-2.4146341463414633
2002-08-30,1.97,-0.82,-2.402439024390244
2002-09-03,1.91,-0.82,-2.3292682926829267
2002-09-04,2.0,-0.82,-2.4390243902439024
2002-09-05,1.9,-0.82,-2.317073170731707
2002-09-06,1.9,-0.82,-2.317073170731707
2002-09-09,1.91,-0.82,-2.3292682926829267
2002-09-10,2.0,-0.82,-2.4390243902439024
2002-09-11,1.78,-0.82,-2.1707317073170733
2002-09-12,1.65,-0.82,-2.0121951219512195
2002-09-13,1.68,-0.82,-2.048780487804878
2002-09-16,1.6,-0.82,-1.9512195121951221
2002-09-17,1.56,-0.82,-1.902439024390244
2002-09-18,1.54,-0.82,-1.878048780487805
2002-09-19,1.51,-0.82,-1.8414634146341464
2002-09-20,1.55,-0.82,-1.8902439024390245
2002-09-23,1.47,-0.82,-1.7926829268292683
2002-09-24,1.5,-0.82,-1.829268292682927
2002-09-25,1.53,-0.82,-1.8658536585365855
2002-09-26,1.74,-0.82,-2.1219512195121952
2002-09-27,1.7,-0.82,-2.073170731707317
2002-09-30,1.72,-0.82,-2.097560975609756
