date,BKNG,BKNG_EPS,PE Ratio
,,-0.51,
1999-03-31,497.25,-0.51,-975.0
1999-04-01,483.0,-0.51,-947.0588235294117
1999-04-05,450.75,-0.51,-883.8235294117646
1999-04-06,474.0,-0.51,-929.4117647058823
1999-04-07,447.0,-0.51,-876.4705882352941
1999-04-08,435.0,-0.51,-852.9411764705882
1999-04-09,444.0,-0.51,-870.5882352941177
1999-04-12,459.38,-0.51,-900.7450980392157
1999-04-13,489.0,-0.51,-958.8235294117646
1999-04-14,558.75,-0.51,-1095.5882352941176
1999-04-15,479.25,-0.51,-939.7058823529412
1999-04-16,488.25,-0.51,-957.3529411764706
1999-04-19,359.25,-0.51,-704.4117647058823
1999-04-20,405.75,-0.51,-795.5882352941177
1999-04-21,447.0,-0.51,-876.4705882352941
1999-04-22,458.25,-0.51,-898.5294117647059
1999-04-23,528.0,-0.51,-1035.2941176470588
1999-04-26,724.5,-0.51,-1420.5882352941176
1999-04-27,778.13,-0.51,-1525.7450980392157
1999-04-28,726.0,-0.51,-1423.5294117647059
1999-04-29,826.88,-0.51,-1621.3333333333333
1999-04-30,974.25,-0.51,-1910.2941176470588
1999-05-03,835.5,-0.51,-1638.235294117647
1999-05-04,804.0,-0.51,-1576.4705882352941
1999-05-05,907.13,-0.51,-1778.686274509804
1999-05-06,836.63,-0.51,-1640.450980392157
1999-05-07,783.94,-0.51,-1537.137254901961
1999-05-10,768.0,-0.51,-1505.8823529411764
1999-05-11,738.0,-0.51,-1447.0588235294117
1999-05-12,756.0,-0.51,-1482.3529411764705
1999-05-13,729.0,-0.51,-1429.4117647058824
1999-05-14,796.88,-0.51,-1562.5098039215686
1999-05-17,790.5,-1.61,-490.99378881987576
1999-05-18,816.75,-1.61,-507.2981366459627
1999-05-19,855.0,-1.61,-531.055900621118
1999-05-20,806.25,-1.61,-500.77639751552795
1999-05-21,833.63,-1.61,-517.7826086956521
1999-05-24,752.06,-1.61,-467.1180124223602
1999-05-25,624.0,-1.61,-387.5776397515528
1999-05-26,682.69,-1.61,-424.03105590062114
1999-05-27,664.88,-1.61,-412.96894409937886
1999-05-28,672.19,-1.61,-417.50931677018633
1999-06-01,596.63,-1.61,-370.5776397515528
1999-06-02,557.44,-1.61,-346.23602484472053
1999-06-03,504.75,-1.61,-313.50931677018633
1999-06-04,541.88,-1.61,-336.57142857142856
1999-06-07,609.0,-1.61,-378.2608695652174
1999-06-08,625.5,-1.61,-388.50931677018633
1999-06-09,630.0,-1.61,-391.30434782608694
1999-06-10,613.5,-1.61,-381.055900621118
1999-06-11,574.13,-1.61,-356.60248447204964
1999-06-14,461.25,-1.61,-286.49068322981367
1999-06-15,470.63,-1.61,-292.31677018633536
1999-06-16,531.0,-1.61,-329.81366459627327
1999-06-17,533.63,-1.61,-331.44720496894405
1999-06-18,564.0,-1.61,-350.3105590062112
1999-06-21,637.88,-1.61,-396.19875776397515
1999-06-22,652.5,-1.61,-405.27950310559004
1999-06-23,665.25,-1.61,-413.19875776397515
