date,TIF,TIF_EPS,PE Ratio
,,0.04,
1989-09-19,6.61,0.04,165.25
1989-09-20,6.66,0.04,166.5
1989-09-21,6.56,0.04,164.0
1989-09-22,6.61,0.04,165.25
1989-09-25,6.61,0.04,165.25
1989-09-26,6.5,0.04,162.5
1989-09-27,6.31,0.04,157.75
1989-09-28,6.5,0.04,162.5
1989-09-29,6.53,0.04,163.25
1989-10-02,6.41,0.04,160.25
1989-10-03,6.5,0.04,162.5
1989-10-04,6.44,0.04,161.0
1989-10-05,6.31,0.04,157.75
1989-10-06,6.25,0.04,156.25
1989-10-09,6.28,0.04,157.0
1989-10-10,6.41,0.04,160.25
1989-10-11,6.59,0.04,164.75
1989-10-12,6.75,0.04,168.75
1989-10-13,6.16,0.04,154.0
1989-10-16,6.31,0.04,157.75
1989-10-17,6.25,0.04,156.25
1989-10-18,6.25,0.04,156.25
1989-10-19,6.09,0.04,152.25
1989-10-20,6.02,0.04,150.5
1989-10-23,5.91,0.04,147.75
1989-10-24,5.77,0.04,144.25
1989-10-25,5.97,0.04,149.25
1989-10-26,6.22,0.04,155.5
1989-10-27,6.13,0.04,153.25
1989-10-30,6.03,0.04,150.75
1989-10-31,6.13,0.04,153.25
1989-11-01,6.16,0.04,154.0
1989-11-02,6.09,0.04,152.25
1989-11-03,6.03,0.04,150.75
1989-11-06,6.03,0.04,150.75
1989-11-07,5.97,0.04,149.25
1989-11-08,6.02,0.04,150.5
1989-11-09,6.02,0.04,150.5
1989-11-10,6.13,0.04,153.25
1989-11-13,6.06,0.04,151.5
1989-11-14,6.11,0.04,152.75
1989-11-15,6.19,0.04,154.75
1989-11-16,6.25,0.04,156.25
1989-11-17,6.42,0.04,160.5
1989-11-20,6.53,0.04,163.25
1989-11-21,6.67,0.04,166.75
1989-11-22,6.91,0.04,172.75
1989-11-24,6.84,0.04,171.0
1989-11-27,6.88,0.04,172.0
1989-11-28,6.81,0.04,170.25
1989-11-29,6.73,0.04,168.25
1989-11-30,6.59,0.04,164.75
1989-12-01,6.66,0.04,166.5
1989-12-04,6.5,0.04,162.5
1989-12-05,6.36,0.04,159.0
1989-12-06,6.36,0.04,159.0
1989-12-07,6.34,0.04,158.5
1989-12-08,6.22,0.04,155.5
1989-12-11,6.22,0.04,155.5
1989-12-12,6.2,0.04,155.0
1989-12-13,6.09,0.04,152.25
1989-12-14,5.88,0.04,147.0
1989-12-15,5.8,0.04,145.0
1989-12-18,5.5,0.04,137.5
1989-12-19,5.42,0.04,135.5
1989-12-20,5.5,0.04,137.5
1989-12-21,5.69,0.04,142.25
1989-12-22,5.67,0.04,141.75
1989-12-26,5.77,0.04,144.25
1989-12-27,5.78,0.04,144.5
1989-12-28,5.81,0.04,145.25
1989-12-29,5.84,0.04,146.0
1990-01-02,5.91,0.04,147.75
1990-01-03,6.31,0.04,157.75
1990-01-04,6.23,0.04,155.75
1990-01-05,6.22,0.04,155.5
1990-01-08,6.36,0.04,159.0
1990-01-09,6.34,0.04,158.5
1990-01-10,6.28,0.04,157.0
1990-01-11,6.27,0.04,156.75
1990-01-12,5.97,0.04,149.25
1990-01-15,5.75,0.04,143.75
1990-01-16,5.67,0.04,141.75
1990-01-17,5.63,0.04,140.75
1990-01-18,5.61,0.04,140.25
1990-01-19,5.55,0.04,138.75
1990-01-22,5.45,0.04,136.25
1990-01-23,5.41,0.04,135.25
1990-01-24,5.28,0.04,132.0
1990-01-25,5.33,0.04,133.25
1990-01-26,5.31,0.04,132.75
1990-01-29,5.38,0.04,134.5
1990-01-30,5.13,0.04,128.25
1990-01-31,5.19,0.04,129.75
1990-02-01,5.19,0.04,129.75
1990-02-02,5.31,0.04,132.75
1990-02-05,5.31,0.04,132.75
1990-02-06,5.31,0.04,132.75
1990-02-07,5.34,0.04,133.5
1990-02-08,5.31,0.04,132.75
1990-02-09,5.34,0.04,133.5
1990-02-12,5.28,0.04,132.0
1990-02-13,5.16,0.04,129.0
1990-02-14,5.09,0.04,127.25
1990-02-15,5.06,0.04,126.49999999999999
1990-02-16,5.08,0.04,127.0
1990-02-20,4.88,0.04,122.0
1990-02-21,4.73,0.04,118.25000000000001
1990-02-22,4.5,0.04,112.5
1990-02-23,4.39,0.04,109.74999999999999
1990-02-26,4.33,0.04,108.25
1990-02-27,4.45,0.04,111.25
1990-02-28,4.59,0.04,114.75
1990-03-01,4.75,0.04,118.75
1990-03-02,4.86,0.04,121.5
1990-03-05,4.94,0.04,123.50000000000001
1990-03-06,5.03,0.04,125.75
1990-03-07,5.09,0.04,127.25
1990-03-08,5.13,0.04,128.25
1990-03-09,5.17,0.04,129.25
1990-03-12,5.14,0.04,128.5
1990-03-13,5.13,0.04,128.25
1990-03-14,5.33,0.04,133.25
1990-03-15,5.48,0.04,137.0
1990-03-16,5.66,0.04,141.5
1990-03-19,5.58,0.04,139.5
1990-03-20,5.41,0.04,135.25
1990-03-21,5.42,0.04,135.5
1990-03-22,5.27,0.04,131.75
1990-03-23,5.25,0.04,131.25
1990-03-26,5.22,0.04,130.5
1990-03-27,5.3,0.04,132.5
1990-03-28,5.28,0.04,132.0
1990-03-29,5.44,0.04,136.0
1990-03-30,5.63,0.04,140.75
1990-04-02,5.39,0.04,134.75
1990-04-03,5.39,0.04,134.75
1990-04-04,5.34,0.04,133.5
1990-04-05,5.38,0.04,134.5
1990-04-06,5.38,0.04,134.5
1990-04-09,5.45,0.04,136.25
