date,SNPS,SNPS_EPS,PE Ratio
,,0.01,
1992-02-26,7.88,0.01,788.0
1992-02-27,7.78,0.01,778.0
1992-02-28,7.69,0.01,769.0
1992-03-02,7.94,0.01,794.0
1992-03-03,8.0,0.01,800.0
1992-03-04,7.75,0.01,775.0
1992-03-05,7.69,0.01,769.0
1992-03-06,7.75,0.01,775.0
1992-03-09,8.0,0.01,800.0
1992-03-10,8.19,0.01,818.9999999999999
1992-03-11,8.06,0.01,806.0
1992-03-12,8.19,0.01,818.9999999999999
1992-03-13,8.44,0.01,843.9999999999999
1992-03-16,8.13,0.01,813.0000000000001
1992-03-17,8.19,0.01,818.9999999999999
1992-03-18,8.31,0.01,831.0
1992-03-19,8.56,0.01,856.0
1992-03-20,8.75,0.01,875.0
1992-03-23,8.75,0.01,875.0
1992-03-24,8.63,0.01,863.0000000000001
1992-03-25,8.66,0.01,866.0
1992-03-26,8.31,0.01,831.0
1992-03-27,7.88,0.01,788.0
1992-03-30,8.0,0.01,800.0
1992-03-31,8.0,0.01,800.0
1992-04-01,7.59,0.01,759.0
1992-04-02,7.5,0.01,750.0
1992-04-03,7.5,0.01,750.0
1992-04-06,7.56,0.01,756.0
1992-04-07,7.56,0.01,756.0
1992-04-08,7.38,0.01,738.0
1992-04-09,7.47,0.01,747.0
1992-04-10,7.5,0.01,750.0
1992-04-13,7.69,0.01,769.0
1992-04-14,7.94,0.01,794.0
1992-04-15,7.81,0.01,781.0
1992-04-16,7.63,0.01,763.0
1992-04-20,7.34,0.01,734.0
1992-04-21,6.81,0.01,681.0
1992-04-22,6.63,0.01,663.0
1992-04-23,6.69,0.01,669.0
1992-04-24,6.63,0.01,663.0
1992-04-27,6.31,0.01,631.0
1992-04-28,6.63,0.01,663.0
1992-04-29,6.5,0.01,650.0
1992-04-30,7.25,0.01,725.0
1992-05-01,7.69,0.01,769.0
1992-05-04,8.13,0.01,813.0000000000001
1992-05-05,8.38,0.01,838.0000000000001
1992-05-06,8.25,0.01,825.0
1992-05-07,8.38,0.01,838.0000000000001
1992-05-08,8.34,0.01,834.0
1992-05-11,7.88,0.01,788.0
1992-05-12,7.53,0.01,753.0
1992-05-13,7.25,0.01,725.0
1992-05-14,7.13,0.01,713.0
1992-05-15,7.38,0.01,738.0
1992-05-18,7.19,0.01,719.0
1992-05-19,7.19,0.01,719.0
1992-05-20,6.84,0.01,684.0
1992-05-21,6.75,0.01,675.0
1992-05-22,6.88,0.01,688.0
1992-05-26,6.69,0.01,669.0
1992-05-27,6.75,0.01,675.0
1992-05-28,6.88,0.01,688.0
1992-05-29,6.84,0.01,684.0
1992-06-01,7.19,0.01,719.0
1992-06-02,7.81,0.01,781.0
1992-06-03,8.34,0.01,834.0
1992-06-04,7.84,0.01,784.0
1992-06-05,7.59,0.01,759.0
1992-06-08,7.44,0.01,744.0
1992-06-09,6.94,0.01,694.0
1992-06-10,7.0,0.01,700.0
1992-06-11,7.25,0.01,725.0
1992-06-12,7.19,0.01,719.0
1992-06-15,7.31,0.01,731.0
1992-06-16,7.06,0.01,706.0
1992-06-17,6.5,0.01,650.0
1992-06-18,6.38,0.01,638.0
1992-06-19,6.56,0.01,656.0
1992-06-22,6.5,0.01,650.0
1992-06-23,6.75,0.01,675.0
1992-06-24,6.69,0.01,669.0
1992-06-25,6.38,0.01,638.0
1992-06-26,6.5,0.01,650.0
1992-06-29,6.75,0.01,675.0
1992-06-30,7.0,0.01,700.0
1992-07-01,6.88,0.01,688.0
1992-07-02,6.63,0.01,663.0
1992-07-06,6.63,0.01,663.0
1992-07-07,6.44,0.01,644.0
1992-07-08,6.56,0.01,656.0
1992-07-09,6.63,0.01,663.0
1992-07-10,6.56,0.01,656.0
1992-07-13,6.19,0.01,619.0
1992-07-14,6.38,0.01,638.0
1992-07-15,6.31,0.01,631.0
1992-07-16,6.31,0.01,631.0
1992-07-17,6.38,0.01,638.0
1992-07-20,6.25,0.01,625.0
1992-07-21,6.22,0.01,622.0
1992-07-22,6.25,0.01,625.0
1992-07-23,5.94,0.01,594.0
1992-07-24,5.81,0.01,581.0
1992-07-27,5.66,0.01,566.0
1992-07-28,5.88,0.01,588.0
1992-07-29,6.03,0.01,603.0
1992-07-30,6.44,0.01,644.0
1992-07-31,6.5,0.01,650.0
1992-08-03,6.38,0.01,638.0
1992-08-04,6.25,0.01,625.0
1992-08-05,6.38,0.01,638.0
1992-08-06,6.41,0.01,641.0
1992-08-07,6.5,0.01,650.0
1992-08-10,6.44,0.01,644.0
1992-08-11,6.31,0.01,631.0
1992-08-12,6.38,0.01,638.0
1992-08-13,6.31,0.01,631.0
1992-08-14,6.31,0.01,631.0
1992-08-17,6.31,0.01,631.0
1992-08-18,6.22,0.01,622.0
1992-08-19,6.22,0.01,622.0
1992-08-20,5.94,0.01,594.0
1992-08-21,5.88,0.01,588.0
1992-08-24,5.75,0.01,575.0
1992-08-25,5.88,0.01,588.0
1992-08-26,6.25,0.01,625.0
1992-08-27,6.34,0.01,634.0
1992-08-28,6.38,0.01,638.0
1992-08-31,6.25,0.01,625.0
1992-09-01,6.28,0.01,628.0
1992-09-02,6.31,0.01,631.0
1992-09-03,6.25,0.01,625.0
1992-09-04,6.31,0.01,631.0
1992-09-08,6.19,0.01,619.0
1992-09-09,6.25,0.01,625.0
1992-09-10,6.63,0.01,663.0
1992-09-11,7.03,0.01,703.0
1992-09-14,7.25,0.01,725.0
1992-09-15,7.25,0.01,725.0
1992-09-16,7.06,0.01,706.0
1992-09-17,6.94,0.01,694.0
1992-09-18,6.97,0.01,697.0
1992-09-21,7.16,0.01,716.0
1992-09-22,7.09,0.01,709.0
1992-09-23,7.03,0.01,703.0
1992-09-24,7.03,0.01,703.0
1992-09-25,6.69,0.01,669.0
1992-09-28,6.88,0.01,688.0
1992-09-29,6.94,0.01,694.0
1992-09-30,7.38,0.01,738.0
1992-10-01,7.31,0.01,731.0
1992-10-02,6.94,0.01,694.0
1992-10-05,6.63,0.01,663.0
1992-10-06,6.69,0.01,669.0
1992-10-07,6.59,0.01,659.0
1992-10-08,6.84,0.01,684.0
1992-10-09,7.06,0.01,706.0
1992-10-12,7.25,0.01,725.0
1992-10-13,7.25,0.01,725.0
1992-10-14,7.22,0.01,722.0
1992-10-15,7.41,0.01,741.0
1992-10-16,7.81,0.01,781.0
1992-10-19,8.13,0.01,813.0000000000001
1992-10-20,7.81,0.01,781.0
1992-10-21,8.13,0.01,813.0000000000001
1992-10-22,7.88,0.01,788.0
1992-10-23,7.63,0.01,763.0
1992-10-26,7.5,0.01,750.0
1992-10-27,7.25,0.01,725.0
1992-10-28,7.31,0.01,731.0
1992-10-29,7.53,0.01,753.0
1992-10-30,7.56,0.01,756.0
1992-11-02,7.56,0.01,756.0
1992-11-03,7.75,0.01,775.0
1992-11-04,7.81,0.01,781.0
1992-11-05,8.0,0.01,800.0
1992-11-06,8.13,0.01,813.0000000000001
1992-11-09,8.31,0.01,831.0
1992-11-10,8.06,0.01,806.0
1992-11-11,8.25,0.01,825.0
1992-11-12,8.13,0.01,813.0000000000001
1992-11-13,8.13,0.01,813.0000000000001
1992-11-16,8.22,0.01,822.0
1992-11-17,8.19,0.01,818.9999999999999
1992-11-18,8.44,0.01,843.9999999999999
1992-11-19,8.75,0.01,875.0
1992-11-20,8.63,0.01,863.0000000000001
1992-11-23,8.19,0.01,818.9999999999999
1992-11-24,8.03,0.01,802.9999999999999
1992-11-25,7.94,0.01,794.0
1992-11-27,7.88,0.01,788.0
1992-11-30,7.81,0.01,781.0
1992-12-01,7.63,0.01,763.0
1992-12-02,7.69,0.01,769.0
1992-12-03,7.63,0.01,763.0
1992-12-04,7.91,0.01,791.0
1992-12-07,8.19,0.01,818.9999999999999
1992-12-08,8.31,0.01,831.0
1992-12-09,8.38,0.01,838.0000000000001
1992-12-10,8.25,0.01,825.0
1992-12-11,8.31,0.01,831.0
1992-12-14,8.31,0.01,831.0
1992-12-15,8.31,0.01,831.0
1992-12-16,8.31,0.01,831.0
1992-12-17,8.56,0.01,856.0
1992-12-18,8.63,0.01,863.0000000000001
1992-12-21,8.63,0.01,863.0000000000001
1992-12-22,8.66,0.01,866.0
1992-12-23,8.75,0.01,875.0
1992-12-24,8.75,0.01,875.0
1992-12-28,8.63,0.01,863.0000000000001
1992-12-29,8.44,0.01,843.9999999999999
1992-12-30,8.53,0.01,852.9999999999999
1992-12-31,8.66,0.01,866.0
1993-01-04,8.56,0.01,856.0
