date,JBHT,JBHT_EPS,PE Ratio
,,0.04,
1983-11-22,1.54,0.04,38.5
1983-11-23,1.56,0.04,39.0
1983-11-25,1.63,0.04,40.75
1983-11-28,1.52,0.04,38.0
1983-11-29,1.56,0.04,39.0
1983-11-30,1.56,0.04,39.0
1983-12-01,1.56,0.04,39.0
1983-12-02,1.54,0.04,38.5
1983-12-05,1.52,0.04,38.0
1983-12-06,1.5,0.04,37.5
1983-12-07,1.5,0.04,37.5
1983-12-08,1.52,0.04,38.0
1983-12-09,1.52,0.04,38.0
1983-12-12,1.52,0.04,38.0
1983-12-13,1.54,0.04,38.5
1983-12-14,1.54,0.04,38.5
1983-12-15,1.54,0.04,38.5
1983-12-16,1.54,0.04,38.5
1983-12-19,1.54,0.04,38.5
1983-12-20,1.56,0.04,39.0
1983-12-21,1.56,0.04,39.0
1983-12-22,1.56,0.04,39.0
1983-12-23,1.58,0.04,39.5
1983-12-27,1.6,0.04,40.0
1983-12-28,1.6,0.04,40.0
1983-12-29,1.56,0.04,39.0
1983-12-30,1.58,0.04,39.5
1984-01-03,1.6,0.04,40.0
1984-01-04,1.58,0.04,39.5
1984-01-05,1.6,0.04,40.0
1984-01-06,1.67,0.04,41.75
1984-01-09,1.65,0.04,41.25
1984-01-10,1.67,0.04,41.75
1984-01-11,1.67,0.04,41.75
1984-01-12,1.67,0.04,41.75
1984-01-13,1.67,0.04,41.75
1984-01-16,1.69,0.04,42.25
1984-01-17,1.75,0.04,43.75
1984-01-18,1.77,0.04,44.25
1984-01-19,1.77,0.04,44.25
1984-01-20,1.77,0.04,44.25
1984-01-23,1.77,0.04,44.25
1984-01-24,1.71,0.04,42.75
1984-01-25,1.71,0.04,42.75
1984-01-26,1.71,0.04,42.75
1984-01-27,1.67,0.04,41.75
1984-01-30,1.56,0.04,39.0
1984-01-31,1.54,0.04,38.5
1984-02-01,1.54,0.04,38.5
1984-02-02,1.54,0.04,38.5
1984-02-03,1.54,0.04,38.5
1984-02-06,1.54,0.04,38.5
1984-02-07,1.48,0.04,37.0
1984-02-08,1.48,0.04,37.0
1984-02-09,1.48,0.04,37.0
1984-02-10,1.5,0.04,37.5
1984-02-13,1.48,0.04,37.0
1984-02-14,1.48,0.04,37.0
1984-02-15,1.48,0.04,37.0
1984-02-16,1.5,0.04,37.5
1984-02-17,1.52,0.04,38.0
1984-02-21,1.5,0.04,37.5
1984-02-22,1.5,0.04,37.5
1984-02-23,1.5,0.04,37.5
1984-02-24,1.5,0.04,37.5
1984-02-27,1.5,0.04,37.5
1984-02-28,1.5,0.04,37.5
1984-02-29,1.5,0.04,37.5
1984-03-01,1.5,0.04,37.5
1984-03-02,1.5,0.04,37.5
1984-03-05,1.5,0.04,37.5
1984-03-06,1.46,0.04,36.5
1984-03-07,1.44,0.04,36.0
1984-03-08,1.44,0.04,36.0
1984-03-09,1.44,0.04,36.0
1984-03-12,1.44,0.04,36.0
1984-03-13,1.46,0.04,36.5
1984-03-14,1.46,0.04,36.5
1984-03-15,1.46,0.04,36.5
1984-03-16,1.46,0.04,36.5
1984-03-19,1.44,0.04,36.0
1984-03-20,1.44,0.04,36.0
1984-03-21,1.44,0.04,36.0
1984-03-22,1.44,0.04,36.0
1984-03-23,1.44,0.04,36.0
1984-03-26,1.42,0.04,35.5
1984-03-27,1.44,0.04,36.0
1984-03-28,1.44,0.04,36.0
1984-03-29,1.44,0.04,36.0
1984-03-30,1.44,0.04,36.0
1984-04-02,1.44,0.04,36.0
1984-04-03,1.44,0.04,36.0
1984-04-04,1.44,0.04,36.0
1984-04-05,1.44,0.04,36.0
1984-04-06,1.44,0.04,36.0
1984-04-09,1.44,0.04,36.0
1984-04-10,1.44,0.04,36.0
1984-04-11,1.42,0.04,35.5
1984-04-12,1.42,0.04,35.5
1984-04-13,1.42,0.04,35.5
1984-04-16,1.42,0.04,35.5
1984-04-17,1.44,0.04,36.0
1984-04-18,1.42,0.04,35.5
1984-04-19,1.42,0.04,35.5
1984-04-23,1.42,0.04,35.5
1984-04-24,1.44,0.04,36.0
1984-04-25,1.46,0.04,36.5
1984-04-26,1.5,0.04,37.5
1984-04-27,1.5,0.04,37.5
1984-04-30,1.5,0.04,37.5
1984-05-01,1.5,0.04,37.5
