date,WRK,WRK_EPS,PE Ratio
,,0.1,
2015-06-24,57.1,0.1,571.0
2015-06-25,55.77,0.1,557.7
2015-06-26,55.77,0.1,557.7
2015-06-29,54.78,0.1,547.8
2015-06-30,54.87,0.1,548.6999999999999
2015-07-01,56.22,0.1,562.1999999999999
2015-07-02,58.55,0.1,585.4999999999999
2015-07-06,57.44,0.1,574.4
2015-07-07,56.28,0.1,562.8
2015-07-08,53.8,0.1,537.9999999999999
2015-07-09,53.62,0.1,536.1999999999999
2015-07-10,55.32,0.1,553.1999999999999
2015-07-13,55.97,0.1,559.6999999999999
2015-07-14,56.03,0.1,560.3
2015-07-15,55.52,0.1,555.2
2015-07-16,56.15,0.1,561.5
2015-07-17,55.64,0.1,556.4
2015-07-20,55.46,0.1,554.6
2015-07-21,53.92,0.1,539.1999999999999
2015-07-22,54.19,0.1,541.9
2015-07-23,53.92,0.1,539.1999999999999
2015-07-24,53.08,0.1,530.8
2015-07-27,52.43,0.1,524.3
2015-07-28,53.46,0.1,534.6
2015-07-29,53.51,0.1,535.0999999999999
2015-07-30,56.61,0.1,566.0999999999999
2015-07-31,56.82,0.1,568.1999999999999
2015-08-03,56.92,0.1,569.1999999999999
2015-08-04,56.37,0.1,563.6999999999999
2015-08-05,56.54,0.1,565.4
2015-08-06,55.63,0.1,556.3
2015-08-07,56.37,0.1,563.6999999999999
2015-08-10,56.74,1.15,49.33913043478261
2015-08-11,57.12,1.15,49.66956521739131
2015-08-12,57.04,1.15,49.6
2015-08-13,56.88,1.15,49.4608695652174
2015-08-14,56.97,1.15,49.539130434782614
2015-08-17,57.07,1.15,49.626086956521746
2015-08-18,56.91,1.15,49.48695652173913
2015-08-19,55.92,1.15,48.626086956521746
2015-08-20,54.67,1.15,47.539130434782614
2015-08-21,53.17,1.15,46.23478260869566
2015-08-24,50.87,1.15,44.23478260869565
2015-08-25,50.0,1.15,43.47826086956522
2015-08-26,50.86,1.15,44.22608695652174
2015-08-27,53.36,1.15,46.400000000000006
2015-08-28,54.29,1.15,47.208695652173915
2015-08-31,53.47,1.15,46.495652173913044
2015-09-01,52.64,1.15,45.77391304347827
2015-09-02,52.41,1.15,45.573913043478264
2015-09-03,52.91,1.15,46.00869565217391
2015-09-04,51.67,1.15,44.9304347826087
2015-09-08,52.8,1.15,45.91304347826087
2015-09-09,52.48,1.15,45.63478260869565
2015-09-10,52.92,1.15,46.01739130434783
2015-09-11,52.93,1.15,46.026086956521745
2015-09-14,53.68,1.15,46.67826086956522
2015-09-15,53.77,1.15,46.75652173913044
2015-09-16,52.97,1.15,46.060869565217395
2015-09-17,52.01,1.15,45.22608695652174
2015-09-18,50.18,1.15,43.63478260869566
2015-09-21,50.33,1.15,43.76521739130435
2015-09-22,48.6,1.15,42.2608695652174
2015-09-23,47.56,1.15,41.35652173913044
2015-09-24,47.13,1.15,40.98260869565218
2015-09-25,46.81,1.15,40.70434782608696
2015-09-28,45.02,1.15,39.14782608695653
2015-09-29,45.56,1.15,39.617391304347834
2015-09-30,46.35,1.15,40.30434782608696
2015-10-01,46.85,1.15,40.739130434782616
2015-10-02,47.76,1.15,41.530434782608694
2015-10-05,48.74,1.15,42.38260869565218
2015-10-06,48.93,1.15,42.547826086956526
2015-10-07,48.71,1.15,42.356521739130436
2015-10-08,48.82,1.15,42.45217391304348
2015-10-09,51.87,1.15,45.10434782608696
2015-10-12,50.75,1.15,44.1304347826087
2015-10-13,50.04,1.15,43.51304347826087
2015-10-14,50.24,1.15,43.686956521739134
2015-10-15,50.46,1.15,43.878260869565224
2015-10-16,50.27,1.15,43.71304347826088
2015-10-19,48.9,1.15,42.52173913043478
2015-10-20,48.44,1.15,42.12173913043478
2015-10-21,47.36,1.15,41.18260869565218
2015-10-22,47.3,1.15,41.130434782608695
2015-10-23,48.09,1.15,41.81739130434783
2015-10-26,47.99,1.15,41.730434782608704
2015-10-27,47.82,1.15,41.582608695652176
2015-10-28,49.02,1.15,42.626086956521746
2015-10-29,48.71,1.15,42.356521739130436
2015-10-30,48.44,1.15,42.12173913043478
2015-11-02,48.74,1.15,42.38260869565218
2015-11-03,47.95,1.15,41.69565217391305
2015-11-04,47.98,1.15,41.721739130434784
2015-11-05,46.29,1.15,40.25217391304348
2015-11-06,48.35,1.15,42.04347826086957
2015-11-09,46.76,1.15,40.66086956521739
2015-11-10,46.25,1.15,40.21739130434783
2015-11-11,46.45,1.15,40.39130434782609
2015-11-12,44.39,1.15,38.6
2015-11-13,43.74,1.15,38.03478260869566
2015-11-16,43.18,1.15,37.547826086956526
2015-11-17,43.02,1.15,37.40869565217392
2015-11-18,44.66,1.15,38.834782608695654
2015-11-19,45.21,1.15,39.31304347826087
2015-11-20,45.15,1.15,39.26086956521739
2015-11-23,45.41,1.15,39.48695652173913
2015-11-24,45.5,1.15,39.56521739130435
2015-11-25,45.3,1.15,39.391304347826086
2015-11-27,45.42,1.15,39.49565217391305
2015-11-30,45.62,1.15,39.6695652173913
2015-12-01,45.97,1.15,39.97391304347826
2015-12-02,45.38,1.15,39.46086956521739
2015-12-03,45.53,1.15,39.59130434782609
2015-12-04,45.43,1.15,39.504347826086956
2015-12-07,44.11,1.15,38.356521739130436
2015-12-08,43.25,1.15,37.608695652173914
2015-12-09,43.29,1.15,37.643478260869564
2015-12-10,42.27,1.15,36.75652173913044
2015-12-11,41.23,1.15,35.85217391304348
2015-12-14,39.78,1.15,34.59130434782609
2015-12-15,39.26,1.15,34.13913043478261
2015-12-16,40.47,1.15,35.19130434782609
2015-12-17,40.43,1.15,35.15652173913044
2015-12-18,39.72,1.15,34.539130434782614
2015-12-21,40.08,1.15,34.85217391304348
2015-12-22,39.68,1.15,34.504347826086956
2015-12-23,41.0,1.15,35.652173913043484
2015-12-24,41.0,1.15,35.652173913043484
2015-12-28,41.11,1.15,35.74782608695652
2015-12-29,41.33,1.15,35.93913043478261
2015-12-30,41.23,1.15,35.85217391304348
2015-12-31,41.1,1.15,35.73913043478261
2016-01-04,41.01,1.15,35.66086956521739
2016-01-05,40.99,1.15,35.64347826086957
2016-01-06,39.85,1.15,34.652173913043484
2016-01-07,39.45,1.15,34.30434782608696
2016-01-08,37.78,1.15,32.85217391304348
2016-01-11,35.82,1.15,31.147826086956524
2016-01-12,34.55,1.15,30.043478260869566
2016-01-13,34.2,1.15,29.739130434782613
2016-01-14,34.69,1.15,30.16521739130435
2016-01-15,33.38,1.15,29.026086956521745
2016-01-19,32.85,1.15,28.56521739130435
2016-01-20,32.48,1.15,28.243478260869566
2016-01-21,32.8,1.15,28.52173913043478
2016-01-22,34.0,1.15,29.56521739130435
2016-01-25,28.93,1.15,25.156521739130437
2016-01-26,28.9,1.15,25.130434782608695
