date,UNM,UNM_EPS,PE Ratio
,,0.39,
1986-11-06,7.0,0.39,17.94871794871795
1986-11-07,6.97,0.39,17.871794871794872
1986-11-10,6.78,0.39,17.384615384615383
1986-11-11,6.88,0.39,17.64102564102564
1986-11-12,6.88,0.39,17.64102564102564
1986-11-13,6.81,0.39,17.46153846153846
1986-11-14,6.88,0.39,17.64102564102564
1986-11-17,6.75,0.39,17.307692307692307
1986-11-18,6.63,0.39,17.0
1986-11-19,6.53,0.39,16.743589743589745
1986-11-20,6.63,0.39,17.0
1986-11-21,6.72,0.39,17.23076923076923
1986-11-24,6.66,0.39,17.076923076923077
1986-11-25,6.69,0.39,17.153846153846153
1986-11-26,6.69,0.39,17.153846153846153
1986-11-28,6.72,0.39,17.23076923076923
1986-12-01,6.75,0.39,17.307692307692307
1986-12-02,6.88,0.39,17.64102564102564
1986-12-03,6.97,0.39,17.871794871794872
1986-12-04,6.91,0.39,17.71794871794872
1986-12-05,6.84,0.39,17.538461538461537
1986-12-08,6.75,0.39,17.307692307692307
1986-12-09,6.75,0.39,17.307692307692307
1986-12-10,6.72,0.39,17.23076923076923
1986-12-11,6.69,0.39,17.153846153846153
1986-12-12,6.75,0.39,17.307692307692307
1986-12-15,6.72,0.39,17.23076923076923
1986-12-16,6.66,0.39,17.076923076923077
1986-12-17,6.63,0.39,17.0
1986-12-18,6.59,0.39,16.897435897435898
1986-12-19,6.63,0.39,17.0
1986-12-22,6.56,0.39,16.820512820512818
1986-12-23,6.56,0.39,16.820512820512818
1986-12-24,6.53,0.39,16.743589743589745
1986-12-26,6.56,0.39,16.820512820512818
1986-12-29,6.53,0.39,16.743589743589745
1986-12-30,6.56,0.39,16.820512820512818
1986-12-31,6.72,0.39,17.23076923076923
1987-01-02,6.81,0.39,17.46153846153846
1987-01-05,6.94,0.39,17.794871794871796
1987-01-06,6.97,0.39,17.871794871794872
1987-01-07,7.16,0.39,18.358974358974358
1987-01-08,7.56,0.39,19.384615384615383
1987-01-09,7.63,0.39,19.564102564102562
1987-01-12,7.63,0.39,19.564102564102562
1987-01-13,7.41,0.39,19.0
1987-01-14,7.5,0.39,19.23076923076923
1987-01-15,7.5,0.39,19.23076923076923
1987-01-16,7.63,0.39,19.564102564102562
1987-01-19,7.56,0.39,19.384615384615383
1987-01-20,7.59,0.39,19.46153846153846
1987-01-21,7.53,0.39,19.307692307692307
1987-01-22,7.44,0.39,19.076923076923077
1987-01-23,7.63,0.39,19.564102564102562
1987-01-26,7.38,0.39,18.923076923076923
1987-01-27,7.47,0.39,19.153846153846153
1987-01-28,7.44,0.39,19.076923076923077
1987-01-29,7.38,0.39,18.923076923076923
1987-01-30,7.38,0.39,18.923076923076923
1987-02-02,7.53,0.39,19.307692307692307
1987-02-03,7.53,0.39,19.307692307692307
1987-02-04,7.47,0.39,19.153846153846153
1987-02-05,7.41,0.39,19.0
1987-02-06,7.53,0.39,19.307692307692307
1987-02-09,7.5,0.39,19.23076923076923
1987-02-10,7.47,0.39,19.153846153846153
1987-02-11,7.5,0.39,19.23076923076923
1987-02-12,7.53,0.39,19.307692307692307
1987-02-13,7.75,0.39,19.871794871794872
1987-02-17,7.5,0.39,19.23076923076923
1987-02-18,7.38,0.39,18.923076923076923
1987-02-19,7.75,0.39,19.871794871794872
1987-02-20,7.25,0.39,18.589743589743588
1987-02-23,7.0,0.39,17.94871794871795
1987-02-24,6.97,0.39,17.871794871794872
1987-02-25,7.0,0.39,17.94871794871795
1987-02-26,6.94,0.39,17.794871794871796
1987-02-27,6.91,0.39,17.71794871794872
1987-03-02,6.94,0.39,17.794871794871796
1987-03-03,6.88,0.39,17.64102564102564
1987-03-04,6.88,0.39,17.64102564102564
1987-03-05,6.88,0.39,17.64102564102564
1987-03-06,6.97,0.39,17.871794871794872
1987-03-09,6.88,0.39,17.64102564102564
1987-03-10,6.88,0.39,17.64102564102564
1987-03-11,6.75,0.39,17.307692307692307
1987-03-12,6.75,0.39,17.307692307692307
1987-03-13,6.56,0.39,16.820512820512818
1987-03-16,6.44,0.39,16.512820512820515
1987-03-17,6.25,0.39,16.025641025641026
1987-03-18,6.25,0.39,16.025641025641026
1987-03-19,6.22,0.39,15.948717948717947
1987-03-20,6.19,0.39,15.871794871794872
1987-03-23,6.34,0.39,16.256410256410255
1987-03-24,6.16,0.39,15.794871794871794
1987-03-25,6.0,0.39,15.384615384615383
1987-03-26,6.31,0.39,16.17948717948718
1987-03-27,6.31,0.39,16.17948717948718
1987-03-30,6.16,0.39,15.794871794871794
1987-03-31,6.19,0.39,15.871794871794872
1987-04-01,6.06,0.39,15.538461538461537
1987-04-02,6.25,0.39,16.025641025641026
1987-04-03,6.38,0.39,16.358974358974358
1987-04-06,6.22,0.39,15.948717948717947
1987-04-07,6.19,0.39,15.871794871794872
1987-04-08,6.13,0.39,15.717948717948717
