date,SEE,SEE_EPS,PE Ratio
,,0.26,
1980-03-17,0.22,0.26,0.8461538461538461
1980-03-18,0.22,0.26,0.8461538461538461
1980-03-19,0.22,0.26,0.8461538461538461
1980-03-20,0.21,0.26,0.8076923076923076
1980-03-21,0.21,0.26,0.8076923076923076
1980-03-24,0.2,0.26,0.7692307692307693
1980-03-25,0.2,0.26,0.7692307692307693
1980-03-26,0.2,0.26,0.7692307692307693
1980-03-27,0.2,0.26,0.7692307692307693
1980-03-28,0.2,0.26,0.7692307692307693
1980-03-31,0.21,0.26,0.8076923076923076
1980-04-01,0.21,0.26,0.8076923076923076
1980-04-02,0.22,0.26,0.8461538461538461
1980-04-03,0.21,0.26,0.8076923076923076
1980-04-07,0.21,0.26,0.8076923076923076
1980-04-08,0.21,0.26,0.8076923076923076
1980-04-09,0.22,0.26,0.8461538461538461
1980-04-10,0.25,0.26,0.9615384615384615
1980-04-11,0.25,0.26,0.9615384615384615
1980-04-14,0.25,0.26,0.9615384615384615
1980-04-15,0.24,0.26,0.923076923076923
1980-04-16,0.24,0.26,0.923076923076923
1980-04-17,0.24,0.26,0.923076923076923
1980-04-18,0.24,0.26,0.923076923076923
1980-04-21,0.24,0.26,0.923076923076923
1980-04-22,0.25,0.26,0.9615384615384615
1980-04-23,0.25,0.26,0.9615384615384615
1980-04-24,0.25,0.26,0.9615384615384615
1980-04-25,0.25,0.26,0.9615384615384615
1980-04-28,0.26,0.26,1.0
1980-04-29,0.25,0.26,0.9615384615384615
1980-04-30,0.25,0.26,0.9615384615384615
1980-05-01,0.24,0.26,0.923076923076923
1980-05-02,0.25,0.26,0.9615384615384615
1980-05-05,0.26,0.26,1.0
1980-05-06,0.25,0.26,0.9615384615384615
1980-05-07,0.25,0.26,0.9615384615384615
1980-05-08,0.25,0.26,0.9615384615384615
1980-05-09,0.25,0.26,0.9615384615384615
1980-05-12,0.25,0.26,0.9615384615384615
1980-05-13,0.24,0.26,0.923076923076923
1980-05-14,0.25,0.26,0.9615384615384615
1980-05-15,0.25,0.26,0.9615384615384615
1980-05-16,0.25,0.26,0.9615384615384615
1980-05-19,0.25,0.26,0.9615384615384615
1980-05-20,0.26,0.26,1.0
1980-05-21,0.25,0.26,0.9615384615384615
1980-05-22,0.26,0.26,1.0
1980-05-23,0.26,0.26,1.0
1980-05-27,0.26,0.26,1.0
1980-05-28,0.26,0.26,1.0
1980-05-29,0.26,0.26,1.0
1980-05-30,0.26,0.26,1.0
1980-06-02,0.27,0.26,1.0384615384615385
1980-06-03,0.26,0.26,1.0
1980-06-04,0.27,0.26,1.0384615384615385
1980-06-05,0.27,0.26,1.0384615384615385
1980-06-06,0.28,0.26,1.076923076923077
