date,FTI,FTI_EPS,PE Ratio
,,1.44,
2001-06-15,5.46,1.44,3.791666666666667
2001-06-18,5.38,1.44,3.736111111111111
2001-06-19,5.21,1.44,3.618055555555556
2001-06-20,5.2,1.44,3.611111111111111
2001-06-21,5.0,1.44,3.4722222222222223
2001-06-22,5.0,1.44,3.4722222222222223
2001-06-25,5.0,1.44,3.4722222222222223
2001-06-26,5.0,1.44,3.4722222222222223
2001-06-27,4.95,1.44,3.4375000000000004
2001-06-28,4.93,1.44,3.423611111111111
2001-06-29,5.16,1.44,3.5833333333333335
2001-07-02,4.95,1.44,3.4375000000000004
2001-07-03,4.78,1.44,3.3194444444444446
2001-07-05,4.88,1.44,3.388888888888889
2001-07-06,4.86,1.44,3.3750000000000004
2001-07-09,4.79,1.44,3.326388888888889
2001-07-10,4.5,1.44,3.125
2001-07-11,4.53,1.44,3.1458333333333335
2001-07-12,4.53,1.44,3.1458333333333335
2001-07-13,4.67,1.44,3.243055555555556
2001-07-16,4.49,1.44,3.118055555555556
2001-07-17,4.4,1.44,3.055555555555556
2001-07-18,4.46,1.44,3.0972222222222223
2001-07-19,4.54,1.44,3.152777777777778
2001-07-20,4.52,1.44,3.138888888888889
2001-07-23,4.5,1.44,3.125
2001-07-24,4.5,1.44,3.125
2001-07-25,4.8,1.44,3.3333333333333335
2001-07-26,4.78,1.44,3.3194444444444446
2001-07-27,4.62,1.44,3.2083333333333335
2001-07-30,4.62,1.44,3.2083333333333335
2001-07-31,4.52,1.44,3.138888888888889
2001-08-01,4.5,1.44,3.125
2001-08-02,4.55,1.44,3.1597222222222223
2001-08-03,4.49,1.44,3.118055555555556
2001-08-06,4.4,1.44,3.055555555555556
2001-08-07,4.31,1.44,2.9930555555555554
2001-08-08,4.25,1.44,2.951388888888889
2001-08-09,4.06,1.44,2.819444444444444
2001-08-10,4.06,1.44,2.819444444444444
2001-08-13,4.0,1.44,2.7777777777777777
2001-08-14,4.04,1.44,2.805555555555556
2001-08-15,4.23,1.44,2.9375000000000004
2001-08-16,4.19,1.44,2.9097222222222228
2001-08-17,4.16,1.44,2.8888888888888893
2001-08-20,4.22,1.44,2.9305555555555554
2001-08-21,4.18,1.44,2.9027777777777777
2001-08-22,4.16,1.44,2.8888888888888893
2001-08-23,4.12,1.44,2.861111111111111
2001-08-24,4.06,1.44,2.819444444444444
2001-08-27,4.13,1.44,2.868055555555556
2001-08-28,4.11,1.44,2.854166666666667
2001-08-29,4.11,1.44,2.854166666666667
2001-08-30,4.0,1.44,2.7777777777777777
2001-08-31,4.07,1.44,2.8263888888888893
2001-09-04,4.18,1.44,2.9027777777777777
2001-09-05,4.13,1.44,2.868055555555556
2001-09-06,4.03,1.44,2.7986111111111116
2001-09-07,3.96,1.44,2.75
2001-09-10,3.89,1.44,2.7013888888888893
2001-09-17,3.48,1.44,2.416666666666667
