date,KR,KR_EPS,PE Ratio
,,0.0,
1977-01-03,0.74,0.0,inf
1977-01-04,0.75,0.0,inf
1977-01-05,0.76,0.0,inf
1977-01-06,0.77,0.0,inf
1977-01-07,0.76,0.0,inf
1977-01-10,0.76,0.0,inf
1977-01-11,0.76,0.0,inf
1977-01-12,0.76,0.0,inf
1977-01-13,0.75,0.0,inf
1977-01-14,0.76,0.0,inf
1977-01-17,0.76,0.0,inf
1977-01-18,0.77,0.0,inf
1977-01-19,0.75,0.0,inf
1977-01-20,0.75,0.0,inf
1977-01-21,0.75,0.0,inf
1977-01-24,0.75,0.0,inf
1977-01-25,0.75,0.0,inf
1977-01-26,0.75,0.0,inf
1977-01-27,0.76,0.0,inf
1977-01-28,0.75,0.0,inf
1977-01-31,0.76,0.0,inf
1977-02-01,0.76,0.0,inf
1977-02-02,0.76,0.0,inf
1977-02-03,0.77,0.0,inf
1977-02-04,0.77,0.0,inf
1977-02-07,0.77,0.0,inf
1977-02-08,0.76,0.0,inf
1977-02-09,0.76,0.0,inf
1977-02-10,0.77,0.0,inf
1977-02-11,0.78,0.0,inf
1977-02-14,0.8,0.0,inf
1977-02-15,0.8,0.0,inf
1977-02-16,0.8,0.0,inf
1977-02-17,0.8,0.0,inf
1977-02-18,0.8,0.0,inf
1977-02-22,0.8,0.0,inf
1977-02-23,0.81,0.0,inf
1977-02-24,0.85,0.0,inf
1977-02-25,0.83,0.0,inf
1977-02-28,0.83,0.0,inf
1977-03-01,0.84,0.0,inf
1977-03-02,0.82,0.0,inf
1977-03-03,0.82,0.0,inf
1977-03-04,0.82,0.0,inf
1977-03-07,0.82,0.0,inf
1977-03-08,0.82,0.0,inf
1977-03-09,0.82,0.0,inf
1977-03-10,0.82,0.0,inf
1977-03-11,0.82,0.0,inf
1977-03-14,0.82,0.0,inf
1977-03-15,0.81,0.0,inf
1977-03-16,0.8,0.0,inf
1977-03-17,0.8,0.0,inf
1977-03-18,0.82,0.0,inf
1977-03-21,0.82,0.0,inf
1977-03-22,0.81,0.0,inf
1977-03-23,0.8,0.0,inf
1977-03-24,0.8,0.0,inf
1977-03-25,0.79,0.0,inf
