date,ABT,ABT_EPS,PE Ratio
,,0.13,
1989-09-19,3.6,0.13,27.692307692307693
1989-09-20,3.54,0.13,27.23076923076923
1989-09-21,3.48,0.13,26.769230769230766
1989-09-22,3.51,0.13,26.999999999999996
1989-09-25,3.46,0.13,26.615384615384613
1989-09-26,3.44,0.13,26.46153846153846
1989-09-27,3.49,0.13,26.846153846153847
1989-09-28,3.59,0.13,27.615384615384613
1989-09-29,3.58,0.13,27.538461538461537
1989-10-02,3.62,0.13,27.846153846153847
1989-10-03,3.65,0.13,28.076923076923077
1989-10-04,3.7,0.13,28.461538461538463
1989-10-05,3.74,0.13,28.76923076923077
1989-10-06,3.76,0.13,28.92307692307692
1989-10-09,3.79,0.13,29.153846153846153
1989-10-10,3.82,0.13,29.384615384615383
1989-10-11,3.79,0.13,29.153846153846153
1989-10-12,3.76,0.13,28.92307692307692
1989-10-13,3.45,0.13,26.53846153846154
1989-10-16,3.65,0.13,28.076923076923077
1989-10-17,3.65,0.13,28.076923076923077
1989-10-18,3.72,0.13,28.615384615384617
1989-10-19,3.79,0.13,29.153846153846153
1989-10-20,3.77,0.13,29.0
1989-10-23,3.79,0.13,29.153846153846153
1989-10-24,3.76,0.13,28.92307692307692
1989-10-25,3.71,0.13,28.538461538461537
1989-10-26,3.69,0.13,28.384615384615383
1989-10-27,3.63,0.13,27.92307692307692
1989-10-30,3.64,0.13,28.0
1989-10-31,3.66,0.13,28.153846153846153
1989-11-01,3.68,0.13,28.307692307692307
1989-11-02,3.66,0.13,28.153846153846153
1989-11-03,3.63,0.13,27.92307692307692
1989-11-06,3.56,0.13,27.384615384615383
1989-11-07,3.6,0.13,27.692307692307693
1989-11-08,3.65,0.13,28.076923076923077
1989-11-09,3.68,0.13,28.307692307692307
1989-11-10,3.75,0.13,28.846153846153847
1989-11-13,3.72,0.13,28.615384615384617
1989-11-14,3.68,0.13,28.307692307692307
1989-11-15,3.67,0.13,28.23076923076923
1989-11-16,3.67,0.13,28.23076923076923
1989-11-17,3.71,0.13,28.538461538461537
1989-11-20,3.72,0.13,28.615384615384617
1989-11-21,3.7,0.13,28.461538461538463
1989-11-22,3.78,0.13,29.076923076923073
1989-11-24,3.89,0.13,29.923076923076923
1989-11-27,3.93,0.13,30.23076923076923
1989-11-28,3.92,0.13,30.153846153846153
1989-11-29,3.87,0.13,29.76923076923077
1989-11-30,3.89,0.13,29.923076923076923
1989-12-01,3.93,0.13,30.23076923076923
1989-12-04,3.92,0.13,30.153846153846153
1989-12-05,3.89,0.13,29.923076923076923
1989-12-06,3.84,0.13,29.538461538461537
1989-12-07,3.77,0.13,29.0
1989-12-08,3.77,0.13,29.0
1989-12-11,3.65,0.13,28.076923076923077
1989-12-12,3.64,0.13,28.0
1989-12-13,3.61,0.13,27.769230769230766
1989-12-14,3.66,0.13,28.153846153846153
1989-12-15,3.66,0.13,28.153846153846153
1989-12-18,3.65,0.13,28.076923076923077
1989-12-19,3.64,0.13,28.0
1989-12-20,3.67,0.13,28.23076923076923
1989-12-21,3.75,0.13,28.846153846153847
1989-12-22,3.77,0.13,29.0
1989-12-26,3.77,0.13,29.0
1989-12-27,3.78,0.13,29.076923076923073
1989-12-28,3.78,0.13,29.076923076923073
1989-12-29,3.82,0.13,29.384615384615383
1990-01-02,3.89,0.13,29.923076923076923
1990-01-03,3.9,0.13,30.0
1990-01-04,3.89,0.13,29.923076923076923
1990-01-05,3.85,0.13,29.615384615384617
1990-01-08,3.85,0.13,29.615384615384617
1990-01-09,3.84,0.13,29.538461538461537
1990-01-10,3.79,0.13,29.153846153846153
1990-01-11,3.82,0.13,29.384615384615383
1990-01-12,3.75,0.13,28.846153846153847
1990-01-15,3.7,0.13,28.461538461538463
1990-01-16,3.74,0.13,28.76923076923077
1990-01-17,3.7,0.13,28.461538461538463
1990-01-18,3.77,0.13,29.0
1990-01-19,3.82,0.13,29.384615384615383
1990-01-22,3.74,0.13,28.76923076923077
1990-01-23,3.7,0.13,28.461538461538463
1990-01-24,3.72,0.13,28.615384615384617
1990-01-25,3.59,0.13,27.615384615384613
1990-01-26,3.63,0.13,27.92307692307692
1990-01-29,3.62,0.13,27.846153846153847
1990-01-30,3.61,0.13,27.769230769230766
1990-01-31,3.65,0.13,28.076923076923077
1990-02-01,3.66,0.13,28.153846153846153
1990-02-02,3.69,0.13,28.384615384615383
1990-02-05,3.68,0.13,28.307692307692307
1990-02-06,3.63,0.13,27.92307692307692
1990-02-07,3.63,0.13,27.92307692307692
1990-02-08,3.62,0.13,27.846153846153847
1990-02-09,3.6,0.13,27.692307692307693
1990-02-12,3.57,0.13,27.46153846153846
1990-02-13,3.61,0.13,27.769230769230766
1990-02-14,3.64,0.13,28.0
1990-02-15,3.69,0.13,28.384615384615383
1990-02-16,3.67,0.13,28.23076923076923
1990-02-20,3.61,0.13,27.769230769230766
1990-02-21,3.58,0.13,27.538461538461537
1990-02-22,3.59,0.13,27.615384615384613
1990-02-23,3.54,0.13,27.23076923076923
1990-02-26,3.56,0.13,27.384615384615383
1990-02-27,3.56,0.13,27.384615384615383
1990-02-28,3.6,0.13,27.692307692307693
1990-03-01,3.62,0.13,27.846153846153847
1990-03-02,3.65,0.13,28.076923076923077
1990-03-05,3.61,0.13,27.769230769230766
1990-03-06,3.65,0.13,28.076923076923077
1990-03-07,3.63,0.13,27.92307692307692
1990-03-08,3.63,0.13,27.92307692307692
1990-03-09,3.63,0.13,27.92307692307692
1990-03-12,3.62,0.13,27.846153846153847
1990-03-13,3.56,0.13,27.384615384615383
1990-03-14,3.57,0.13,27.46153846153846
1990-03-15,3.59,0.13,27.615384615384613
1990-03-16,3.64,0.13,28.0
1990-03-19,3.64,0.13,28.0
1990-03-20,3.58,0.13,27.538461538461537
1990-03-21,3.56,0.13,27.384615384615383
1990-03-22,3.54,0.13,27.23076923076923
1990-03-23,3.58,0.13,27.538461538461537
1990-03-26,3.59,0.13,27.615384615384613
1990-03-27,3.64,0.13,28.0
1990-03-28,3.68,0.13,28.307692307692307
1990-03-29,3.69,0.13,28.384615384615383
1990-03-30,3.69,0.13,28.384615384615383
1990-04-02,3.67,0.13,28.23076923076923
1990-04-03,3.76,0.13,28.92307692307692
1990-04-04,3.75,0.13,28.846153846153847
1990-04-05,3.77,0.13,29.0
1990-04-06,3.79,0.13,29.153846153846153
1990-04-09,3.82,0.13,29.384615384615383
1990-04-10,3.85,0.13,29.615384615384617
1990-04-11,3.89,0.13,29.923076923076923
1990-04-12,3.89,0.13,29.923076923076923
1990-04-16,3.89,0.13,29.923076923076923
1990-04-17,3.89,0.13,29.923076923076923
1990-04-18,3.84,0.13,29.538461538461537
1990-04-19,3.79,0.13,29.153846153846153
1990-04-20,3.76,0.13,28.92307692307692
1990-04-23,3.72,0.13,28.615384615384617
1990-04-24,3.73,0.13,28.69230769230769
1990-04-25,3.76,0.13,28.92307692307692
1990-04-26,3.81,0.13,29.307692307692307
1990-04-27,3.77,0.13,29.0
1990-04-30,3.75,0.13,28.846153846153847
1990-05-01,3.79,0.13,29.153846153846153
1990-05-02,3.81,0.13,29.307692307692307
1990-05-03,3.79,0.13,29.153846153846153
1990-05-04,3.82,0.13,29.384615384615383
1990-05-07,3.84,0.13,29.538461538461537
1990-05-08,3.87,0.13,29.76923076923077
1990-05-09,3.89,0.13,29.923076923076923
1990-05-10,3.91,0.13,30.076923076923077
1990-05-11,3.98,0.13,30.615384615384613
1990-05-14,4.01,0.13,30.846153846153843
1990-05-15,3.99,0.13,30.692307692307693
1990-05-16,3.97,0.13,30.53846153846154
1990-05-17,4.01,0.13,30.846153846153843
1990-05-18,3.99,0.13,30.692307692307693
1990-05-21,4.01,0.13,30.846153846153843
1990-05-22,4.04,0.13,31.076923076923077
1990-05-23,4.1,0.13,31.538461538461533
1990-05-24,4.12,0.13,31.692307692307693
1990-05-25,4.1,0.13,31.538461538461533
1990-05-29,4.17,0.13,32.07692307692307
1990-05-30,4.16,0.13,32.0
1990-05-31,4.2,0.13,32.30769230769231
1990-06-01,4.26,0.13,32.76923076923077
1990-06-04,4.28,0.13,32.92307692307693
1990-06-05,4.25,0.13,32.69230769230769
1990-06-06,4.35,0.13,33.46153846153846
1990-06-07,4.28,0.13,32.92307692307693
1990-06-08,4.19,0.13,32.23076923076923
1990-06-11,4.24,0.13,32.61538461538461
1990-06-12,4.38,0.13,33.69230769230769
1990-06-13,4.32,0.13,33.23076923076923
1990-06-14,4.32,0.13,33.23076923076923
1990-06-15,4.33,0.13,33.30769230769231
1990-06-18,4.38,0.13,33.69230769230769
1990-06-19,4.38,0.13,33.69230769230769
1990-06-20,4.49,0.13,34.53846153846154
1990-06-21,4.57,0.13,35.15384615384615
1990-06-22,4.5,0.13,34.61538461538461
1990-06-25,4.49,0.13,34.53846153846154
1990-06-26,4.52,0.13,34.76923076923077
1990-06-27,4.59,0.13,35.30769230769231
1990-06-28,4.71,0.13,36.230769230769226
1990-06-29,4.6,0.13,35.38461538461538
1990-07-02,4.6,0.13,35.38461538461538
1990-07-03,4.69,0.13,36.07692307692308
1990-07-05,4.63,0.13,35.61538461538461
1990-07-06,4.67,0.13,35.92307692307692
1990-07-09,4.71,0.13,36.230769230769226
1990-07-10,4.8,0.13,36.92307692307692
