date,SNA,SNA_EPS,PE Ratio
,,0.44,
1989-09-19,23.33,0.44,53.022727272727266
1989-09-20,23.33,0.44,53.022727272727266
1989-09-21,23.33,0.44,53.022727272727266
1989-09-22,23.5,0.44,53.40909090909091
1989-09-25,23.33,0.44,53.022727272727266
1989-09-26,23.33,0.44,53.022727272727266
1989-09-27,23.42,0.44,53.227272727272734
1989-09-28,23.42,0.44,53.227272727272734
1989-09-29,23.92,0.44,54.36363636363637
1989-10-02,23.92,0.44,54.36363636363637
1989-10-03,24.0,0.44,54.54545454545455
1989-10-04,23.92,0.44,54.36363636363637
1989-10-05,23.33,0.44,53.022727272727266
1989-10-06,24.0,0.44,54.54545454545455
1989-10-09,24.25,0.44,55.11363636363637
1989-10-10,24.17,0.44,54.93181818181819
1989-10-11,24.17,0.44,54.93181818181819
1989-10-12,24.08,0.44,54.72727272727273
1989-10-13,23.25,0.44,52.84090909090909
1989-10-16,22.67,0.44,51.52272727272727
1989-10-17,23.17,0.44,52.659090909090914
1989-10-18,22.83,0.44,51.88636363636363
1989-10-19,22.92,0.44,52.09090909090909
1989-10-20,22.75,0.44,51.70454545454545
1989-10-23,22.58,0.44,51.31818181818181
1989-10-24,22.42,0.44,50.95454545454546
1989-10-25,22.08,0.44,50.18181818181818
1989-10-26,22.0,0.44,50.0
1989-10-27,21.92,0.44,49.81818181818182
1989-10-30,21.92,0.44,49.81818181818182
1989-10-31,22.25,0.44,50.56818181818182
1989-11-01,22.25,0.44,50.56818181818182
1989-11-02,22.0,0.44,50.0
1989-11-03,22.33,0.44,50.74999999999999
1989-11-06,22.0,0.44,50.0
1989-11-07,22.08,0.44,50.18181818181818
1989-11-08,22.17,0.44,50.38636363636364
1989-11-09,21.83,0.44,49.61363636363636
1989-11-10,22.08,0.44,50.18181818181818
1989-11-13,21.58,0.44,49.04545454545454
1989-11-14,21.25,0.44,48.29545454545455
1989-11-15,21.33,0.44,48.47727272727273
1989-11-16,21.33,0.44,48.47727272727273
1989-11-17,21.42,0.44,48.68181818181819
1989-11-20,20.83,0.44,47.340909090909086
1989-11-21,19.58,0.44,44.49999999999999
1989-11-22,20.17,0.44,45.84090909090909
1989-11-24,21.0,0.44,47.72727272727273
1989-11-27,21.0,0.44,47.72727272727273
1989-11-28,20.83,0.44,47.340909090909086
1989-11-29,20.5,0.44,46.59090909090909
1989-11-30,20.67,0.44,46.977272727272734
1989-12-01,20.42,0.44,46.409090909090914
