date,GD,GD_EPS,PE Ratio
,,0.23,
1977-01-03,1.36,0.23,5.91304347826087
1977-01-04,1.34,0.23,5.826086956521739
1977-01-05,1.33,0.23,5.782608695652174
1977-01-06,1.33,0.23,5.782608695652174
1977-01-07,1.32,0.23,5.739130434782608
1977-01-10,1.3,0.23,5.6521739130434785
1977-01-11,1.27,0.23,5.521739130434782
1977-01-12,1.24,0.23,5.391304347826087
1977-01-13,1.23,0.23,5.3478260869565215
1977-01-14,1.31,0.23,5.695652173913044
1977-01-17,1.3,0.23,5.6521739130434785
1977-01-18,1.34,0.23,5.826086956521739
1977-01-19,1.41,0.23,6.130434782608695
1977-01-20,1.43,0.23,6.217391304347825
1977-01-21,1.41,0.23,6.130434782608695
1977-01-24,1.4,0.23,6.08695652173913
1977-01-25,1.41,0.23,6.130434782608695
1977-01-26,1.4,0.23,6.08695652173913
1977-01-27,1.39,0.23,6.0434782608695645
1977-01-28,1.4,0.23,6.08695652173913
1977-01-31,1.45,0.23,6.304347826086956
1977-02-01,1.47,0.23,6.391304347826087
1977-02-02,1.49,0.23,6.478260869565217
1977-02-03,1.49,0.23,6.478260869565217
1977-02-04,1.51,0.23,6.565217391304348
1977-02-07,1.5,0.23,6.521739130434782
1977-02-08,1.49,0.23,6.478260869565217
1977-02-09,1.45,0.23,6.304347826086956
1977-02-10,1.44,0.23,6.260869565217391
1977-02-11,1.42,0.23,6.17391304347826
1977-02-14,1.43,0.23,6.217391304347825
1977-02-15,1.43,0.23,6.217391304347825
1977-02-16,1.46,0.23,6.3478260869565215
1977-02-17,1.47,0.23,6.391304347826087
1977-02-18,1.46,0.23,6.3478260869565215
1977-02-22,1.46,0.23,6.3478260869565215
1977-02-23,1.43,0.23,6.217391304347825
1977-02-24,1.4,0.23,6.08695652173913
1977-02-25,1.39,0.23,6.0434782608695645
1977-02-28,1.41,0.23,6.130434782608695
1977-03-01,1.45,0.23,6.304347826086956
1977-03-02,1.45,0.23,6.304347826086956
1977-03-03,1.45,0.23,6.304347826086956
1977-03-04,1.43,0.23,6.217391304347825
1977-03-07,1.43,0.23,6.217391304347825
1977-03-08,1.42,0.23,6.17391304347826
1977-03-09,1.4,0.23,6.08695652173913
1977-03-10,1.41,0.23,6.130434782608695
1977-03-11,1.42,0.23,6.17391304347826
1977-03-14,1.45,0.23,6.304347826086956
1977-03-15,1.45,0.23,6.304347826086956
1977-03-16,1.45,0.23,6.304347826086956
1977-03-17,1.44,0.23,6.260869565217391
1977-03-18,1.44,0.23,6.260869565217391
1977-03-21,1.44,0.23,6.260869565217391
1977-03-22,1.48,0.23,6.434782608695651
1977-03-23,1.45,0.23,6.304347826086956
1977-03-24,1.44,0.23,6.260869565217391
1977-03-25,1.42,0.23,6.17391304347826
1977-03-28,1.41,0.23,6.130434782608695
1977-03-29,1.42,0.23,6.17391304347826
1977-03-30,1.4,0.23,6.08695652173913
1977-03-31,1.42,0.23,6.17391304347826
1977-04-01,1.44,0.23,6.260869565217391
1977-04-04,1.44,0.23,6.260869565217391
1977-04-05,1.36,0.23,5.91304347826087
1977-04-06,1.31,0.23,5.695652173913044
1977-04-07,1.36,0.23,5.91304347826087
1977-04-11,1.36,0.23,5.91304347826087
1977-04-12,1.4,0.23,6.08695652173913
1977-04-13,1.36,0.23,5.91304347826087
1977-04-14,1.33,0.23,5.782608695652174
1977-04-15,1.36,0.23,5.91304347826087
1977-04-18,1.34,0.23,5.826086956521739
1977-04-19,1.33,0.23,5.782608695652174
1977-04-20,1.32,0.23,5.739130434782608
1977-04-21,1.3,0.23,5.6521739130434785
1977-04-22,1.28,0.23,5.565217391304348
1977-04-25,1.26,0.23,5.478260869565217
1977-04-26,1.27,0.23,5.521739130434782
1977-04-27,1.29,0.23,5.608695652173913
1977-04-28,1.29,0.23,5.608695652173913
1977-04-29,1.3,0.23,5.6521739130434785
1977-05-02,1.29,0.23,5.608695652173913
1977-05-03,1.33,0.23,5.782608695652174
1977-05-04,1.38,0.23,5.999999999999999
1977-05-05,1.38,0.23,5.999999999999999
1977-05-06,1.39,0.23,6.0434782608695645
1977-05-09,1.38,0.23,5.999999999999999
1977-05-10,1.38,0.23,5.999999999999999
1977-05-11,1.36,0.23,5.91304347826087
1977-05-12,1.35,0.23,5.869565217391305
1977-05-13,1.36,0.23,5.91304347826087
1977-05-16,1.38,0.23,5.999999999999999
1977-05-17,1.36,0.23,5.91304347826087
1977-05-18,1.37,0.23,5.956521739130435
1977-05-19,1.37,0.23,5.956521739130435
1977-05-20,1.36,0.23,5.91304347826087
1977-05-23,1.33,0.23,5.782608695652174
1977-05-24,1.32,0.23,5.739130434782608
1977-05-25,1.33,0.23,5.782608695652174
1977-05-26,1.35,0.23,5.869565217391305
1977-05-27,1.33,0.23,5.782608695652174
1977-05-31,1.32,0.23,5.739130434782608
1977-06-01,1.34,0.23,5.826086956521739
1977-06-02,1.34,0.23,5.826086956521739
1977-06-03,1.34,0.23,5.826086956521739
1977-06-06,1.35,0.23,5.869565217391305
1977-06-07,1.37,0.23,5.956521739130435
1977-06-08,1.36,0.23,5.91304347826087
1977-06-09,1.38,0.23,5.999999999999999
1977-06-10,1.4,0.23,6.08695652173913
1977-06-13,1.41,0.23,6.130434782608695
1977-06-14,1.41,0.23,6.130434782608695
1977-06-15,1.38,0.23,5.999999999999999
1977-06-16,1.41,0.23,6.130434782608695
1977-06-17,1.4,0.23,6.08695652173913
1977-06-20,1.41,0.23,6.130434782608695
1977-06-21,1.42,0.23,6.17391304347826
1977-06-22,1.42,0.23,6.17391304347826
1977-06-23,1.47,0.23,6.391304347826087
1977-06-24,1.47,0.23,6.391304347826087
1977-06-27,1.49,0.23,6.478260869565217
1977-06-28,1.46,0.23,6.3478260869565215
1977-06-29,1.48,0.23,6.434782608695651
1977-06-30,1.5,0.23,6.521739130434782
1977-07-01,1.48,0.23,6.434782608695651
1977-07-05,1.49,0.23,6.478260869565217
1977-07-06,1.49,0.23,6.478260869565217
