date,DGX,DGX_EPS,PE Ratio
,,0.11,
1996-12-17,3.5,0.11,31.818181818181817
1996-12-18,3.56,0.11,32.36363636363637
1996-12-19,3.66,0.11,33.27272727272727
1996-12-20,3.72,0.11,33.81818181818182
1996-12-23,3.81,0.11,34.63636363636363
1996-12-24,3.91,0.11,35.54545454545455
1996-12-26,3.81,0.11,34.63636363636363
1996-12-27,3.81,0.11,34.63636363636363
1996-12-30,3.78,0.11,34.36363636363636
1996-12-31,3.78,0.11,34.36363636363636
1997-01-02,3.66,0.11,33.27272727272727
1997-01-03,3.75,0.11,34.09090909090909
1997-01-06,3.78,0.11,34.36363636363636
1997-01-07,4.0,0.11,36.36363636363637
1997-01-08,4.03,0.11,36.63636363636364
1997-01-09,4.06,0.11,36.90909090909091
1997-01-10,4.09,0.11,37.18181818181818
1997-01-13,4.06,0.11,36.90909090909091
1997-01-14,4.44,0.11,40.36363636363637
1997-01-15,4.09,0.11,37.18181818181818
1997-01-16,4.0,0.11,36.36363636363637
1997-01-17,4.03,0.11,36.63636363636364
1997-01-20,3.97,0.11,36.09090909090909
1997-01-21,4.0,0.11,36.36363636363637
1997-01-22,4.0,0.11,36.36363636363637
1997-01-23,4.09,0.11,37.18181818181818
1997-01-24,4.03,0.11,36.63636363636364
1997-01-27,4.03,0.11,36.63636363636364
1997-01-28,4.0,0.11,36.36363636363637
1997-01-29,4.0,0.11,36.36363636363637
1997-01-30,4.0,0.11,36.36363636363637
1997-01-31,3.94,0.11,35.81818181818182
1997-02-03,4.06,0.11,36.90909090909091
1997-02-04,4.13,0.11,37.54545454545455
1997-02-05,4.16,0.11,37.81818181818182
1997-02-06,4.13,0.11,37.54545454545455
1997-02-07,4.19,0.11,38.09090909090909
1997-02-10,4.13,0.11,37.54545454545455
1997-02-11,4.13,0.11,37.54545454545455
1997-02-12,4.09,0.11,37.18181818181818
1997-02-13,4.22,0.11,38.36363636363636
1997-02-14,4.13,0.11,37.54545454545455
1997-02-18,4.13,0.11,37.54545454545455
1997-02-19,4.16,0.11,37.81818181818182
1997-02-20,4.22,0.11,38.36363636363636
1997-02-21,4.25,0.11,38.63636363636363
1997-02-24,4.41,0.11,40.09090909090909
1997-02-25,4.44,0.11,40.36363636363637
1997-02-26,4.34,0.11,39.45454545454545
