date,HII,HII_EPS,PE Ratio
,,1.31,
2011-03-22,37.49,1.31,28.61832061068702
2011-03-23,37.25,1.31,28.43511450381679
2011-03-24,37.25,1.31,28.43511450381679
2011-03-25,39.25,1.31,29.9618320610687
2011-03-28,37.75,1.31,28.81679389312977
2011-03-29,37.5,1.31,28.62595419847328
2011-03-30,38.2,1.31,29.16030534351145
2011-03-31,41.5,1.31,31.679389312977097
2011-04-01,40.04,1.31,30.564885496183205
2011-04-04,40.15,1.31,30.648854961832058
2011-04-05,40.25,1.31,30.725190839694655
2011-04-06,39.68,1.31,30.29007633587786
2011-04-07,38.8,1.31,29.618320610687018
2011-04-08,38.5,1.31,29.389312977099234
2011-04-11,38.32,1.31,29.251908396946565
2011-04-12,38.05,1.31,29.045801526717554
2011-04-13,38.0,1.31,29.00763358778626
2011-04-14,38.77,1.31,29.595419847328245
2011-04-15,40.14,1.31,30.641221374045802
2011-04-18,40.05,1.31,30.57251908396946
2011-04-19,39.78,1.31,30.366412213740457
2011-04-20,40.06,1.31,30.580152671755727
2011-04-21,39.31,1.31,30.00763358778626
2011-04-25,39.07,1.31,29.82442748091603
2011-04-26,39.34,1.31,30.03053435114504
2011-04-27,40.01,1.31,30.541984732824424
2011-04-28,39.99,1.31,30.52671755725191
2011-04-29,40.0,1.31,30.534351145038165
2011-05-02,40.98,1.31,31.2824427480916
2011-05-03,40.5,1.31,30.916030534351144
2011-05-04,39.95,1.31,30.49618320610687
2011-05-05,39.84,1.31,30.412213740458018
2011-05-06,39.5,1.31,30.15267175572519
2011-05-09,39.6,1.31,30.229007633587788
2011-05-10,40.17,1.31,30.66412213740458
2011-05-11,38.78,1.31,29.603053435114504
2011-05-12,38.39,1.31,29.30534351145038
2011-05-13,38.46,1.31,29.358778625954198
2011-05-16,38.69,1.31,29.534351145038165
2011-05-17,38.78,1.31,29.603053435114504
2011-05-18,38.5,1.31,29.389312977099234
2011-05-19,38.38,1.31,29.297709923664122
2011-05-20,38.06,1.31,29.053435114503817
2011-05-23,37.8,1.31,28.854961832061065
2011-05-24,37.17,1.31,28.37404580152672
2011-05-25,36.67,1.31,27.99236641221374
2011-05-26,36.42,1.31,27.801526717557252
2011-05-27,36.58,1.31,27.923664122137403
2011-05-31,36.57,1.31,27.916030534351144
2011-06-01,36.1,1.31,27.557251908396946
2011-06-02,36.05,1.31,27.519083969465644
2011-06-03,35.8,1.31,27.32824427480916
2011-06-06,35.98,1.31,27.465648854961827
2011-06-07,36.44,1.31,27.81679389312977
2011-06-08,36.97,1.31,28.221374045801525
2011-06-09,36.99,1.31,28.236641221374047
2011-06-10,36.33,1.31,27.732824427480914
2011-06-13,36.51,1.31,27.870229007633586
2011-06-14,36.58,1.31,27.923664122137403
2011-06-15,36.16,1.31,27.6030534351145
2011-06-16,36.0,1.31,27.48091603053435
