date,RE,RE_SHE,PB Ratio
2003-08-14,,3055364000.0,
2003-09-30,592711760000.0,3055364000.0,193.99055562610545
2003-10-01,608799200000.0,3055364000.0,199.2558660768406
2003-10-02,608878060000.0,3055364000.0,199.28167642218733
2003-10-03,616369760000.0,3055364000.0,201.73365923012773
2003-10-06,621337940000.0,3055364000.0,203.35971098697243
2003-10-07,620470480000.0,3055364000.0,203.07579718815828
2003-10-08,629381660000.0,3055364000.0,205.99236621234002
2003-10-09,626542700000.0,3055364000.0,205.06319377985733
2003-10-10,623072860000.0,3055364000.0,203.9275385846007
2003-10-13,626858140000.0,3055364000.0,205.1664351612443
2003-10-14,628514200000.0,3055364000.0,205.70845241352586
2003-10-15,630880000000.0,3055364000.0,206.48276277392807
2003-10-16,635059580000.0,3055364000.0,207.85071107730536
2003-10-17,614161680000.0,3055364000.0,201.010969560419
2003-10-20,603357860000.0,3055364000.0,197.47495224791547
2003-10-21,651777900000.0,3055364000.0,213.32250429081444
2003-10-22,653118520000.0,3055364000.0,213.76128016170904
2003-10-23,661871980000.0,3055364000.0,216.6262284951973
2003-10-24,654932300000.0,3055364000.0,214.3549181046841
2003-10-27,651620180000.0,3055364000.0,213.27088360012098
2003-10-28,650516140000.0,3055364000.0,212.9095387652666
2003-10-29,658875300000.0,3055364000.0,215.64543537202115
2003-10-30,656903800000.0,3055364000.0,215.00017673835262
2003-10-31,654143700000.0,3055364000.0,214.09681465121668
2003-11-03,662424000000.0,3055364000.0,216.80690091262449
2003-11-04,655642040000.0,3055364000.0,214.58721121280476
2003-11-05,655326600000.0,3055364000.0,214.4839698314178
2003-11-06,658086700000.0,3055364000.0,215.38733191855374
2003-11-07,646652000000.0,3055364000.0,211.64483184327628
2003-11-10,640264340000.0,3055364000.0,209.55419387019026
2003-11-11,634744140000.0,3055364000.0,207.7474696959184
2003-11-12,632378340000.0,3055364000.0,206.97315933551616
2003-11-13,642393560000.0,3055364000.0,210.25107319455228
2003-11-14,637031080000.0,3027072000.0,210.44464089390672
2003-11-17,634823000000.0,3027072000.0,209.71519673136285
2003-11-18,631510880000.0,3027072000.0,208.62103048754705
2003-11-19,626779280000.0,3027072000.0,207.05793585352447
2003-11-20,621416800000.0,3027072000.0,205.2864286016322
2003-11-21,618656700000.0,3027072000.0,204.37462339845237
2003-11-24,634823000000.0,3027072000.0,209.71519673136285
2003-11-25,641131800000.0,3027072000.0,211.79932291005963
2003-11-26,644522780000.0,3027072000.0,212.91954073110915
2003-11-28,648150340000.0,3027072000.0,214.1179132838598
2003-12-01,654064840000.0,3027072000.0,216.07178157638802
2003-12-02,649806400000.0,3027072000.0,214.66499640576768
