date,close price,PNC_SHE,PNC_TA,PNC_TL,market cap,PB Ratio
1975-11-17,2.63,,,,,
1975-11-18,2.56,,,,,
1975-11-19,2.53,,,,,
1975-11-20,2.47,,,,,
1975-11-21,2.5,,,,,
1975-11-24,2.47,,,,,
1975-11-25,2.47,,,,,
1975-11-26,2.41,,,,,
1975-11-28,2.38,,,,,
1975-12-01,2.38,,,,,
1975-12-02,2.31,,,,,
1975-12-03,2.22,,,,,
1975-12-04,2.22,,,,,
1975-12-05,2.16,,,,,
1975-12-08,2.16,,,,,
1975-12-09,2.19,,,,,
1975-12-10,2.19,,,,,
1975-12-11,2.19,,,,,
1975-12-12,2.25,,,,,
1975-12-15,2.22,,,,,
1975-12-16,2.22,,,,,
1975-12-17,2.25,,,,,
1975-12-18,2.28,,,,,
1975-12-19,2.28,,,,,
1975-12-22,2.28,,,,,
1975-12-23,2.28,,,,,
1975-12-24,2.28,,,,,
1975-12-26,2.34,,,,,
1975-12-29,2.34,,,,,
1975-12-30,2.34,,,,,
1975-12-31,2.34,,,,,
1976-01-02,2.31,,,,,
1976-01-05,2.38,,,,,
1976-01-06,2.53,,,,,
1976-01-07,2.53,,,,,
1976-01-08,2.56,,,,,
1976-01-09,2.53,,,,,
1976-01-12,2.56,,,,,
1976-01-13,2.63,,,,,
1976-01-14,2.75,,,,,
1976-01-15,2.69,,,,,
1976-01-16,2.81,,,,,
1976-01-19,2.81,,,,,
1976-01-20,2.78,,,,,
1976-01-21,2.75,,,,,
1976-01-22,2.69,,,,,
1976-01-23,2.72,,,,,
1976-01-26,2.75,,,,,
1976-01-27,2.75,,,,,
1976-01-28,2.75,,,,,
1976-01-29,2.72,,,,,
1976-01-30,2.75,,,,,
1976-02-02,2.78,,,,,
1976-02-03,2.91,,,,,
1976-02-04,2.94,,,,,
1976-02-05,2.97,,,,,
1976-02-06,2.91,,,,,
1976-02-09,2.91,,,,,
1976-02-10,2.91,,,,,
1976-02-11,2.94,,,,,
1976-02-12,2.91,,,,,
1976-02-13,2.91,,,,,
1976-02-17,2.88,,,,,
1976-02-18,2.84,,,,,
1976-02-19,2.88,,,,,
1976-02-20,2.88,,,,,
1976-02-23,2.88,,,,,
1976-02-24,2.88,,,,,
1976-02-25,2.88,,,,,
1976-02-26,2.84,,,,,
1976-02-27,2.84,,,,,
1976-03-01,2.84,,,,,
1976-03-02,2.88,,,,,
1976-03-03,2.88,,,,,
1976-03-04,2.88,,,,,
1976-03-05,2.88,,,,,
1976-03-08,2.84,,,,,
1976-03-09,2.84,,,,,
1976-03-10,2.88,,,,,
1976-03-11,2.94,,,,,
1976-03-12,2.94,,,,,
1976-03-15,2.91,,,,,
1976-03-16,2.91,,,,,
1976-03-17,2.91,,,,,
1976-03-18,2.91,,,,,
1976-03-19,2.91,,,,,
1976-03-22,2.94,,,,,
1976-03-23,2.94,,,,,
1976-03-24,2.91,,,,,
1976-03-25,2.91,,,,,
1976-03-26,2.88,,,,,
1976-03-29,2.88,,,,,
1976-03-30,2.88,,,,,
1976-03-31,2.84,,,,,
1976-04-01,2.84,,,,,
1976-04-02,2.84,,,,,
1976-04-05,2.84,,,,,
1976-04-06,2.84,,,,,
1976-04-07,2.84,,,,,
1976-04-08,2.84,,,,,
1976-04-09,2.78,,,,,
1976-04-12,2.78,,,,,
1976-04-13,2.81,,,,,
1976-04-14,2.81,,,,,
1976-04-15,2.78,,,,,
1976-04-19,2.72,,,,,
