date,close price,GPC_SHE,GPC_TA,GPC_TL,market cap,PB Ratio
,,941000000.0,1266000000.0,326000000.0,,
1980-03-17,4.2,941000000.0,1266000000.0,326000000.0,,
1980-03-18,4.35,941000000.0,1266000000.0,326000000.0,,
1980-03-19,4.42,941000000.0,1266000000.0,326000000.0,,
1980-03-20,4.44,941000000.0,1266000000.0,326000000.0,,
1980-03-21,4.35,941000000.0,1266000000.0,326000000.0,,
1980-03-24,4.25,941000000.0,1266000000.0,326000000.0,,
1980-03-25,4.22,941000000.0,1266000000.0,326000000.0,,
1980-03-26,4.44,941000000.0,1266000000.0,326000000.0,,
1980-03-27,4.35,941000000.0,1266000000.0,326000000.0,,
1980-03-28,4.49,941000000.0,1266000000.0,326000000.0,,
1980-03-31,4.52,941000000.0,1266000000.0,326000000.0,,
1980-04-01,4.54,941000000.0,1266000000.0,326000000.0,,
1980-04-02,4.47,941000000.0,1266000000.0,326000000.0,,
1980-04-03,4.54,941000000.0,1266000000.0,326000000.0,,
1980-04-07,4.44,941000000.0,1266000000.0,326000000.0,,
1980-04-08,4.52,941000000.0,1266000000.0,326000000.0,,
1980-04-09,4.54,941000000.0,1266000000.0,326000000.0,,
1980-04-10,4.54,941000000.0,1266000000.0,326000000.0,,
1980-04-11,4.4,941000000.0,1266000000.0,326000000.0,,
1980-04-14,4.07,941000000.0,1266000000.0,326000000.0,,
1980-04-15,4.1,941000000.0,1266000000.0,326000000.0,,
1980-04-16,4.05,941000000.0,1266000000.0,326000000.0,,
1980-04-17,4.02,941000000.0,1266000000.0,326000000.0,,
1980-04-18,4.05,941000000.0,1266000000.0,326000000.0,,
1980-04-21,4.05,941000000.0,1266000000.0,326000000.0,,
1980-04-22,4.05,941000000.0,1266000000.0,326000000.0,,
1980-04-23,3.95,941000000.0,1266000000.0,326000000.0,,
1980-04-24,3.98,941000000.0,1266000000.0,326000000.0,,
1980-04-25,3.98,941000000.0,1266000000.0,326000000.0,,
1980-04-28,4.02,941000000.0,1266000000.0,326000000.0,,
1980-04-29,4.12,941000000.0,1266000000.0,326000000.0,,
1980-04-30,4.07,941000000.0,1266000000.0,326000000.0,,
1980-05-01,4.0,941000000.0,1266000000.0,326000000.0,,
1980-05-02,3.95,941000000.0,1266000000.0,326000000.0,,
1980-05-05,4.0,941000000.0,1266000000.0,326000000.0,,
1980-05-06,4.02,941000000.0,1266000000.0,326000000.0,,
1980-05-07,3.98,941000000.0,1266000000.0,326000000.0,,
