date,close price,DUK_SHE,DUK_TA,DUK_TL,market cap,PB Ratio
,,4332000000.0,9542000000.0,5211000000.0,,
1989-09-19,22.39,4332000000.0,9542000000.0,5211000000.0,,
1989-09-20,22.5,4332000000.0,9542000000.0,5211000000.0,,
1989-09-21,22.44,4332000000.0,9542000000.0,5211000000.0,,
1989-09-22,22.44,4332000000.0,9542000000.0,5211000000.0,,
1989-09-25,22.23,4332000000.0,9542000000.0,5211000000.0,,
1989-09-26,22.28,4332000000.0,9542000000.0,5211000000.0,,
1989-09-27,22.17,4332000000.0,9542000000.0,5211000000.0,,
1989-09-28,22.23,4332000000.0,9542000000.0,5211000000.0,,
1989-09-29,22.39,4332000000.0,9542000000.0,5211000000.0,,
1989-10-02,22.44,4332000000.0,9542000000.0,5211000000.0,,
1989-10-03,22.39,4332000000.0,9542000000.0,5211000000.0,,
1989-10-04,22.5,4332000000.0,9542000000.0,5211000000.0,,
1989-10-05,22.5,4332000000.0,9542000000.0,5211000000.0,,
1989-10-06,22.44,4332000000.0,9542000000.0,5211000000.0,,
1989-10-09,22.34,4332000000.0,9542000000.0,5211000000.0,,
1989-10-10,22.28,4332000000.0,9542000000.0,5211000000.0,,
1989-10-11,22.44,4332000000.0,9542000000.0,5211000000.0,,
1989-10-12,22.5,4332000000.0,9542000000.0,5211000000.0,,
1989-10-13,22.28,4332000000.0,9542000000.0,5211000000.0,,
1989-10-16,22.44,4332000000.0,9542000000.0,5211000000.0,,
1989-10-17,22.44,4332000000.0,9542000000.0,5211000000.0,,
1989-10-18,22.5,4332000000.0,9542000000.0,5211000000.0,,
1989-10-19,22.61,4332000000.0,9542000000.0,5211000000.0,,
1989-10-20,22.55,4332000000.0,9542000000.0,5211000000.0,,
1989-10-23,22.77,4332000000.0,9542000000.0,5211000000.0,,
1989-10-24,22.77,4332000000.0,9542000000.0,5211000000.0,,
1989-10-25,22.77,4332000000.0,9542000000.0,5211000000.0,,
1989-10-26,22.77,4332000000.0,9542000000.0,5211000000.0,,
1989-10-27,22.77,4332000000.0,9542000000.0,5211000000.0,,
1989-10-30,22.66,4332000000.0,9542000000.0,5211000000.0,,
1989-10-31,22.99,4332000000.0,9542000000.0,5211000000.0,,
1989-11-01,23.1,4332000000.0,9542000000.0,5211000000.0,,
1989-11-02,23.04,4332000000.0,9542000000.0,5211000000.0,,
1989-11-03,23.1,4332000000.0,9542000000.0,5211000000.0,,
1989-11-06,23.1,4332000000.0,9542000000.0,5211000000.0,,
1989-11-07,22.99,4332000000.0,9542000000.0,5211000000.0,,
1989-11-08,22.88,4332000000.0,9542000000.0,5211000000.0,,
1989-11-09,22.88,4332000000.0,9542000000.0,5211000000.0,,
1989-11-10,22.88,4332000000.0,9542000000.0,5211000000.0,,
