date,close price,ICE_SHE,ICE_TA,ICE_TL,market cap,PB Ratio
,,149000000.0,203000000.0,54000000.0,,
2005-11-16,7.85,149000000.0,203000000.0,54000000.0,,
2005-11-17,7.05,149000000.0,203000000.0,54000000.0,,
2005-11-18,7.0,149000000.0,203000000.0,54000000.0,,
2005-11-21,7.18,149000000.0,203000000.0,54000000.0,,
2005-11-22,6.99,149000000.0,203000000.0,54000000.0,,
2005-11-23,6.79,149000000.0,203000000.0,54000000.0,,
2005-11-25,6.83,149000000.0,203000000.0,54000000.0,,
2005-11-28,6.66,149000000.0,203000000.0,54000000.0,,
2005-11-29,6.39,149000000.0,203000000.0,54000000.0,,
2005-11-30,6.46,149000000.0,203000000.0,54000000.0,,
2005-12-01,7.0,149000000.0,203000000.0,54000000.0,,
2005-12-02,7.22,149000000.0,203000000.0,54000000.0,,
2005-12-05,7.36,149000000.0,203000000.0,54000000.0,,
2005-12-06,7.32,149000000.0,203000000.0,54000000.0,,
2005-12-07,7.09,149000000.0,203000000.0,54000000.0,,
2005-12-08,7.2,149000000.0,203000000.0,54000000.0,,
2005-12-09,7.24,149000000.0,203000000.0,54000000.0,,
2005-12-12,7.29,149000000.0,203000000.0,54000000.0,,
2005-12-13,7.12,149000000.0,203000000.0,54000000.0,,
2005-12-14,7.0,149000000.0,203000000.0,54000000.0,,
2005-12-15,6.8,149000000.0,203000000.0,54000000.0,,
2005-12-16,6.84,149000000.0,203000000.0,54000000.0,,
2005-12-19,6.87,149000000.0,203000000.0,54000000.0,,
2005-12-20,6.99,149000000.0,203000000.0,54000000.0,,
2005-12-21,6.96,149000000.0,203000000.0,54000000.0,,
2005-12-22,6.94,149000000.0,203000000.0,54000000.0,,
2005-12-23,6.85,149000000.0,203000000.0,54000000.0,,
2005-12-27,7.05,149000000.0,203000000.0,54000000.0,,
2005-12-28,7.02,149000000.0,203000000.0,54000000.0,,
2005-12-29,7.23,149000000.0,203000000.0,54000000.0,,
2005-12-30,7.27,149000000.0,203000000.0,54000000.0,,
2006-01-03,7.57,149000000.0,203000000.0,54000000.0,,
2006-01-04,7.38,149000000.0,203000000.0,54000000.0,,
2006-01-05,7.86,149000000.0,203000000.0,54000000.0,,
2006-01-06,8.06,149000000.0,203000000.0,54000000.0,,
2006-01-09,8.72,149000000.0,203000000.0,54000000.0,,
2006-01-10,9.2,149000000.0,203000000.0,54000000.0,,
2006-01-11,9.38,149000000.0,203000000.0,54000000.0,,
2006-01-12,8.79,149000000.0,203000000.0,54000000.0,,
2006-01-13,8.91,149000000.0,203000000.0,54000000.0,,
2006-01-17,9.28,149000000.0,203000000.0,54000000.0,,
2006-01-18,9.16,149000000.0,203000000.0,54000000.0,,
2006-01-19,9.49,149000000.0,203000000.0,54000000.0,,
2006-01-20,9.26,149000000.0,203000000.0,54000000.0,,
2006-01-23,9.55,149000000.0,203000000.0,54000000.0,,
2006-01-24,10.56,149000000.0,203000000.0,54000000.0,,
2006-01-25,10.6,149000000.0,203000000.0,54000000.0,,
2006-01-26,10.49,149000000.0,203000000.0,54000000.0,,
2006-01-27,10.2,149000000.0,203000000.0,54000000.0,,
2006-01-30,9.82,149000000.0,203000000.0,54000000.0,,
