date,close price,ALXN_SHE,ALXN_TA,ALXN_TL,market cap,PB Ratio
1996-02-28,2.28,,,,,
1996-02-29,2.31,,,,,
1996-03-01,2.31,,,,,
1996-03-04,2.25,,,,,
1996-03-05,2.28,,,,,
1996-03-06,2.19,,,,,
1996-03-07,2.22,,,,,
1996-03-08,2.09,,,,,
1996-03-11,2.16,,,,,
1996-03-12,2.16,,,,,
1996-03-13,2.09,,,,,
1996-03-14,2.09,,,,,
1996-03-15,2.19,,,,,
1996-03-18,2.09,,,,,
1996-03-19,2.09,,,,,
1996-03-20,2.09,,,,,
1996-03-21,2.09,,,,,
1996-03-22,2.09,,,,,
1996-03-25,2.09,,,,,
1996-03-26,2.13,,,,,
1996-03-27,2.19,,,,,
1996-03-28,2.19,,,,,
1996-03-29,2.09,,,,,
1996-04-01,2.16,,,,,
1996-04-02,2.19,,,,,
1996-04-03,2.25,,,,,
1996-04-04,2.22,,,,,
1996-04-08,2.22,,,,,
1996-04-09,2.19,,,,,
1996-04-10,2.22,,,,,
1996-04-11,2.19,,,,,
1996-04-12,2.19,,,,,
1996-04-15,2.19,,,,,
1996-04-16,2.22,,,,,
1996-04-17,2.16,,,,,
1996-04-18,2.19,,,,,
1996-04-19,2.16,,,,,
1996-04-22,2.19,,,,,
1996-04-23,2.16,,,,,
1996-04-24,2.16,,,,,
1996-04-25,2.22,,,,,
1996-04-26,2.16,,,,,
1996-04-29,2.22,,,,,
1996-04-30,2.22,,,,,
1996-05-01,2.25,,,,,
1996-05-02,2.31,,,,,
1996-05-03,2.31,,,,,
1996-05-06,2.38,,,,,
1996-05-07,2.53,,,,,
1996-05-08,2.75,,,,,
1996-05-09,2.78,,,,,
1996-05-10,2.69,,,,,
1996-05-13,2.69,,,,,
1996-05-14,2.69,,,,,
1996-05-15,2.63,,,,,
1996-05-16,2.63,,,,,
1996-05-17,2.53,,,,,
1996-05-20,2.38,,,,,
1996-05-21,2.47,,,,,
1996-05-22,2.56,,,,,
1996-05-23,2.5,,,,,
1996-05-24,2.5,,,,,
1996-05-28,2.52,,,,,
1996-05-29,2.47,,,,,
1996-05-30,2.47,,,,,
1996-05-31,2.59,,,,,
1996-06-03,2.47,,,,,
1996-06-04,2.47,,,,,
1996-06-05,2.53,,,,,
1996-06-06,2.47,,,,,
1996-06-07,2.47,,,,,
1996-06-10,2.47,,,,,
1996-06-11,2.48,,,,,
1996-06-12,2.47,,,,,
1996-06-13,2.47,,,,,
1996-06-14,2.5,,,,,
1996-06-17,2.53,,,,,
1996-06-18,2.41,,,,,
1996-06-19,2.38,,,,,
1996-06-20,2.38,,,,,
1996-06-21,2.28,,,,,
1996-06-24,2.28,,,,,
1996-06-25,2.22,,,,,
1996-06-26,2.22,,,,,
1996-06-27,2.16,,,,,
1996-06-28,2.19,,,,,
1996-07-01,2.16,,,,,
1996-07-02,2.16,,,,,
1996-07-03,2.13,,,,,
1996-07-05,2.06,,,,,
1996-07-08,1.97,,,,,
1996-07-09,1.91,,,,,
1996-07-10,1.84,,,,,
1996-07-11,1.66,,,,,
1996-07-12,1.59,,,,,
1996-07-15,1.56,,,,,
1996-07-16,1.58,,,,,
1996-07-17,1.59,,,,,
1996-07-18,1.63,,,,,
1996-07-19,1.59,,,,,
1996-07-22,1.5,,,,,
1996-07-23,1.59,,,,,
1996-07-24,1.56,,,,,
1996-07-25,1.56,,,,,
1996-07-26,1.59,,,,,
1996-07-29,1.5,,,,,
1996-07-30,1.53,,,,,
1996-07-31,1.5,,,,,
1996-08-01,1.53,,,,,
1996-08-02,1.5,,,,,
