date,close price,APA_SHE,APA_TA,APA_TL,market cap,PB Ratio
,,-365000000.0,139000000.0,505000000.0,,
1980-06-10,6.6,-365000000.0,139000000.0,505000000.0,,
1980-06-11,7.36,-365000000.0,139000000.0,505000000.0,,
1980-06-12,7.03,-365000000.0,139000000.0,505000000.0,,
1980-06-13,6.89,-365000000.0,139000000.0,505000000.0,,
1980-06-16,6.85,-365000000.0,139000000.0,505000000.0,,
1980-06-17,6.78,-365000000.0,139000000.0,505000000.0,,
1980-06-18,6.78,-365000000.0,139000000.0,505000000.0,,
1980-06-19,6.78,-365000000.0,139000000.0,505000000.0,,
1980-06-20,6.75,-365000000.0,139000000.0,505000000.0,,
1980-06-23,6.71,-365000000.0,139000000.0,505000000.0,,
1980-06-24,6.93,-365000000.0,139000000.0,505000000.0,,
1980-06-25,7.18,-365000000.0,139000000.0,505000000.0,,
1980-06-26,6.93,-365000000.0,139000000.0,505000000.0,,
1980-06-27,6.89,-365000000.0,139000000.0,505000000.0,,
1980-06-30,6.82,-365000000.0,139000000.0,505000000.0,,
1980-07-01,6.89,-365000000.0,139000000.0,505000000.0,,
1980-07-02,6.96,-365000000.0,139000000.0,505000000.0,,
1980-07-03,7.0,-365000000.0,139000000.0,505000000.0,,
1980-07-07,7.11,-365000000.0,139000000.0,505000000.0,,
1980-07-08,7.11,-365000000.0,139000000.0,505000000.0,,
1980-07-09,7.18,-365000000.0,139000000.0,505000000.0,,
1980-07-10,7.25,-365000000.0,139000000.0,505000000.0,,
1980-07-11,7.11,-365000000.0,139000000.0,505000000.0,,
1980-07-14,7.11,-365000000.0,139000000.0,505000000.0,,
1980-07-15,7.25,-365000000.0,139000000.0,505000000.0,,
1980-07-16,7.18,-365000000.0,139000000.0,505000000.0,,
1980-07-17,7.25,-365000000.0,139000000.0,505000000.0,,
1980-07-18,7.18,-365000000.0,139000000.0,505000000.0,,
1980-07-21,7.18,-365000000.0,139000000.0,505000000.0,,
1980-07-22,7.25,-365000000.0,139000000.0,505000000.0,,
1980-07-23,7.11,-365000000.0,139000000.0,505000000.0,,
1980-07-24,7.0,-365000000.0,139000000.0,505000000.0,,
1980-07-25,6.78,-365000000.0,139000000.0,505000000.0,,
1980-07-28,6.75,-365000000.0,139000000.0,505000000.0,,
1980-07-29,6.96,-365000000.0,139000000.0,505000000.0,,
1980-07-30,7.07,-365000000.0,139000000.0,505000000.0,,
1980-07-31,7.07,-365000000.0,139000000.0,505000000.0,,
1980-08-01,6.89,-365000000.0,139000000.0,505000000.0,,
1980-08-04,6.71,-365000000.0,139000000.0,505000000.0,,
1980-08-05,6.6,-365000000.0,139000000.0,505000000.0,,
1980-08-06,6.71,-365000000.0,139000000.0,505000000.0,,
1980-08-07,6.93,-365000000.0,139000000.0,505000000.0,,
1980-08-08,7.11,-365000000.0,139000000.0,505000000.0,,
1980-08-11,6.96,-365000000.0,139000000.0,505000000.0,,
1980-08-12,6.78,-365000000.0,139000000.0,505000000.0,,
1980-08-13,6.89,-365000000.0,139000000.0,505000000.0,,
1980-08-14,6.89,-365000000.0,139000000.0,505000000.0,,
1980-08-15,6.93,-365000000.0,139000000.0,505000000.0,,
1980-08-18,6.82,-365000000.0,139000000.0,505000000.0,,
1980-08-19,6.82,-365000000.0,139000000.0,505000000.0,,
1980-08-20,6.93,-365000000.0,139000000.0,505000000.0,,
1980-08-21,7.29,-365000000.0,139000000.0,505000000.0,,
1980-08-22,7.4,-365000000.0,139000000.0,505000000.0,,
1980-08-25,7.29,-365000000.0,139000000.0,505000000.0,,
1980-08-26,7.72,-365000000.0,139000000.0,505000000.0,,
1980-08-27,7.79,-365000000.0,139000000.0,505000000.0,,
1980-08-28,7.65,-365000000.0,139000000.0,505000000.0,,
1980-08-29,7.79,-365000000.0,139000000.0,505000000.0,,
1980-09-02,7.79,-365000000.0,139000000.0,505000000.0,,
1980-09-03,7.79,-365000000.0,139000000.0,505000000.0,,
1980-09-04,7.61,-365000000.0,139000000.0,505000000.0,,
1980-09-05,7.79,-365000000.0,139000000.0,505000000.0,,
1980-09-08,7.9,-365000000.0,139000000.0,505000000.0,,
1980-09-09,7.9,-365000000.0,139000000.0,505000000.0,,
1980-09-10,8.15,-365000000.0,139000000.0,505000000.0,,
1980-09-11,8.55,-365000000.0,139000000.0,505000000.0,,
1980-09-12,8.77,-365000000.0,139000000.0,505000000.0,,
1980-09-15,8.77,-365000000.0,139000000.0,505000000.0,,
1980-09-16,8.84,-365000000.0,139000000.0,505000000.0,,
1980-09-17,8.77,-365000000.0,139000000.0,505000000.0,,
1980-09-18,8.55,-365000000.0,139000000.0,505000000.0,,
1980-09-19,8.33,-365000000.0,139000000.0,505000000.0,,
1980-09-22,8.48,-365000000.0,139000000.0,505000000.0,,
1980-09-23,8.87,-365000000.0,139000000.0,505000000.0,,
1980-09-24,9.27,-365000000.0,139000000.0,505000000.0,,
1980-09-25,8.95,-365000000.0,139000000.0,505000000.0,,
1980-09-26,8.59,-365000000.0,139000000.0,505000000.0,,
1980-09-29,8.12,-365000000.0,139000000.0,505000000.0,,
1980-09-30,8.44,-365000000.0,139000000.0,505000000.0,,
1980-10-01,8.62,-365000000.0,139000000.0,505000000.0,,
1980-10-02,8.48,-365000000.0,139000000.0,505000000.0,,
1980-10-03,9.09,-365000000.0,139000000.0,505000000.0,,
1980-10-06,9.27,-365000000.0,139000000.0,505000000.0,,
1980-10-07,9.49,-365000000.0,139000000.0,505000000.0,,
1980-10-08,9.56,-365000000.0,139000000.0,505000000.0,,
1980-10-09,9.45,-365000000.0,139000000.0,505000000.0,,
1980-10-10,9.34,-365000000.0,139000000.0,505000000.0,,
1980-10-13,9.56,-365000000.0,139000000.0,505000000.0,,
1980-10-14,9.63,-365000000.0,139000000.0,505000000.0,,
1980-10-15,10.32,-365000000.0,139000000.0,505000000.0,,
1980-10-16,9.92,-365000000.0,139000000.0,505000000.0,,
1980-10-17,9.85,-365000000.0,139000000.0,505000000.0,,
1980-10-20,9.92,-365000000.0,139000000.0,505000000.0,,
1980-10-21,9.92,-365000000.0,139000000.0,505000000.0,,
1980-10-22,10.1,-365000000.0,139000000.0,505000000.0,,
1980-10-23,9.81,-365000000.0,139000000.0,505000000.0,,
1980-10-24,9.74,-365000000.0,139000000.0,505000000.0,,
1980-10-27,9.24,-365000000.0,139000000.0,505000000.0,,
1980-10-28,9.09,-365000000.0,139000000.0,505000000.0,,
1980-10-29,9.24,-365000000.0,139000000.0,505000000.0,,
1980-10-30,8.87,-365000000.0,139000000.0,505000000.0,,
1980-10-31,9.24,-365000000.0,139000000.0,505000000.0,,
1980-11-03,9.74,-365000000.0,139000000.0,505000000.0,,
1980-11-05,10.1,-365000000.0,139000000.0,505000000.0,,
1980-11-06,9.88,-365000000.0,139000000.0,505000000.0,,
1980-11-07,9.78,-365000000.0,139000000.0,505000000.0,,
1980-11-10,10.03,-365000000.0,139000000.0,505000000.0,,
1980-11-11,10.46,-365000000.0,139000000.0,505000000.0,,
1980-11-12,10.64,-365000000.0,139000000.0,505000000.0,,
1980-11-13,10.86,-365000000.0,139000000.0,505000000.0,,
1980-11-14,10.86,-365000000.0,139000000.0,505000000.0,,
1980-11-17,10.5,-365000000.0,139000000.0,505000000.0,,
1980-11-18,10.64,-365000000.0,139000000.0,505000000.0,,
1980-11-19,10.97,-365000000.0,139000000.0,505000000.0,,
