date,close price,LW_SHE,LW_TA,LW_TL,market cap,PB Ratio
2016-11-10,30.33,,,,,
2016-11-11,29.89,,,,,
2016-11-14,30.19,,,,,
2016-11-15,30.43,,,,,
2016-11-16,31.7,,,,,
2016-11-17,32.51,,,,,
2016-11-18,32.68,,,,,
2016-11-21,31.74,,,,,
2016-11-22,32.7,,,,,
2016-11-23,33.02,,,,,
2016-11-25,32.59,,,,,
2016-11-28,32.74,,,,4796410000.0,
2016-11-29,33.19,,,,4862335000.0,
2016-11-30,33.48,,,,4904820000.0,
2016-12-01,32.51,,,,4762715000.0,
2016-12-02,32.99,,,,4833035000.0,
2016-12-05,33.65,,,,4929725000.0,
2016-12-06,33.82,,,,4954630000.0,
2016-12-07,34.75,,,,5090875000.0,
2016-12-08,35.93,,,,5263745000.0,
2016-12-09,36.38,,,,5329670000.0,
2016-12-12,36.73,,,,5380945000.0,
2016-12-13,36.58,,,,5358970000.0,
2016-12-14,35.15,,,,5149475000.0,
2016-12-15,34.38,,,,5036670000.0,
2016-12-16,35.26,,,,5165590000.0,
2016-12-19,34.48,,,,5051320000.0,
2016-12-20,34.95,,,,5120175000.0,
2016-12-21,35.02,,,,5130430000.0,
2016-12-22,36.33,,,,5322345000.0,
2016-12-23,36.85,,,,5398525000.0,
2016-12-27,37.34,,,,5470310000.000001,
2016-12-28,37.23,,,,5454195000.0,
2016-12-29,37.77,,,,5533305000.0,
2016-12-30,37.85,,,,5545025000.0,
2017-01-03,37.49,,,,5492285000.0,
2017-01-04,36.98,,,,5417570000.0,
2017-01-05,36.62,,,,5364830000.0,
2017-01-06,36.83,,,,5395595000.0,
2017-01-09,36.89,,,,5404385000.0,
2017-01-10,36.84,-758600000.0,2400200000.0,3158800000.0,5397060000.000001,-7.114500395465332
2017-01-11,36.89,-758600000.0,2400200000.0,3158800000.0,5404385000.0,-7.124156340627471
2017-01-12,36.96,-758600000.0,2400200000.0,3158800000.0,5414640000.0,-7.137674663854469
2017-01-13,37.22,-758600000.0,2400200000.0,3158800000.0,5452730000.0,-7.187885578697601
2017-01-17,36.89,-758600000.0,2400200000.0,3158800000.0,5404385000.0,-7.124156340627471
2017-01-18,36.64,-758600000.0,2400200000.0,3158800000.0,5367760000.0,-7.075876614816767
2017-01-19,36.96,-758600000.0,2400200000.0,3158800000.0,5414640000.0,-7.137674663854469
2017-01-20,37.11,-758600000.0,2400200000.0,3158800000.0,5436615000.0,-7.166642499340891
2017-01-23,36.77,-758600000.0,2400200000.0,3158800000.0,5386805000.0,-7.100982072238334
2017-01-24,37.49,-758600000.0,2400200000.0,3158800000.0,5492285000.0,-7.240027682573161
2017-01-25,36.67,-758600000.0,2400200000.0,3158800000.0,5372155000.0,-7.081670181914053
2017-01-26,36.33,-758600000.0,2400200000.0,3158800000.0,5322345000.0,-7.016009754811495
2017-01-27,36.44,-758600000.0,2400200000.0,3158800000.0,5338460000.0,-7.037252834168204
2017-01-30,36.78,-758600000.0,2400200000.0,3158800000.0,5388270000.0,-7.1029132612707615
2017-01-31,37.36,-758600000.0,2400200000.0,3158800000.0,5473240000.0,-7.214922225151595
2017-02-01,37.77,-758600000.0,2400200000.0,3158800000.0,5533305000.0,-7.294100975481149
