date,close price,KLAC_SHE,KLAC_TA,KLAC_TL,market cap,PB Ratio
,,113400000.0,164200000.0,50800000.0,,
1980-10-08,1.16,113400000.0,164200000.0,50800000.0,,
1980-10-09,1.17,113400000.0,164200000.0,50800000.0,,
1980-10-10,1.27,113400000.0,164200000.0,50800000.0,,
1980-10-13,1.36,113400000.0,164200000.0,50800000.0,,
1980-10-14,1.28,113400000.0,164200000.0,50800000.0,,
1980-10-15,1.32,113400000.0,164200000.0,50800000.0,,
1980-10-16,1.29,113400000.0,164200000.0,50800000.0,,
1980-10-17,1.3,113400000.0,164200000.0,50800000.0,,
1980-10-20,1.34,113400000.0,164200000.0,50800000.0,,
1980-10-21,1.28,113400000.0,164200000.0,50800000.0,,
1980-10-22,1.3,113400000.0,164200000.0,50800000.0,,
1980-10-23,1.28,113400000.0,164200000.0,50800000.0,,
1980-10-24,1.31,113400000.0,164200000.0,50800000.0,,
1980-10-27,1.29,113400000.0,164200000.0,50800000.0,,
1980-10-28,1.27,113400000.0,164200000.0,50800000.0,,
1980-10-29,1.28,113400000.0,164200000.0,50800000.0,,
1980-10-30,1.23,113400000.0,164200000.0,50800000.0,,
1980-10-31,1.24,113400000.0,164200000.0,50800000.0,,
1980-11-03,1.25,113400000.0,164200000.0,50800000.0,,
1980-11-05,1.26,113400000.0,164200000.0,50800000.0,,
1980-11-06,1.21,113400000.0,164200000.0,50800000.0,,
1980-11-07,1.18,113400000.0,164200000.0,50800000.0,,
1980-11-10,1.23,113400000.0,164200000.0,50800000.0,,
1980-11-11,1.33,113400000.0,164200000.0,50800000.0,,
1980-11-12,1.39,113400000.0,164200000.0,50800000.0,,
1980-11-13,1.4,113400000.0,164200000.0,50800000.0,,
1980-11-14,1.44,113400000.0,164200000.0,50800000.0,,
1980-11-17,1.52,113400000.0,164200000.0,50800000.0,,
1980-11-18,1.56,113400000.0,164200000.0,50800000.0,,
1980-11-19,1.57,113400000.0,164200000.0,50800000.0,,
1980-11-20,1.5,113400000.0,164200000.0,50800000.0,,
1980-11-21,1.5,113400000.0,164200000.0,50800000.0,,
1980-11-24,1.49,113400000.0,164200000.0,50800000.0,,
1980-11-25,1.6,113400000.0,164200000.0,50800000.0,,
1980-11-26,1.59,113400000.0,164200000.0,50800000.0,,
1980-11-28,1.59,113400000.0,164200000.0,50800000.0,,
1980-12-01,1.56,113400000.0,164200000.0,50800000.0,,
1980-12-02,1.55,113400000.0,164200000.0,50800000.0,,
