date,close price,BWA_SHE,BWA_TA,BWA_TL,market cap,PB Ratio
,,459000000.0,1159000000.0,700000000.0,,
1993-08-13,3.13,459000000.0,1159000000.0,700000000.0,,
1993-08-16,3.09,459000000.0,1159000000.0,700000000.0,,
1993-08-17,3.05,459000000.0,1159000000.0,700000000.0,,
1993-08-18,3.09,459000000.0,1159000000.0,700000000.0,,
1993-08-19,3.16,459000000.0,1159000000.0,700000000.0,,
1993-08-20,3.19,459000000.0,1159000000.0,700000000.0,,
1993-08-23,3.14,459000000.0,1159000000.0,700000000.0,,
1993-08-24,3.13,459000000.0,1159000000.0,700000000.0,,
1993-08-25,3.16,459000000.0,1159000000.0,700000000.0,,
1993-08-26,3.16,459000000.0,1159000000.0,700000000.0,,
1993-08-27,3.19,459000000.0,1159000000.0,700000000.0,,
1993-08-30,3.19,459000000.0,1159000000.0,700000000.0,,
1993-08-31,3.2,459000000.0,1159000000.0,700000000.0,,
1993-09-01,3.19,459000000.0,1159000000.0,700000000.0,,
1993-09-02,3.13,459000000.0,1159000000.0,700000000.0,,
1993-09-03,3.06,459000000.0,1159000000.0,700000000.0,,
1993-09-07,3.09,459000000.0,1159000000.0,700000000.0,,
1993-09-08,3.0,459000000.0,1159000000.0,700000000.0,,
1993-09-09,2.98,459000000.0,1159000000.0,700000000.0,,
1993-09-10,2.88,459000000.0,1159000000.0,700000000.0,,
1993-09-13,2.88,459000000.0,1159000000.0,700000000.0,,
1993-09-14,2.72,459000000.0,1159000000.0,700000000.0,,
1993-09-15,2.88,459000000.0,1159000000.0,700000000.0,,
1993-09-16,2.86,459000000.0,1159000000.0,700000000.0,,
1993-09-17,2.95,459000000.0,1159000000.0,700000000.0,,
1993-09-20,2.91,459000000.0,1159000000.0,700000000.0,,
1993-09-21,2.83,459000000.0,1159000000.0,700000000.0,,
1993-09-22,2.8,459000000.0,1159000000.0,700000000.0,,
1993-09-23,2.73,459000000.0,1159000000.0,700000000.0,,
1993-09-24,2.81,459000000.0,1159000000.0,700000000.0,,
1993-09-27,2.89,459000000.0,1159000000.0,700000000.0,,
1993-09-28,2.89,459000000.0,1159000000.0,700000000.0,,
1993-09-29,3.13,459000000.0,1159000000.0,700000000.0,,
1993-09-30,3.3,459000000.0,1159000000.0,700000000.0,,
1993-10-01,3.25,459000000.0,1159000000.0,700000000.0,,
