date,NTRS,NTRS_SHE,PB Ratio
2014-08-11,15779139860.0,8042600000.0,1.9619451247109143
2014-08-12,15824393242.24,8042600000.0,1.967571835257255
2014-08-13,15905372978.880001,8042600000.0,1.9776406857086017
2014-08-14,15953008118.080002,8042600000.0,1.9835635389152764
2014-08-15,15860119596.640001,8042600000.0,1.9720139751622612
2014-08-18,15993497986.400002,8042600000.0,1.9885979641409497
2014-08-19,15948244604.159998,8042600000.0,1.9829712535946085
2014-08-20,16012552042.080002,8042600000.0,1.9909671054236195
2014-08-21,16193565571.039999,8042600000.0,2.0134739476089822
2014-08-22,16257873008.960001,8042600000.0,2.021469799437993
2014-08-25,16419832482.24,8042600000.0,2.0416075003406857
2014-08-26,16419832482.24,8042600000.0,2.0416075003406857
2014-08-27,16426977753.119999,8042600000.0,2.042495928321687
2014-08-28,16386487884.8,8042600000.0,2.0374615030960137
2014-08-29,16517484517.599998,8042600000.0,2.0537493494143684
2014-09-02,16550829115.039999,8042600000.0,2.0578953466590404
2014-09-03,16529393302.400002,8042600000.0,2.055230062716037
2014-09-04,16450795322.72,8042600000.0,2.0454573549250243
2014-09-05,16462704107.52,8042600000.0,2.046938068226693
2014-09-08,16343616259.52,8042600000.0,2.0321309352100068
2014-09-09,16260254765.919998,8042600000.0,2.0217659420983263
2014-09-10,16398396669.599998,8042600000.0,2.038942216397682
2014-09-11,16450795322.72,8042600000.0,2.0454573549250243
2014-09-12,16565119656.8,8042600000.0,2.059672202621043
2014-09-15,16515102760.640001,8042600000.0,2.053453206754035
2014-09-16,16476994649.28,8042600000.0,2.0487149241886953
2014-09-17,16648481150.400002,8042600000.0,2.0700371957327235
2014-09-18,16750896699.68,8042600000.0,2.0827713301270734
2014-09-19,16584173712.48,8042600000.0,2.062041343903713
2014-09-22,16560356142.880001,8042600000.0,2.0590799173003758
2014-09-23,16446031808.8,8042600000.0,2.0448650696043567
2014-09-24,16484139920.159998,8042600000.0,2.049603352169696
