date,close price,MA_SHE,MA_TA,MA_TL,market cap,PB Ratio
2002-08-14,,976863000.0,2021264000.0,1044195000.0,,
2002-11-14,,1057635000.0,2179874000.0,1122025000.0,,
2003-03-07,,1023406000.0,2260875000.0,1236825000.0,,
2003-05-14,,599029000.0,2548011000.0,1944103000.0,,
2003-08-08,,650831000.0,2757238000.0,2101787000.0,,
2003-11-07,,731934000.0,2854998000.0,2118444000.0,,
2004-03-04,,698721000.0,2900905000.0,2197564000.0,,
2004-05-10,,762154000.0,2830966000.0,2064192000.0,,
2004-08-05,,820928000.0,2945153000.0,2119605000.0,,
2004-11-09,,926136000.0,3177200000.0,2246444000.0,,
2005-03-02,,974952000.0,3264670000.0,2285098000.0,,
2005-05-09,,1038127000.0,3247049000.0,2204302000.0,,
2005-08-05,,1128528000.0,3347924000.0,2214776000.0,,
2005-11-03,,1235425000.0,3670362000.0,2430317000.0,,
2006-03-16,,1169148000.0,3700544000.0,2526776000.0,,
2006-05-02,,1307707000.0,3710961000.0,2398634000.0,,
2006-05-25,4.6,1307707000.0,3710961000.0,2398634000.0,621584200.0,0.475323753715473
2006-05-26,4.49,1307707000.0,3710961000.0,2398634000.0,606720230.0,0.4639573161266247
2006-05-30,4.4,1307707000.0,3710961000.0,2398634000.0,594558800.0,0.45465750355393064
2006-05-31,4.49,1307707000.0,3710961000.0,2398634000.0,606720230.0,0.4639573161266247
2006-06-01,4.75,1307707000.0,3710961000.0,2398634000.0,641853250.0,0.4908234413366297
2006-06-02,4.7,1307707000.0,3710961000.0,2398634000.0,635096900.0,0.48565687879624414
2006-06-05,4.92,1307707000.0,3710961000.0,2398634000.0,664824840.0,0.5083897539739406
2006-06-06,4.83,1307707000.0,3710961000.0,2398634000.0,652663410.0,0.49908994140124663
2006-06-07,4.76,1307707000.0,3710961000.0,2398634000.0,643204520.0,0.4918567538447068
2006-06-08,4.77,1307707000.0,3710961000.0,2398634000.0,644555790.0,0.49289006635278393
2006-06-09,4.78,1307707000.0,3710961000.0,2398634000.0,645907060.0,0.493923378860861
2006-06-12,4.7,1307707000.0,3710961000.0,2398634000.0,635096900.0,0.48565687879624414
2006-06-13,4.55,1307707000.0,3710961000.0,2398634000.0,614827850.0,0.47015719117508736
2006-06-14,4.51,1307707000.0,3710961000.0,2398634000.0,609422770.0,0.46602394114277895
2006-06-15,4.6,1307707000.0,3710961000.0,2398634000.0,621584200.0,0.475323753715473
2006-06-16,4.5,1307707000.0,3710961000.0,2398634000.0,608071500.0,0.4649906286347018
2006-06-19,4.43,1307707000.0,3710961000.0,2398634000.0,598612610.0,0.457757441078162
2006-06-20,4.4,1307707000.0,3710961000.0,2398634000.0,594558800.0,0.45465750355393064
2006-06-21,4.53,1307707000.0,3710961000.0,2398634000.0,612125310.0,0.46809056615893313
2006-06-22,4.66,1307707000.0,3710961000.0,2398634000.0,629691820.0,0.4815236287639357
2006-06-23,4.7,1307707000.0,3710961000.0,2398634000.0,635096900.0,0.48565687879624414
2006-06-26,4.75,1307707000.0,3710961000.0,2398634000.0,641853250.0,0.4908234413366297
2006-06-27,4.73,1307707000.0,3710961000.0,2398634000.0,639150710.0,0.48875681632047546
2006-06-28,4.7,1307707000.0,3710961000.0,2398634000.0,635096900.0,0.48565687879624414
