date,close price,GS_SHE,GS_TA,GS_TL,market cap,PB Ratio
,,6384000000.0,217380000000.0,210996000000.0,,
1999-05-04,70.38,6384000000.0,217380000000.0,210996000000.0,,
1999-05-05,69.13,6384000000.0,217380000000.0,210996000000.0,,
1999-05-06,67.94,6384000000.0,217380000000.0,210996000000.0,,
1999-05-07,74.13,6384000000.0,217380000000.0,210996000000.0,,
1999-05-10,70.69,6384000000.0,217380000000.0,210996000000.0,,
1999-05-11,70.63,6384000000.0,217380000000.0,210996000000.0,,
1999-05-12,73.5,6384000000.0,217380000000.0,210996000000.0,,
1999-05-13,73.19,6384000000.0,217380000000.0,210996000000.0,,
1999-05-14,70.19,6384000000.0,217380000000.0,210996000000.0,,
1999-05-17,68.63,6384000000.0,217380000000.0,210996000000.0,,
1999-05-18,68.63,6384000000.0,217380000000.0,210996000000.0,,
1999-05-19,69.31,6384000000.0,217380000000.0,210996000000.0,,
1999-05-20,68.38,6384000000.0,217380000000.0,210996000000.0,,
1999-05-21,67.5,6384000000.0,217380000000.0,210996000000.0,,
1999-05-24,65.31,6384000000.0,217380000000.0,210996000000.0,,
1999-05-25,64.5,6384000000.0,217380000000.0,210996000000.0,,
1999-05-26,66.06,6384000000.0,217380000000.0,210996000000.0,,
1999-05-27,67.75,6384000000.0,217380000000.0,210996000000.0,,
1999-05-28,67.94,6384000000.0,217380000000.0,210996000000.0,,
1999-06-01,64.19,6384000000.0,217380000000.0,210996000000.0,,
1999-06-02,63.25,6384000000.0,217380000000.0,210996000000.0,,
1999-06-03,63.63,6384000000.0,217380000000.0,210996000000.0,,
1999-06-04,65.38,6384000000.0,217380000000.0,210996000000.0,,
1999-06-07,65.94,6384000000.0,217380000000.0,210996000000.0,,
1999-06-08,63.75,6384000000.0,217380000000.0,210996000000.0,,
1999-06-09,65.5,6384000000.0,217380000000.0,210996000000.0,,
1999-06-10,63.38,6384000000.0,217380000000.0,210996000000.0,,
1999-06-11,63.25,6384000000.0,217380000000.0,210996000000.0,,
1999-06-14,61.25,6384000000.0,217380000000.0,210996000000.0,,
1999-06-15,62.75,6384000000.0,217380000000.0,210996000000.0,,
1999-06-16,65.25,6384000000.0,217380000000.0,210996000000.0,,
1999-06-17,65.0,6384000000.0,217380000000.0,210996000000.0,,
1999-06-18,64.81,6384000000.0,217380000000.0,210996000000.0,,
1999-06-21,69.5,6384000000.0,217380000000.0,210996000000.0,,
1999-06-22,68.0,6384000000.0,217380000000.0,210996000000.0,,
1999-06-23,65.0,6384000000.0,217380000000.0,210996000000.0,,
1999-06-24,65.06,6384000000.0,217380000000.0,210996000000.0,,
1999-06-25,66.25,6384000000.0,217380000000.0,210996000000.0,,
1999-06-28,66.56,6384000000.0,217380000000.0,210996000000.0,,
1999-06-29,67.75,6384000000.0,217380000000.0,210996000000.0,,
1999-06-30,72.25,6384000000.0,217380000000.0,210996000000.0,,
1999-07-01,70.81,6384000000.0,217380000000.0,210996000000.0,,
1999-07-02,70.94,6384000000.0,217380000000.0,210996000000.0,,
1999-07-06,70.5,6384000000.0,217380000000.0,210996000000.0,,
1999-07-07,68.0,6384000000.0,217380000000.0,210996000000.0,,
1999-07-08,67.25,6384000000.0,217380000000.0,210996000000.0,,
1999-07-09,67.25,6384000000.0,217380000000.0,210996000000.0,,
1999-07-12,68.38,6384000000.0,217380000000.0,210996000000.0,,
1999-07-13,67.88,6384000000.0,217380000000.0,210996000000.0,,
1999-07-14,67.63,6384000000.0,217380000000.0,210996000000.0,,
1999-07-15,67.94,6384000000.0,217380000000.0,210996000000.0,,
1999-07-16,68.06,6384000000.0,217380000000.0,210996000000.0,,
1999-07-19,69.44,6384000000.0,217380000000.0,210996000000.0,,
1999-07-20,68.13,6384000000.0,217380000000.0,210996000000.0,,
1999-07-21,67.88,6384000000.0,217380000000.0,210996000000.0,,
1999-07-22,66.5,6384000000.0,217380000000.0,210996000000.0,,
1999-07-23,64.06,6384000000.0,217380000000.0,210996000000.0,,
1999-07-26,63.25,6384000000.0,217380000000.0,210996000000.0,,
1999-07-27,65.5,6384000000.0,217380000000.0,210996000000.0,,
1999-07-28,66.06,6384000000.0,217380000000.0,210996000000.0,,
1999-07-29,65.0,6384000000.0,217380000000.0,210996000000.0,,
1999-07-30,64.31,6384000000.0,217380000000.0,210996000000.0,,
1999-08-02,62.81,6384000000.0,217380000000.0,210996000000.0,,
1999-08-03,60.81,6384000000.0,217380000000.0,210996000000.0,,
1999-08-04,60.0,6384000000.0,217380000000.0,210996000000.0,,
1999-08-05,59.25,6384000000.0,217380000000.0,210996000000.0,,
1999-08-06,56.25,6384000000.0,217380000000.0,210996000000.0,,
1999-08-09,55.81,6384000000.0,217380000000.0,210996000000.0,,
1999-08-10,57.0,6384000000.0,217380000000.0,210996000000.0,,
1999-08-11,61.5,6384000000.0,217380000000.0,210996000000.0,,
1999-08-12,60.69,6384000000.0,217380000000.0,210996000000.0,,
1999-08-13,63.13,6384000000.0,217380000000.0,210996000000.0,,
1999-08-16,62.88,6384000000.0,217380000000.0,210996000000.0,,
1999-08-17,63.0,6384000000.0,217380000000.0,210996000000.0,,
1999-08-18,62.31,6384000000.0,217380000000.0,210996000000.0,,
1999-08-19,61.56,6384000000.0,217380000000.0,210996000000.0,,
1999-08-20,62.31,6384000000.0,217380000000.0,210996000000.0,,
1999-08-23,63.63,6384000000.0,217380000000.0,210996000000.0,,
1999-08-24,63.44,6384000000.0,217380000000.0,210996000000.0,,
1999-08-25,64.0,6384000000.0,217380000000.0,210996000000.0,,
1999-08-26,62.75,6384000000.0,217380000000.0,210996000000.0,,
1999-08-27,61.56,6384000000.0,217380000000.0,210996000000.0,,
1999-08-30,59.31,6384000000.0,217380000000.0,210996000000.0,,
1999-08-31,59.81,6384000000.0,217380000000.0,210996000000.0,,
1999-09-01,60.31,6384000000.0,217380000000.0,210996000000.0,,
1999-09-02,59.25,6384000000.0,217380000000.0,210996000000.0,,
1999-09-03,63.13,6384000000.0,217380000000.0,210996000000.0,,
1999-09-07,62.5,6384000000.0,217380000000.0,210996000000.0,,
1999-09-08,62.56,6384000000.0,217380000000.0,210996000000.0,,
1999-09-09,61.75,6384000000.0,217380000000.0,210996000000.0,,
1999-09-10,63.09,6384000000.0,217380000000.0,210996000000.0,,
1999-09-13,62.13,6384000000.0,217380000000.0,210996000000.0,,
1999-09-14,59.38,6384000000.0,217380000000.0,210996000000.0,,
1999-09-15,58.31,6384000000.0,217380000000.0,210996000000.0,,
1999-09-16,57.69,6384000000.0,217380000000.0,210996000000.0,,
1999-09-17,60.06,6384000000.0,217380000000.0,210996000000.0,,
1999-09-20,60.75,6384000000.0,217380000000.0,210996000000.0,,
1999-09-21,59.13,6384000000.0,217380000000.0,210996000000.0,,
1999-09-22,61.31,6384000000.0,217380000000.0,210996000000.0,,
1999-09-23,60.81,6384000000.0,217380000000.0,210996000000.0,,
1999-09-24,61.94,6384000000.0,217380000000.0,210996000000.0,,
1999-09-27,61.56,6384000000.0,217380000000.0,210996000000.0,,
1999-09-28,62.25,6384000000.0,217380000000.0,210996000000.0,,
1999-09-29,61.44,6384000000.0,217380000000.0,210996000000.0,,
1999-09-30,61.0,6384000000.0,217380000000.0,210996000000.0,,
1999-10-01,59.19,6384000000.0,217380000000.0,210996000000.0,,
1999-10-04,61.69,6384000000.0,217380000000.0,210996000000.0,,
1999-10-05,62.25,6384000000.0,217380000000.0,210996000000.0,,
1999-10-06,64.0,6384000000.0,217380000000.0,210996000000.0,,
1999-10-07,63.19,6384000000.0,217380000000.0,210996000000.0,,
1999-10-08,63.94,6384000000.0,217380000000.0,210996000000.0,,
1999-10-11,63.69,6384000000.0,217380000000.0,210996000000.0,,
1999-10-12,62.94,6384000000.0,217380000000.0,210996000000.0,,
