date,close price,WYNN_SHE,WYNN_TA,WYNN_TL,market cap,PB Ratio
,,619519000.0,14885675000.0,14266156000.0,,
2002-10-25,13.01,619519000.0,14885675000.0,14266156000.0,,
2002-10-28,13.01,619519000.0,14885675000.0,14266156000.0,,
2002-10-29,12.64,619519000.0,14885675000.0,14266156000.0,,
2002-10-30,12.5,619519000.0,14885675000.0,14266156000.0,,
2002-10-31,12.61,619519000.0,14885675000.0,14266156000.0,,
2002-11-01,12.61,619519000.0,14885675000.0,14266156000.0,,
2002-11-04,12.91,619519000.0,14885675000.0,14266156000.0,,
2002-11-05,13.02,619519000.0,14885675000.0,14266156000.0,,
2002-11-06,13.0,619519000.0,14885675000.0,14266156000.0,,
2002-11-07,13.05,619519000.0,14885675000.0,14266156000.0,,
2002-11-08,12.93,619519000.0,14885675000.0,14266156000.0,,
2002-11-11,12.71,619519000.0,14885675000.0,14266156000.0,,
2002-11-12,11.96,619519000.0,14885675000.0,14266156000.0,,
2002-11-13,11.1,619519000.0,14885675000.0,14266156000.0,,
2002-11-14,11.09,619519000.0,14885675000.0,14266156000.0,,
2002-11-15,11.55,619519000.0,14885675000.0,14266156000.0,,
2002-11-18,12.18,619519000.0,14885675000.0,14266156000.0,,
2002-11-19,12.6,619519000.0,14885675000.0,14266156000.0,,
2002-11-20,12.41,619519000.0,14885675000.0,14266156000.0,,
2002-11-21,12.85,619519000.0,14885675000.0,14266156000.0,,
2002-11-22,12.65,619519000.0,14885675000.0,14266156000.0,,
2002-11-25,12.93,619519000.0,14885675000.0,14266156000.0,,
2002-11-26,12.74,619519000.0,14885675000.0,14266156000.0,,
2002-11-27,12.5,619519000.0,14885675000.0,14266156000.0,,
2002-11-29,12.82,619519000.0,14885675000.0,14266156000.0,,
2002-12-02,12.41,619519000.0,14885675000.0,14266156000.0,,
2002-12-03,12.37,619519000.0,14885675000.0,14266156000.0,,
2002-12-04,12.6,619519000.0,14885675000.0,14266156000.0,,
2002-12-05,13.28,619519000.0,14885675000.0,14266156000.0,,
