date,AMGN,AMGN_SHE,PB Ratio
2002-08-13,,4880000000.0,
2002-09-30,48080100000.0,4880000000.0,9.852479508196721
2002-10-01,51377680000.0,4880000000.0,10.528213114754099
2002-10-02,51596750000.0,4880000000.0,10.573104508196721
2002-10-03,52749750000.0,4880000000.0,10.809375
2002-10-04,50339979999.99999,4880000000.0,10.315569672131145
2002-10-07,51539100000.0,4880000000.0,10.561290983606558
2002-10-08,52795870000.0,4880000000.0,10.818825819672131
2002-10-09,52599860000.0,4880000000.0,10.778659836065573
2002-10-10,55620720000.0,4880000000.0,11.397688524590164
2002-10-11,55447770000.00001,4880000000.0,11.362247950819674
2002-10-14,56716070000.0,4880000000.0,11.622145491803279
2002-10-15,58203440000.0,4880000000.0,11.926934426229508
2002-10-16,58088140000.0,4880000000.0,11.903307377049181
2002-10-17,57822950000.0,4880000000.0,11.848965163934427
2002-10-18,58203440000.0,4880000000.0,11.926934426229508
2002-10-21,58088140000.0,4880000000.0,11.903307377049181
2002-10-22,57419400000.0,4880000000.0,11.76627049180328
2002-10-23,57650000000.0,4880000000.0,11.813524590163935
2002-10-24,56128040000.0,4880000000.0,11.501647540983607
2002-10-25,57407870000.0,4880000000.0,11.763907786885246
2002-10-28,56577710000.0,4880000000.0,11.593793032786886
2002-10-29,56335580000.0,4880000000.0,11.544176229508198
2002-10-30,55390120000.0,4880000000.0,11.350434426229508
2002-10-31,53683680000.0,4880000000.0,11.000754098360655
2002-11-01,53729800000.0,4880000000.0,11.010204918032787
2002-11-04,55759080000.0,4880000000.0,11.426040983606557
2002-11-05,57742240000.0,17664000000.0,3.2689221014492755
2002-11-06,53280130000.0,17664000000.0,3.016311707427536
2002-11-07,52277020000.00001,17664000000.0,2.959523324275363
2002-11-08,50893420000.0,17664000000.0,2.8811945199275364
2002-11-11,50962600000.0,17664000000.0,2.8851109601449276
2002-11-12,52484560000.0,17664000000.0,2.971272644927536
2002-11-13,51827350000.0,17664000000.0,2.9340664628623188
2002-11-14,54421600000.0,17664000000.0,3.0809329710144926
2002-11-15,55055750000.0,17664000000.0,3.1168336730072466
2002-11-18,53268600000.0,17664000000.0,3.0156589673913046
2002-11-19,52726690000.0,17664000000.0,2.9849801856884057
2002-11-20,53983460000.0,17664000000.0,3.0561288496376813
2002-11-21,55182580000.0,17664000000.0,3.124013813405797
2002-11-22,54709850000.0,17664000000.0,3.09725147192029
2002-11-25,54018050000.0,17664000000.0,3.0580870697463767
2002-11-26,54214060000.0,17664000000.0,3.069183650362319
2002-11-27,55678370000.0,17664000000.0,3.152081634963768
2002-11-29,54421600000.0,17664000000.0,3.0809329710144926
2002-12-02,56001210000.0,17664000000.0,3.170358355978261
2002-12-03,54363950000.0,17664000000.0,3.0776692708333333
2002-12-04,54110290000.0,17664000000.0,3.063308990036232
2002-12-05,55378590000.0,17664000000.0,3.1351103940217393
2002-12-06,56958200000.0,17664000000.0,3.224535778985507
2002-12-09,54928920000.0,17664000000.0,3.1096535326086956
2002-12-10,54283240000.0,17664000000.0,3.07310009057971
2002-12-11,54502310000.0,17664000000.0,3.085502151268116
2002-12-12,58168850000.0,17664000000.0,3.293073482789855
2002-12-13,58018960000.0,17664000000.0,3.2845878623188405
2002-12-16,58238030000.0,17664000000.0,3.2969899230072466
2002-12-17,59517860000.0,17664000000.0,3.3694440670289856
2002-12-18,59667750000.0,17664000000.0,3.3779296875
2002-12-19,58537810000.0,17664000000.0,3.3139611639492754
2002-12-20,59356440000.0,17664000000.0,3.360305706521739
2002-12-23,59540920000.0,17664000000.0,3.3707495471014495
2002-12-24,59321850000.0,17664000000.0,3.3583474864130434
2002-12-26,58434040000.0,17664000000.0,3.3080865036231883
2002-12-27,57119620000.0,17664000000.0,3.2336741394927535
2002-12-30,56681479999.99999,17664000000.0,3.2088700181159417
2002-12-31,55736020000.00001,17664000000.0,3.155345335144928
2003-01-02,66532680000.0,17664000000.0,3.766569293478261
2003-01-03,66357310000.0,17664000000.0,3.7566411911231885
2003-01-06,67814230000.00001,17664000000.0,3.839120810688406
2003-01-07,67773760000.0,17664000000.0,3.8368297101449276
2003-01-08,65939120000.0,17664000000.0,3.732966485507246
2003-01-09,67031810000.0,17664000000.0,3.7948262001811592
2003-01-10,68043560000.0,17664000000.0,3.852103713768116
2003-01-13,69500480000.0,17664000000.0,3.9345833333333333
2003-01-14,68933900000.0,17664000000.0,3.902507925724638
