date,close price,IR_SHE,IR_TA,IR_TL,market cap,PB Ratio
,,1390000000.0,2473000000.0,1083000000.0,,
1989-09-19,6.39,1390000000.0,2473000000.0,1083000000.0,,
1989-09-20,6.36,1390000000.0,2473000000.0,1083000000.0,,
1989-09-21,6.21,1390000000.0,2473000000.0,1083000000.0,,
1989-09-22,6.19,1390000000.0,2473000000.0,1083000000.0,,
1989-09-25,6.06,1390000000.0,2473000000.0,1083000000.0,,
1989-09-26,6.01,1390000000.0,2473000000.0,1083000000.0,,
1989-09-27,5.99,1390000000.0,2473000000.0,1083000000.0,,
1989-09-28,6.12,1390000000.0,2473000000.0,1083000000.0,,
1989-09-29,6.21,1390000000.0,2473000000.0,1083000000.0,,
1989-10-02,6.24,1390000000.0,2473000000.0,1083000000.0,,
1989-10-03,6.29,1390000000.0,2473000000.0,1083000000.0,,
1989-10-04,6.34,1390000000.0,2473000000.0,1083000000.0,,
1989-10-05,6.47,1390000000.0,2473000000.0,1083000000.0,,
1989-10-06,6.56,1390000000.0,2473000000.0,1083000000.0,,
1989-10-09,6.56,1390000000.0,2473000000.0,1083000000.0,,
1989-10-10,6.49,1390000000.0,2473000000.0,1083000000.0,,
1989-10-11,6.49,1390000000.0,2473000000.0,1083000000.0,,
1989-10-12,6.27,1390000000.0,2473000000.0,1083000000.0,,
1989-10-13,5.99,1390000000.0,2473000000.0,1083000000.0,,
1989-10-16,6.14,1390000000.0,2473000000.0,1083000000.0,,
1989-10-17,5.97,1390000000.0,2473000000.0,1083000000.0,,
1989-10-18,5.96,1390000000.0,2473000000.0,1083000000.0,,
1989-10-19,6.14,1390000000.0,2473000000.0,1083000000.0,,
1989-10-20,6.09,1390000000.0,2473000000.0,1083000000.0,,
1989-10-23,6.11,1390000000.0,2473000000.0,1083000000.0,,
1989-10-24,5.89,1390000000.0,2473000000.0,1083000000.0,,
1989-10-25,5.81,1390000000.0,2473000000.0,1083000000.0,,
1989-10-26,5.57,1390000000.0,2473000000.0,1083000000.0,,
1989-10-27,5.47,1390000000.0,2473000000.0,1083000000.0,,
