date,close price,RF_SHE,RF_TA,RF_TL,market cap,PB Ratio
1980-03-17,1.61,,,,,
1980-03-18,1.61,,,,,
1980-03-19,1.61,,,,,
1980-03-20,1.61,,,,,
1980-03-21,1.61,,,,,
1980-03-24,1.61,,,,,
1980-03-25,1.61,,,,,
1980-03-26,1.61,,,,,
1980-03-27,1.56,,,,,
1980-03-28,1.59,,,,,
1980-03-31,1.61,,,,,
1980-04-01,1.7,,,,,
1980-04-02,1.79,,,,,
1980-04-03,1.79,,,,,
1980-04-07,1.73,,,,,
1980-04-08,1.73,,,,,
1980-04-09,1.73,,,,,
1980-04-10,1.73,,,,,
1980-04-11,1.73,,,,,
1980-04-14,1.73,,,,,
1980-04-15,1.73,,,,,
1980-04-16,1.77,,,,,
1980-04-17,1.75,,,,,
1980-04-18,1.77,,,,,
1980-04-21,1.77,,,,,
1980-04-22,1.77,,,,,
1980-04-23,1.84,,,,,
1980-04-24,1.84,,,,,
1980-04-25,1.84,,,,,
1980-04-28,1.84,,,,,
1980-04-29,1.82,,,,,
1980-04-30,1.82,,,,,
1980-05-01,1.82,,,,,
1980-05-02,1.82,,,,,
1980-05-05,1.82,,,,,
1980-05-06,1.82,,,,,
1980-05-07,1.82,,,,,
1980-05-08,1.82,,,,,
1980-05-09,1.82,,,,,
1980-05-12,1.82,,,,,
1980-05-13,1.82,,,,,
1980-05-14,1.82,,,,,
1980-05-15,1.79,,,,,
1980-05-16,1.79,,,,,
1980-05-19,1.79,,,,,
1980-05-20,1.79,,,,,
1980-05-21,1.77,,,,,
1980-05-22,1.77,,,,,
1980-05-23,1.77,,,,,
1980-05-27,1.77,,,,,
1980-05-28,1.77,,,,,
1980-05-29,1.77,,,,,
1980-05-30,1.77,,,,,
1980-06-02,1.75,,,,,
1980-06-03,1.73,,,,,
1980-06-04,1.73,,,,,
1980-06-05,1.73,,,,,
1980-06-06,1.73,,,,,
1980-06-09,1.73,,,,,
1980-06-10,1.73,,,,,
1980-06-11,1.73,,,,,
1980-06-12,1.75,,,,,
1980-06-13,1.77,,,,,
1980-06-16,1.79,,,,,
1980-06-17,1.79,,,,,
1980-06-18,1.79,,,,,
1980-06-19,1.84,,,,,
1980-06-20,1.84,,,,,
1980-06-23,1.84,,,,,
1980-06-24,1.84,,,,,
1980-06-25,1.84,,,,,
1980-06-26,1.84,,,,,
