date,close price,JPM_SHE,JPM_TA,JPM_TL,market cap,PB Ratio
,,17452000000.0,331151000000.0,313699000000.0,,
1980-03-17,5.04,17452000000.0,331151000000.0,313699000000.0,,
1980-03-18,5.07,17452000000.0,331151000000.0,313699000000.0,,
1980-03-19,5.15,17452000000.0,331151000000.0,313699000000.0,,
1980-03-20,5.11,17452000000.0,331151000000.0,313699000000.0,,
1980-03-21,5.22,17452000000.0,331151000000.0,313699000000.0,,
1980-03-24,5.09,17452000000.0,331151000000.0,313699000000.0,,
1980-03-25,5.07,17452000000.0,331151000000.0,313699000000.0,,
1980-03-26,5.11,17452000000.0,331151000000.0,313699000000.0,,
1980-03-27,5.07,17452000000.0,331151000000.0,313699000000.0,,
1980-03-28,5.02,17452000000.0,331151000000.0,313699000000.0,,
1980-03-31,5.17,17452000000.0,331151000000.0,313699000000.0,,
1980-04-01,5.11,17452000000.0,331151000000.0,313699000000.0,,
1980-04-02,5.3,17452000000.0,331151000000.0,313699000000.0,,
1980-04-03,5.5,17452000000.0,331151000000.0,313699000000.0,,
1980-04-07,5.54,17452000000.0,331151000000.0,313699000000.0,,
1980-04-08,5.44,17452000000.0,331151000000.0,313699000000.0,,
1980-04-09,5.37,17452000000.0,331151000000.0,313699000000.0,,
1980-04-10,5.48,17452000000.0,331151000000.0,313699000000.0,,
1980-04-11,5.48,17452000000.0,331151000000.0,313699000000.0,,
1980-04-14,5.46,17452000000.0,331151000000.0,313699000000.0,,
1980-04-15,5.33,17452000000.0,331151000000.0,313699000000.0,,
1980-04-16,5.43,17452000000.0,331151000000.0,313699000000.0,,
1980-04-17,5.33,17452000000.0,331151000000.0,313699000000.0,,
1980-04-18,5.3,17452000000.0,331151000000.0,313699000000.0,,
1980-04-21,5.17,17452000000.0,331151000000.0,313699000000.0,,
1980-04-22,5.33,17452000000.0,331151000000.0,313699000000.0,,
1980-04-23,5.33,17452000000.0,331151000000.0,313699000000.0,,
1980-04-24,5.3,17452000000.0,331151000000.0,313699000000.0,,
1980-04-25,5.22,17452000000.0,331151000000.0,313699000000.0,,
