date,close price,DG_SHE,DG_TA,DG_TL,market cap,PB Ratio
2003-03-19,,1288068000.0,2991591000.0,2991591000.0,,
2003-05-29,,1337747000.0,2355967000.0,2355967000.0,,
2003-08-29,,1402145000.0,2365381000.0,2365381000.0,,
2003-12-04,,1501660000.0,2589194000.0,2589194000.0,,
2004-03-16,,1576920000.0,2652709000.0,2652709000.0,,
2004-05-27,,1488083000.0,2673769000.0,2673769000.0,,
2004-08-26,,1538876000.0,2655005000.0,2655005000.0,,
2004-12-06,,1577490000.0,2828017000.0,2828017000.0,,
2005-04-12,,1684465000.0,2841004000.0,2841004000.0,,
2005-05-26,,1727966000.0,2904538000.0,2904538000.0,,
2005-08-25,,1647817000.0,2840366000.0,2840366000.0,,
2005-11-22,,1614287000.0,2930781000.0,2930781000.0,,
2006-03-21,,1720795000.0,2992187000.0,2992187000.0,,
2006-06-01,,1686814000.0,3063467000.0,3063467000.0,,
2006-08-31,,1721477000.0,3245197000.0,3245197000.0,,
2006-12-12,,1702941000.0,3206303000.0,3206303000.0,,
2007-03-29,,1745747000.0,3040514000.0,3040514000.0,,
2007-06-07,,1796777000.0,3074309000.0,3074309000.0,,
2008-03-28,,2703873000.0,8656431000.0,8656431000.0,,
2008-06-16,,2730607000.0,8662999000.0,8662999000.0,,
2008-09-03,,2766803000.0,8909790000.0,8909790000.0,,
2008-12-03,,2763464000.0,8940101000.0,8940101000.0,,
2009-03-24,,2831695000.0,8889199000.0,8889199000.0,,
2009-06-02,,2916585000.0,8978801000.0,8978801000.0,,
2009-09-10,,3016538000.0,9139944000.0,9139944000.0,,
2009-11-13,22.73,3016538000.0,9139944000.0,9139944000.0,7383522280.0,2.447680844729952
2009-11-16,23.1,3016538000.0,9139944000.0,9139944000.0,7503711600.0,2.4875243076666034
2009-11-17,23.04,3016538000.0,9139944000.0,9139944000.0,7484221440.0,2.481063205568768
2009-11-18,22.55,3016538000.0,9139944000.0,9139944000.0,7325051800.0,2.428297538436446
2009-11-19,22.87,3016538000.0,9139944000.0,9139944000.0,7428999320.0,2.462756749624901
2009-11-20,23.21,3016538000.0,9139944000.0,9139944000.0,7539443560.0,2.4993696615126346
2009-11-23,23.4,3016538000.0,9139944000.0,9139944000.0,7601162400.0,2.51982981815578
2009-11-24,23.5,3016538000.0,9139944000.0,9139944000.0,7633646000.0,2.530598321652172
2009-11-25,23.74,3016538000.0,9139944000.0,9139944000.0,7711606639.999999,2.5564427300435133
2009-11-27,23.15,3016538000.0,9139944000.0,9139944000.0,7519953400.0,2.4929085594147993
2009-11-30,23.0,3016538000.0,9139944000.0,9139944000.0,7471228000.0,2.476755804170211
