date,close price,BAC_SHE,BAC_TA,BAC_TL,market cap,PB Ratio
1973-02-21,4.63,,,,9848010000.0,
1973-02-22,4.64,,,,9869280000.0,
1973-02-23,4.63,,,,9848010000.0,
1973-02-26,4.63,,,,9848010000.0,
1973-02-27,4.63,,,,9848010000.0,
1973-02-28,4.63,,,,9848010000.0,
1973-03-01,4.66,,,,9911820000.0,
1973-03-02,4.67,,,,9933090000.0,
1973-03-05,4.73,,,,10060710000.0,
1973-03-06,4.88,,,,10379760000.0,
1973-03-07,4.88,,,,10379760000.0,
1973-03-08,4.91,,,,10443570000.0,
1973-03-09,4.91,,,,10443570000.0,
1973-03-12,4.89,,,,10401030000.0,
1973-03-13,4.91,,,,10443570000.0,
1973-03-14,4.92,,,,10464840000.0,
1973-03-15,4.91,,,,10443570000.0,
1973-03-16,4.89,,,,10401030000.0,
1973-03-19,4.84,,,,10294680000.0,
1973-03-20,4.75,,,,10103250000.0,
1973-03-21,4.69,,,,9975630000.0,
1973-03-22,4.61,,,,9805470000.0,
1973-03-23,4.61,,,,9805470000.0,
1973-03-26,4.59,,,,9762930000.0,
1973-03-27,4.59,,,,9762930000.0,
1973-03-28,4.66,,,,9911820000.0,
1973-03-29,4.72,,,,10039440000.0,
1973-03-30,4.72,,,,10039440000.0,
1973-04-02,4.69,,,,9975630000.0,
1973-04-03,4.66,,,,9911820000.0,
1973-04-04,4.63,,,,9848010000.0,
1973-04-05,4.61,,,,9805470000.0,
1973-04-06,4.61,,,,9805470000.0,
1973-04-09,4.61,,,,9805470000.0,
1973-04-10,4.72,,,,10039440000.0,
1973-04-11,4.75,,,,10103250000.0,
1973-04-12,4.81,,,,10230870000.0,
1973-04-13,4.81,,,,10230870000.0,
1973-04-16,4.81,,,,10230870000.0,
1973-04-17,4.69,,,,9975630000.0,
1973-04-18,4.67,,,,9933090000.0,
1973-04-19,4.69,,,,9975630000.0,
1973-04-23,4.63,,,,9848010000.0,
1973-04-24,4.59,,,,9762930000.0,
1973-04-25,4.56,,,,9699120000.0,
1973-04-26,4.56,,,,9699120000.0,
1973-04-27,4.53,,,,9635310000.0,
1973-04-30,4.47,,,,9507690000.0,
1973-05-01,4.44,,,,9443880000.0,
1973-05-02,4.45,,,,9465150000.0,
1973-05-03,4.44,,,,9443880000.0,
1973-05-04,4.48,,,,9528960000.0,
1973-05-07,4.5,,,,9571500000.0,
1973-05-08,4.52,,,,9614040000.0,
1973-05-09,4.64,,,,9869280000.0,
1973-05-10,4.75,,,,10103250000.0,
1973-05-11,4.77,,,,10145790000.0,
1973-05-14,4.59,,,,9762930000.0,
1973-05-15,4.58,,,,9741660000.0,
1973-05-16,4.67,,,,9933090000.0,
1973-05-17,4.67,,,,9933090000.0,
1973-05-18,4.63,,,,9848010000.0,
1973-05-21,4.61,,,,9805470000.0,
1973-05-22,4.66,,,,9911820000.0,
1973-05-23,4.67,,,,9933090000.0,
1973-05-24,4.78,,,,10167060000.0,
1973-05-25,4.84,,,,10294680000.0,
1973-05-29,4.88,,,,10379760000.0,
1973-05-30,4.8,,,,10209600000.0,
1973-05-31,4.8,,,,10209600000.0,
1973-06-01,4.8,,,,10209600000.0,
1973-06-04,4.58,,,,9741660000.0,
1973-06-05,4.5,,,,9571500000.0,
1973-06-06,4.44,,,,9443880000.0,
