date,close price,CAT_SHE,CAT_TA,CAT_TL,market cap,PB Ratio
,,4330000000.0,10439000000.0,6109000000.0,,
1962-01-02,1.6,4330000000.0,10439000000.0,6109000000.0,,
1962-01-03,1.62,4330000000.0,10439000000.0,6109000000.0,,
1962-01-04,1.66,4330000000.0,10439000000.0,6109000000.0,,
1962-01-05,1.68,4330000000.0,10439000000.0,6109000000.0,,
1962-01-08,1.69,4330000000.0,10439000000.0,6109000000.0,,
1962-01-09,1.7,4330000000.0,10439000000.0,6109000000.0,,
1962-01-10,1.68,4330000000.0,10439000000.0,6109000000.0,,
1962-01-11,1.71,4330000000.0,10439000000.0,6109000000.0,,
1962-01-12,1.72,4330000000.0,10439000000.0,6109000000.0,,
1962-01-15,1.71,4330000000.0,10439000000.0,6109000000.0,,
1962-01-16,1.69,4330000000.0,10439000000.0,6109000000.0,,
1962-01-17,1.68,4330000000.0,10439000000.0,6109000000.0,,
1962-01-18,1.72,4330000000.0,10439000000.0,6109000000.0,,
1962-01-19,1.75,4330000000.0,10439000000.0,6109000000.0,,
1962-01-22,1.74,4330000000.0,10439000000.0,6109000000.0,,
1962-01-23,1.71,4330000000.0,10439000000.0,6109000000.0,,
1962-01-24,1.7,4330000000.0,10439000000.0,6109000000.0,,
1962-01-25,1.71,4330000000.0,10439000000.0,6109000000.0,,
1962-01-26,1.71,4330000000.0,10439000000.0,6109000000.0,,
1962-01-29,1.72,4330000000.0,10439000000.0,6109000000.0,,
1962-01-30,1.7,4330000000.0,10439000000.0,6109000000.0,,
1962-01-31,1.71,4330000000.0,10439000000.0,6109000000.0,,
1962-02-01,1.74,4330000000.0,10439000000.0,6109000000.0,,
1962-02-02,1.73,4330000000.0,10439000000.0,6109000000.0,,
1962-02-05,1.72,4330000000.0,10439000000.0,6109000000.0,,
1962-02-06,1.73,4330000000.0,10439000000.0,6109000000.0,,
1962-02-07,1.71,4330000000.0,10439000000.0,6109000000.0,,
1962-02-08,1.71,4330000000.0,10439000000.0,6109000000.0,,
1962-02-09,1.69,4330000000.0,10439000000.0,6109000000.0,,
1962-02-12,1.7,4330000000.0,10439000000.0,6109000000.0,,
1962-02-13,1.69,4330000000.0,10439000000.0,6109000000.0,,
1962-02-14,1.68,4330000000.0,10439000000.0,6109000000.0,,
1962-02-15,1.67,4330000000.0,10439000000.0,6109000000.0,,
1962-02-16,1.68,4330000000.0,10439000000.0,6109000000.0,,
1962-02-19,1.68,4330000000.0,10439000000.0,6109000000.0,,
1962-02-20,1.67,4330000000.0,10439000000.0,6109000000.0,,
1962-02-21,1.64,4330000000.0,10439000000.0,6109000000.0,,
