date,TT,TT_SHE,PB Ratio
2011-05-10,951728000.0000001,8108500000.0,0.1173741135845101
2011-05-11,965723999.9999999,8108500000.0,0.11910020349016463
2011-05-12,948229000.0,8108500000.0,0.11694259110809645
2011-05-13,955227000.0,8108500000.0,0.11780563606092372
2011-05-16,941231000.0,8108500000.0,0.11607954615526916
2011-05-17,972721999.9999999,8108500000.0,0.1199632484429919
2011-05-18,979719999.9999999,8108500000.0,0.12082629339581918
2011-05-19,962225000.0,8108500000.0,0.118668681013751
2011-05-20,958726000.0000001,8108500000.0,0.11823715853733738
2011-05-23,983219000.0,8108500000.0,0.12125781587223285
2011-05-24,1032205000.0000001,8108500000.0,0.12729913054202383
2011-05-25,1032205000.0000001,8108500000.0,0.12729913054202383
2011-05-26,1007712000.0,8108500000.0,0.12427847320712833
2011-05-27,962225000.0,8108500000.0,0.118668681013751
2011-05-31,1039203000.0000001,8108500000.0,0.1281621754948511
2011-06-01,1035704000.0,8108500000.0,0.12773065301843745
2011-06-02,1028706000.0,8108500000.0,0.12686760806561015
2011-06-03,1084690000.0,8108500000.0,0.1337719676882284
2011-06-06,1074193000.0,8108500000.0,0.1324774002589875
2011-06-07,1025207000.0,8108500000.0,0.12643608558919653
2011-06-08,993716000.0,8108500000.0,0.12255238330147376
2011-06-09,409383000.0,8108500000.0,0.05048812974039588
2011-06-10,402384999.99999994,8108500000.0,0.049625084787568594
2011-06-13,409383000.0,8108500000.0,0.05048812974039588
2011-06-14,405884000.0,8108500000.0,0.05005660726398224
2011-06-15,398885999.99999994,8108500000.0,0.04919356231115495
2011-06-16,367395000.0,8108500000.0,0.0453098600234322
2011-06-17,1039203000.0000001,8108500000.0,0.1281621754948511
2011-06-20,969223000.0,8108500000.0,0.11953172596657828
2011-06-21,1014710000.0,8108500000.0,0.1251415181599556
2011-06-22,979719999.9999999,8108500000.0,0.12082629339581918
2011-06-23,941231000.0,8108500000.0,0.11607954615526916
2011-06-24,927235000.0,8108500000.0,0.1143534562496146
2011-06-27,909740000.0,8108500000.0,0.1121958438675464
2011-06-28,1000714000.0,8108500000.0,0.12341542825430105
2011-06-29,1000714000.0,8108500000.0,0.12341542825430105
2011-06-30,997215000.0,8108500000.0,0.1229839057778874
2011-07-01,1010061000.0,8108500000.0,0.12456816920515508
2011-07-05,985764000.0,8108500000.0,0.12157168403527163
2011-07-06,951054000.0000001,8108500000.0,0.11729099093543814
2011-07-07,954525000.0,8108500000.0,0.11771906024542148
2011-07-08,937170000.0000001,8108500000.0,0.11557871369550474
2011-07-11,898989000.0,8108500000.0,0.11086995128568786
2011-07-12,867750000.0,8108500000.0,0.1070173274958377
2011-07-13,833040000.0,8108500000.0,0.1027366343960042
