date,close price,AME_SHE,AME_TA,AME_TL,market cap,PB Ratio
,,191200000.0,464500000.0,273300000.0,,
1989-09-19,2.19,191200000.0,464500000.0,273300000.0,,
1989-09-20,2.2,191200000.0,464500000.0,273300000.0,,
1989-09-21,2.2,191200000.0,464500000.0,273300000.0,,
1989-09-22,2.17,191200000.0,464500000.0,273300000.0,,
1989-09-25,2.15,191200000.0,464500000.0,273300000.0,,
1989-09-26,2.15,191200000.0,464500000.0,273300000.0,,
1989-09-27,2.15,191200000.0,464500000.0,273300000.0,,
1989-09-28,2.15,191200000.0,464500000.0,273300000.0,,
1989-09-29,2.15,191200000.0,464500000.0,273300000.0,,
1989-10-02,2.17,191200000.0,464500000.0,273300000.0,,
1989-10-03,2.2,191200000.0,464500000.0,273300000.0,,
1989-10-04,2.19,191200000.0,464500000.0,273300000.0,,
1989-10-05,2.15,191200000.0,464500000.0,273300000.0,,
1989-10-06,2.11,191200000.0,464500000.0,273300000.0,,
1989-10-09,2.11,191200000.0,464500000.0,273300000.0,,
1989-10-10,2.19,191200000.0,464500000.0,273300000.0,,
1989-10-11,2.15,191200000.0,464500000.0,273300000.0,,
1989-10-12,2.13,191200000.0,464500000.0,273300000.0,,
1989-10-13,2.11,191200000.0,464500000.0,273300000.0,,
1989-10-16,2.07,191200000.0,464500000.0,273300000.0,,
1989-10-17,2.07,191200000.0,464500000.0,273300000.0,,
1989-10-18,2.07,191200000.0,464500000.0,273300000.0,,
1989-10-19,2.07,191200000.0,464500000.0,273300000.0,,
1989-10-20,2.07,191200000.0,464500000.0,273300000.0,,
1989-10-23,2.04,191200000.0,464500000.0,273300000.0,,
1989-10-24,2.02,191200000.0,464500000.0,273300000.0,,
1989-10-25,2.02,191200000.0,464500000.0,273300000.0,,
1989-10-26,1.93,191200000.0,464500000.0,273300000.0,,
1989-10-27,1.93,191200000.0,464500000.0,273300000.0,,
1989-10-30,1.91,191200000.0,464500000.0,273300000.0,,
1989-10-31,1.89,191200000.0,464500000.0,273300000.0,,
1989-11-01,1.96,191200000.0,464500000.0,273300000.0,,
1989-11-02,1.96,191200000.0,464500000.0,273300000.0,,
1989-11-03,1.98,191200000.0,464500000.0,273300000.0,,
1989-11-06,1.98,191200000.0,464500000.0,273300000.0,,
1989-11-07,2.02,191200000.0,464500000.0,273300000.0,,
1989-11-08,2.0,191200000.0,464500000.0,273300000.0,,
1989-11-09,1.94,191200000.0,464500000.0,273300000.0,,
1989-11-10,1.94,191200000.0,464500000.0,273300000.0,,
1989-11-13,1.96,191200000.0,464500000.0,273300000.0,,
1989-11-14,1.96,191200000.0,464500000.0,273300000.0,,
1989-11-15,1.96,191200000.0,464500000.0,273300000.0,,
1989-11-16,1.96,191200000.0,464500000.0,273300000.0,,
1989-11-17,1.94,191200000.0,464500000.0,273300000.0,,
1989-11-20,1.96,191200000.0,464500000.0,273300000.0,,
1989-11-21,1.93,191200000.0,464500000.0,273300000.0,,
