date,close price,UAL_SHE,UAL_TA,UAL_TL,market cap,PB Ratio
2001-03-16,,0.0,6058000000.0,0.0,,
2001-05-14,,0.0,2910000000.0,0.0,,
2001-08-09,,0.0,2325000000.0,0.0,,
2001-11-13,,0.0,4182000000.0,0.0,,
2002-03-08,,0.0,6547000000.0,0.0,,
2002-04-29,,0.0,3614000000.0,0.0,,
2002-08-14,,0.0,3443000000.0,0.0,,
2002-10-25,,0.0,2360000000.0,0.0,,
2003-03-28,,0.0,5156000000.0,0.0,,
2003-05-02,,0.0,1626000000.0,0.0,,
2003-08-01,,0.0,2248000000.0,0.0,,
2003-10-30,,0.0,2483000000.0,0.0,,
2004-03-02,,0.0,5536000000.0,0.0,,
2004-04-30,,0.0,2482000000.0,0.0,,
2004-08-02,,0.0,2012000000.0,0.0,,
2004-11-09,,0.0,2174000000.0,0.0,,
2005-03-16,,0.0,5171000000.0,0.0,,
2005-05-11,,0.0,2048000000.0,0.0,,
2005-08-09,,0.0,2321000000.0,0.0,,
2005-10-09,,0.0,2408000000.0,0.0,,
2006-02-06,33.9,0.0,2408000000.0,0.0,3876769218.6,inf
2006-02-07,32.99,0.0,2408000000.0,0.0,3772702552.26,inf
2006-02-08,32.0,0.0,2408000000.0,0.0,3659487168.0,inf
2006-02-09,34.5,0.0,2408000000.0,0.0,3945384603.0,inf
2006-02-10,34.24,0.0,2408000000.0,0.0,3915651269.76,inf
2006-02-13,35.04,0.0,2408000000.0,0.0,4007138448.96,inf
2006-02-14,35.78,0.0,2408000000.0,0.0,4091764089.7200003,inf
2006-02-15,36.53,0.0,2408000000.0,0.0,4177533320.2200003,inf
2006-02-16,35.7,0.0,2408000000.0,0.0,4082615371.8,inf
2006-02-17,36.93,0.0,2408000000.0,0.0,4223276909.82,inf
2006-02-21,35.43,0.0,2408000000.0,0.0,4051738448.82,inf
2006-02-22,36.08,0.0,2408000000.0,0.0,4126071781.9199996,inf
2006-02-23,36.14,0.0,2408000000.0,0.0,4132933320.36,inf
2006-02-24,35.8,0.0,2408000000.0,0.0,4094051269.2,inf
2006-02-27,35.5,0.0,2408000000.0,0.0,4059743577.0,inf
2006-02-28,35.47,0.0,2408000000.0,0.0,4056312807.7799997,inf
2006-03-01,36.1,0.0,2408000000.0,0.0,4128358961.4,inf
