date,close price,INCY_SHE,INCY_TA,INCY_TL,market cap,PB Ratio
,,16100000.0,17600000.0,1500000.0,,
1993-11-04,1.88,16100000.0,17600000.0,1500000.0,14852000.0,0.9224844720496894
1993-11-05,1.97,16100000.0,17600000.0,1500000.0,15563000.0,0.9666459627329193
1993-11-08,1.97,16100000.0,17600000.0,1500000.0,15563000.0,0.9666459627329193
1993-11-09,1.97,16100000.0,17600000.0,1500000.0,15563000.0,0.9666459627329193
1993-11-10,2.0,16100000.0,17600000.0,1500000.0,15800000.0,0.9813664596273292
1993-11-11,2.03,16100000.0,17600000.0,1500000.0,16037000.0,0.9960869565217392
1993-11-12,2.09,16100000.0,17600000.0,1500000.0,16511000.0,1.025527950310559
1993-11-15,2.31,16100000.0,17600000.0,1500000.0,27027000.0,1.6786956521739131
1993-11-16,2.44,16100000.0,17600000.0,1500000.0,28548000.0,1.773167701863354
1993-11-17,2.38,16100000.0,17600000.0,1500000.0,27846000.0,1.7295652173913043
1993-11-18,2.31,16100000.0,17600000.0,1500000.0,27027000.0,1.6786956521739131
1993-11-19,2.34,16100000.0,17600000.0,1500000.0,27378000.0,1.700496894409938
1993-11-22,2.25,16100000.0,17600000.0,1500000.0,26325000.0,1.6350931677018634
1993-11-23,2.41,16100000.0,17600000.0,1500000.0,28197000.0,1.7513664596273293
1993-11-24,2.34,16100000.0,17600000.0,1500000.0,27378000.0,1.700496894409938
1993-11-26,2.38,16100000.0,17600000.0,1500000.0,27846000.0,1.7295652173913043
1993-11-29,2.25,16100000.0,17600000.0,1500000.0,26325000.0,1.6350931677018634
1993-11-30,2.25,16100000.0,17600000.0,1500000.0,26325000.0,1.6350931677018634
1993-12-01,2.19,16100000.0,17600000.0,1500000.0,25623000.0,1.5914906832298137
1993-12-02,2.59,16100000.0,17600000.0,1500000.0,30303000.0,1.8821739130434783
1993-12-03,2.56,16100000.0,17600000.0,1500000.0,29952000.0,1.8603726708074535
1993-12-06,2.41,16100000.0,17600000.0,1500000.0,28197000.0,1.7513664596273293
