date,close price,EQIX_SHE,EQIX_TA,EQIX_TL,market cap,PB Ratio
,,375000000.0,683000000.0,308000000.0,,
2000-07-20,,189000000.0,450000000.0,262000000.0,,
2000-08-11,420.0,189000000.0,450000000.0,262000000.0,,
2000-08-14,384.0,189000000.0,450000000.0,262000000.0,,
2000-08-15,388.0,189000000.0,450000000.0,262000000.0,,
2000-08-16,396.0,189000000.0,450000000.0,262000000.0,,
2000-08-17,384.0,189000000.0,450000000.0,262000000.0,,
2000-08-18,458.0,189000000.0,450000000.0,262000000.0,,
2000-08-21,486.0,189000000.0,450000000.0,262000000.0,,
2000-08-22,432.0,189000000.0,450000000.0,262000000.0,,
2000-08-23,416.0,189000000.0,450000000.0,262000000.0,,
2000-08-24,386.0,189000000.0,450000000.0,262000000.0,,
2000-08-25,412.0,189000000.0,450000000.0,262000000.0,,
2000-08-28,420.0,189000000.0,450000000.0,262000000.0,,
2000-08-29,428.0,189000000.0,450000000.0,262000000.0,,
2000-08-30,454.0,189000000.0,450000000.0,262000000.0,,
2000-08-31,518.0,189000000.0,450000000.0,262000000.0,,
2000-09-01,504.0,189000000.0,450000000.0,262000000.0,,
2000-09-05,498.0,189000000.0,450000000.0,262000000.0,,
2000-09-06,496.0,189000000.0,450000000.0,262000000.0,,
2000-09-07,460.0,189000000.0,450000000.0,262000000.0,,
2000-09-08,448.0,189000000.0,450000000.0,262000000.0,,
2000-09-11,444.0,189000000.0,450000000.0,262000000.0,,
2000-09-12,416.0,189000000.0,450000000.0,262000000.0,,
2000-09-13,400.0,189000000.0,450000000.0,262000000.0,,
2000-09-14,406.0,189000000.0,450000000.0,262000000.0,,
2000-09-15,402.0,189000000.0,450000000.0,262000000.0,,
2000-09-18,386.0,189000000.0,450000000.0,262000000.0,,
2000-09-19,360.0,189000000.0,450000000.0,262000000.0,,
2000-09-20,332.0,189000000.0,450000000.0,262000000.0,,
2000-09-21,340.0,189000000.0,450000000.0,262000000.0,,
2000-09-22,338.0,189000000.0,450000000.0,262000000.0,,
2000-09-25,302.0,189000000.0,450000000.0,262000000.0,,
2000-09-26,296.0,189000000.0,450000000.0,262000000.0,,
