date,DISH,DISH_SHE,PB Ratio
,,11659779000.0,
2002-08-14,,-827672000.0,
2002-09-30,8311421700.0,-827672000.0,-10.041926874414019
2002-10-01,8282595959.999999,-827672000.0,-10.007099382364027
2002-10-02,8172097290.000001,-827672000.0,-9.873593996172398
2002-10-03,8167293000.0,-827672000.0,-9.867789414164065
2002-10-04,8143271550.0,-827672000.0,-9.838766504122406
2002-10-07,8176901580.0,-827672000.0,-9.879398578180728
2002-10-08,8268183090.0,-827672000.0,-9.989685636339033
2002-10-09,8172097290.000001,-827672000.0,-9.873593996172398
2002-10-10,8152880129.999999,-827672000.0,-9.850375668139069
2002-10-11,8301813120.000001,-827672000.0,-10.030317710397357
2002-10-14,8114445810.0,-827672000.0,-9.803939012072416
2002-10-15,8263378800.0,-827672000.0,-9.9838810543307
2002-10-16,8148075840.0,-827672000.0,-9.844571086130738
2002-10-17,8224944480.000001,-827672000.0,-9.937444398264049
2002-10-18,8138467260.000001,-827672000.0,-9.832961922114075
2002-10-21,8167293000.0,-827672000.0,-9.867789414164065
2002-10-22,8229748769.999999,-827672000.0,-9.943248980272378
2002-10-23,9104129550.0,-827672000.0,-10.999682905788767
2002-10-24,9161781030.0,-827672000.0,-11.069337889888748
2002-10-25,9728687250.0,-827672000.0,-11.754278566871902
2002-10-28,9512494200.0,-827672000.0,-11.49307237649697
2002-10-29,9603775710.0,-827672000.0,-11.603359434655275
2002-10-30,9522102780.0,-827672000.0,-11.504681540513634
2002-10-31,9795947310.0,-827672000.0,-11.835542714988547
2002-11-01,9483668460.0,-827672000.0,-11.458244884446978
2002-11-04,9824773050.0,-827672000.0,-11.870370207038537
2002-11-05,9964097460.0,-827672000.0,-12.03870308528016
2002-11-06,10113030450.0,-827672000.0,-12.218645127538446
2002-11-07,9800751600.0,-827672000.0,-11.841347296996878
2002-11-08,9608580000.0,-827672000.0,-11.609164016663605
2002-11-11,9363561210.0,-827672000.0,-11.313130334238684
2002-11-12,9608580000.0,-827672000.0,-11.609164016663605
2002-11-13,9656622900.0,-827672000.0,-11.667209836746924
2002-11-14,9132955290.0,-994310000.0,-9.185219187175026
2002-11-15,9224236800.0,-994310000.0,-9.277023061218332
