date,DHI,DHI_SHE,PB Ratio
2001-11-20,,0.0,
2002-09-30,1384237771.0700002,0.0,inf
2002-10-01,1451145074.72,0.0,inf
2002-10-02,1405053376.6499999,0.0,inf
2002-10-03,1363422165.49,0.0,inf
2002-10-04,1311383151.54,0.0,inf
2002-10-07,1234068045.1000001,0.0,inf
2002-10-08,1274212427.29,0.0,inf
2002-10-09,1193923662.9099998,0.0,inf
2002-10-10,1314356809.48,0.0,inf
2002-10-11,1338146073.0,0.0,inf
2002-10-14,1330711928.1499999,0.0,inf
2002-10-15,1416948008.4099998,0.0,inf
2002-10-16,1355988020.6399999,0.0,inf
2002-10-17,1483855312.0600002,0.0,inf
2002-10-18,1470473851.3300002,0.0,inf
2002-10-21,1550762615.71,0.0,inf
2002-10-22,1489802627.9399998,0.0,inf
2002-10-23,1535894326.01,0.0,inf
2002-10-24,1498723601.76,0.0,inf
2002-10-25,1507644575.5800002,0.0,inf
2002-10-28,1445197758.8400002,0.0,inf
2002-10-29,1431816298.1100001,0.0,inf
2002-10-30,1409513863.5600002,0.0,inf
2002-10-31,1433303127.0800002,0.0,inf
2002-11-01,1468987022.3600001,0.0,inf
2002-11-04,1457092390.6000001,0.0,inf
2002-11-05,1446684587.8100002,0.0,inf
2002-11-06,1501697259.7,0.0,inf
2002-11-07,1350040704.76,0.0,inf
2002-11-08,1296514861.8400002,0.0,inf
2002-11-11,1296514861.8400002,0.0,inf
2002-11-12,1275699256.26,0.0,inf
2002-11-13,1305435835.6599998,0.0,inf
2002-11-14,1364908994.46,0.0,inf
2002-11-15,1412487521.5,0.0,inf
2002-11-18,1373829968.28,0.0,inf
2002-11-19,1348553875.79,0.0,inf
2002-11-20,1345580217.8500001,0.0,inf
2002-11-21,1412487521.5,0.0,inf
2002-11-22,1390185086.95,0.0,inf
2002-11-25,1418434837.3799999,0.0,inf
2002-11-26,1375316797.25,0.0,inf
2002-11-27,1425868982.23,0.0,inf
2002-11-29,1421408495.3200002,0.0,inf
2002-12-02,1416948008.4099998,0.0,inf
2002-12-03,1324764612.27,0.0,inf
2002-12-04,1338146073.0,0.0,inf
2002-12-05,1320304125.3600001,0.0,inf
2002-12-06,1326251441.24,0.0,inf
2002-12-09,1311383151.54,0.0,inf
2002-12-10,1280159743.1699998,0.0,inf
2002-12-11,1272725598.3200002,0.0,inf
2002-12-12,1295028032.8700001,0.0,inf
2002-12-13,1268265111.4099998,0.0,inf
2002-12-16,1335172415.0600002,0.0,inf
2002-12-17,1318817296.3899999,0.0,inf
2002-12-18,1315843638.45,0.0,inf
2002-12-19,1336659244.03,0.0,inf
2002-12-20,1348553875.79,0.0,inf
2002-12-23,1338146073.0,0.0,inf
2002-12-24,1330711928.1499999,0.0,inf
2002-12-26,1341119730.9399998,0.0,inf
2002-12-27,1299488519.78,0.0,inf
2002-12-30,1272725598.3200002,0.0,inf
2002-12-31,1290567545.96,0.0,inf
2003-01-02,1391671915.9199998,0.0,inf
2003-01-03,1379777284.1599998,0.0,inf
2003-01-06,1357474849.6100001,0.0,inf
2003-01-07,1357474849.6100001,0.0,inf
2003-01-08,1379777284.1599998,0.0,inf
2003-01-09,1406540205.6200001,0.0,inf
2003-01-10,1427355811.2,0.0,inf
2003-01-13,1431816298.1100001,0.0,inf
2003-01-14,1443710929.8700001,0.0,inf
2003-01-15,1434789956.05,0.0,inf
2003-01-16,1501697259.7,0.0,inf
2003-01-17,1492776285.8799999,0.0,inf
2003-01-21,1464526535.45,0.0,inf
2003-01-22,1466013364.4199998,0.0,inf
2003-01-23,1483855312.0600002,0.0,inf
2003-01-24,1471960680.3,0.0,inf
2003-01-27,1419921666.3500001,0.0,inf
2003-01-28,1445197758.8400002,0.0,inf
2003-01-29,1448171416.78,0.0,inf
2003-01-30,1402079718.71,0.0,inf
2003-01-31,1419921666.3500001,0.0,inf
2003-02-03,1436276785.02,0.0,inf
2003-02-04,1428842640.1699998,0.0,inf
2003-02-05,1442224100.8999999,0.0,inf
2003-02-06,1396132402.8300002,0.0,inf
2003-02-07,1375316797.25,0.0,inf
