date,DLR,DLR_SHE,PB Ratio
2004-12-13,,0.0,
2004-12-31,290082982.95,0.0,inf
2005-01-03,292667241.15,0.0,inf
2005-01-04,293959370.25,0.0,inf
2005-01-05,284268402.0,0.0,inf
2005-01-06,288360144.15000004,0.0,inf
2005-01-07,285560531.1,0.0,inf
2005-01-10,286421950.5,0.0,inf
2005-01-11,285560531.1,0.0,inf
2005-01-12,286421950.5,0.0,inf
2005-01-13,287929434.45,0.0,inf
2005-01-14,292667241.15,0.0,inf
2005-01-18,295036144.5,0.0,inf
2005-01-19,293959370.25,0.0,inf
2005-01-20,292021176.6,0.0,inf
2005-01-21,292882596.0,0.0,inf
2005-01-24,291159757.2,0.0,inf
2005-01-25,290729047.5,0.0,inf
2005-01-26,295251499.35,0.0,inf
2005-01-27,295036144.5,0.0,inf
2005-01-28,297189693.0,0.0,inf
2005-01-31,297189693.0,0.0,inf
2005-02-01,297189693.0,0.0,inf
2005-02-02,300420015.75,0.0,inf
2005-02-03,301066080.3,0.0,inf
2005-02-04,300635370.6,0.0,inf
2005-02-07,302573564.25,0.0,inf
2005-02-08,301496790.0,0.0,inf
2005-02-09,298266467.25,0.0,inf
2005-02-10,303865693.34999996,0.0,inf
2005-02-11,313556661.6,0.0,inf
2005-02-14,312264532.5,0.0,inf
2005-02-15,311618467.95,0.0,inf
2005-02-16,312264532.5,0.0,inf
2005-02-17,301496790.0,0.0,inf
2005-02-18,301496790.0,0.0,inf
2005-02-22,298912531.8,0.0,inf
2005-02-23,298266467.25,0.0,inf
2005-02-24,301066080.3,0.0,inf
2005-02-25,302573564.25,0.0,inf
2005-02-28,308603500.05,0.0,inf
2005-03-01,306880661.25,0.0,inf
2005-03-02,312264532.5,0.0,inf
2005-03-03,310326338.85,0.0,inf
2005-03-04,312049177.65,0.0,inf
2005-03-07,312695242.2,0.0,inf
2005-03-08,306880661.25,0.0,inf
2005-03-09,307096016.1,0.0,inf
2005-03-10,308172790.35,0.0,inf
2005-03-11,301066080.3,0.0,inf
2005-03-14,315279500.40000004,0.0,inf
2005-03-15,305157822.45,0.0,inf
2005-03-16,301496790.0,0.0,inf
2005-03-17,300850725.45,0.0,inf
2005-03-18,303650338.5,0.0,inf
2005-03-21,304511757.90000004,0.0,inf
2005-03-22,299558596.35,0.0,inf
2005-03-23,306880661.25,0.0,inf
2005-03-24,312479887.35,0.0,inf
2005-03-28,312479887.35,0.0,inf
2005-03-29,312264532.5,0.0,inf
2005-03-30,316140919.8,0.0,inf
2005-03-31,309464919.45,173199000.0,1.7867592737255988
2005-04-01,308522998.98,173199000.0,1.7813209024301526
2005-04-04,308738598.56,173199000.0,1.7825657108874762
