date,close price,HIG_SHE,HIG_TA,HIG_TL,market cap,PB Ratio
,,3184000000.0,76765000000.0,73581000000.0,,
1995-12-15,24.88,3184000000.0,76765000000.0,73581000000.0,,
1995-12-18,24.44,3184000000.0,76765000000.0,73581000000.0,,
1995-12-19,23.94,3184000000.0,76765000000.0,73581000000.0,,
1995-12-20,24.56,3184000000.0,76765000000.0,73581000000.0,,
1995-12-21,24.25,3184000000.0,76765000000.0,73581000000.0,,
1995-12-22,24.38,3184000000.0,76765000000.0,73581000000.0,,
1995-12-26,24.31,3184000000.0,76765000000.0,73581000000.0,,
1995-12-27,24.06,3184000000.0,76765000000.0,73581000000.0,,
1995-12-28,24.06,3184000000.0,76765000000.0,73581000000.0,,
1995-12-29,24.19,3184000000.0,76765000000.0,73581000000.0,,
1996-01-02,24.25,3184000000.0,76765000000.0,73581000000.0,,
1996-01-03,24.19,3184000000.0,76765000000.0,73581000000.0,,
1996-01-04,24.44,3184000000.0,76765000000.0,73581000000.0,,
1996-01-05,24.38,3184000000.0,76765000000.0,73581000000.0,,
1996-01-08,24.94,3184000000.0,76765000000.0,73581000000.0,,
1996-01-09,24.82,3184000000.0,76765000000.0,73581000000.0,,
1996-01-10,24.13,3184000000.0,76765000000.0,73581000000.0,,
1996-01-11,24.38,3184000000.0,76765000000.0,73581000000.0,,
1996-01-12,24.81,3184000000.0,76765000000.0,73581000000.0,,
1996-01-15,25.25,3184000000.0,76765000000.0,73581000000.0,,
1996-01-16,25.38,3184000000.0,76765000000.0,73581000000.0,,
1996-01-17,25.06,3184000000.0,76765000000.0,73581000000.0,,
1996-01-18,25.13,3184000000.0,76765000000.0,73581000000.0,,
1996-01-19,25.0,3184000000.0,76765000000.0,73581000000.0,,
1996-01-22,25.0,3184000000.0,76765000000.0,73581000000.0,,
1996-01-23,25.44,3184000000.0,76765000000.0,73581000000.0,,
1996-01-24,25.25,3184000000.0,76765000000.0,73581000000.0,,
1996-01-25,24.88,3184000000.0,76765000000.0,73581000000.0,,
1996-01-26,25.19,3184000000.0,76765000000.0,73581000000.0,,
1996-01-29,25.0,3184000000.0,76765000000.0,73581000000.0,,
1996-01-30,24.81,3184000000.0,76765000000.0,73581000000.0,,
1996-01-31,25.06,3184000000.0,76765000000.0,73581000000.0,,
1996-02-01,25.19,3184000000.0,76765000000.0,73581000000.0,,
1996-02-02,25.0,3184000000.0,76765000000.0,73581000000.0,,
