date,close price,FTNT_SHE,FTNT_TA,FTNT_TL,market cap,PB Ratio
2009-11-18,8.31,,,,,
2009-11-19,8.45,,,,,
2009-11-20,8.47,,,,,
2009-11-23,8.45,,,,,
2009-11-24,8.51,,,,,
2009-11-25,8.6,,,,,
2009-11-27,8.45,,,,,
2009-11-30,8.5,,,,,
2009-12-01,8.41,,,,,
2009-12-02,8.31,,,,,
2009-12-03,8.34,,,,,
2009-12-04,8.64,,,,,
2009-12-07,8.46,,,,,
2009-12-08,8.28,,,,,
2009-12-09,8.5,,,,,
2009-12-10,8.46,,,,,
2009-12-11,8.47,,,,,
2009-12-14,8.5,,,,,
2009-12-15,8.5,,,,,
2009-12-16,9.13,,,,,
2009-12-17,8.98,,,,,
2009-12-18,8.79,,,,,
2009-12-21,8.82,,,,,
2009-12-22,8.62,,,,,
2009-12-23,8.98,,,,,
2009-12-24,9.18,,,,,
2009-12-28,8.87,,,,,
2009-12-29,9.18,,,,,
2009-12-30,9.01,,,,,
2009-12-31,8.79,,,,,
2010-01-04,9.0,,,,,
2010-01-05,9.2,,,,,
2010-01-06,9.71,,,,,
2010-01-07,9.73,,,,,
2010-01-08,10.06,,,,,
2010-01-11,10.03,,,,,
2010-01-12,9.9,,,,,
2010-01-13,9.72,,,,,
2010-01-14,9.95,,,,,
2010-01-15,9.82,,,,,
2010-01-19,9.9,,,,,
2010-01-20,9.53,,,,,
2010-01-21,9.2,,,,,
2010-01-22,8.94,,,,,
2010-01-25,9.01,,,,,
2010-01-26,9.16,,,,,
2010-01-27,9.33,,,,,
2010-01-28,8.9,,,,,
2010-01-29,8.62,,,,,
2010-02-01,8.73,,,,,
2010-02-02,8.57,,,,,
2010-02-03,8.22,,,,,
2010-02-04,7.85,,,,,
2010-02-05,7.85,,,,,
2010-02-08,7.95,,,,,
2010-02-09,8.3,,,,,
2010-02-10,8.43,,,,,
2010-02-11,8.34,,,,,
2010-02-12,8.26,,,,,
2010-02-16,8.26,,,,,
2010-02-17,8.46,,,,,
2010-02-18,8.67,,,,,
2010-02-19,8.67,,,,,
2010-02-22,8.49,,,,,
2010-02-23,8.34,,,,,
2010-02-24,8.29,,,,,
2010-02-25,8.38,,,,,
2010-02-26,8.59,,,,,
2010-03-01,9.0,,,,,
2010-03-02,8.73,,,,,
2010-03-03,8.55,,,,,
2010-03-04,8.44,,,,,
2010-03-05,8.53,142452000.0,387213000.0,244761000.0,,
2010-03-08,8.62,142452000.0,387213000.0,244761000.0,,
2010-03-09,8.51,142452000.0,387213000.0,244761000.0,,
2010-03-10,8.33,142452000.0,387213000.0,244761000.0,,
2010-03-11,8.19,142452000.0,387213000.0,244761000.0,,
2010-03-12,8.17,142452000.0,387213000.0,244761000.0,,
2010-03-15,8.17,142452000.0,387213000.0,244761000.0,,
2010-03-16,8.24,142452000.0,387213000.0,244761000.0,,
2010-03-17,8.47,142452000.0,387213000.0,244761000.0,,
2010-03-18,8.59,142452000.0,387213000.0,244761000.0,,
2010-03-19,8.55,142452000.0,387213000.0,244761000.0,,
2010-03-22,8.57,142452000.0,387213000.0,244761000.0,,
2010-03-23,8.67,142452000.0,387213000.0,244761000.0,,
2010-03-24,8.61,142452000.0,387213000.0,244761000.0,,
2010-03-25,8.6,142452000.0,387213000.0,244761000.0,,
2010-03-26,8.53,142452000.0,387213000.0,244761000.0,,
2010-03-29,8.7,142452000.0,387213000.0,244761000.0,,
