date,close price,YUM_SHE,YUM_TA,YUM_TL,market cap,PB Ratio
1997-09-17,5.23,,,,,
1997-09-18,5.41,,,,,
1997-09-19,5.44,,,,,
1997-09-22,5.39,,,,,
1997-09-23,5.39,,,,,
1997-09-24,5.39,,,,,
1997-09-25,5.47,,,,,
1997-09-26,5.61,,,,,
1997-09-29,5.68,,,,,
1997-09-30,5.82,,,,,
1997-10-01,5.57,,,,,
1997-10-02,5.55,,,,,
1997-10-03,5.63,,,,,
1997-10-06,5.75,,,,,
1997-10-07,5.59,,,,,
1997-10-08,5.52,,,,,
1997-10-09,5.74,,,,,
1997-10-10,5.67,,,,,
1997-10-13,5.76,,,,,
1997-10-14,5.73,,,,,
1997-10-15,5.71,,,,,
1997-10-16,5.71,,,,,
1997-10-17,5.61,,,,,
1997-10-20,5.8,,,,,
1997-10-21,6.03,,,,,
1997-10-22,5.93,,,,,
1997-10-23,5.93,,,,,
1997-10-24,5.93,,,,,
1997-10-27,5.59,,,,,
1997-10-28,5.56,,,,,
1997-10-29,5.45,,,,,
1997-10-30,5.3,,,,,
1997-10-31,5.45,,,,,
1997-11-03,5.48,,,,,
1997-11-04,5.41,,,,,
1997-11-05,5.43,,,,,
1997-11-06,5.68,,,,,
1997-11-07,5.75,,,,,
1997-11-10,6.08,,,,,
1997-11-11,6.02,,,,,
1997-11-12,5.9,,,,,
1997-11-13,6.02,,,,,
1997-11-14,6.34,,,,,
1997-11-17,6.35,,,,,
1997-11-18,6.08,,,,,
1997-11-19,6.11,,,,,
1997-11-20,6.13,,,,,
1997-11-21,6.2,,,,,
1997-11-24,6.02,,,,,
1997-11-25,5.89,,,,,
1997-11-26,5.96,,,,,
1997-11-28,6.08,,,,,
1997-12-01,6.11,,,,,
1997-12-02,6.12,,,,,
1997-12-03,6.23,,,,,
1997-12-04,6.26,,,,,
1997-12-05,6.22,,,,,
1997-12-08,6.2,,,,,
1997-12-09,6.14,,,,,
1997-12-10,5.8,,,,,
1997-12-11,5.59,,,,,
1997-12-12,5.46,,,,,
1997-12-15,5.43,,,,,
1997-12-16,5.53,,,,,
1997-12-17,5.46,,,,,
1997-12-18,5.37,,,,,
1997-12-19,5.36,,,,,
1997-12-22,5.36,,,,,
1997-12-23,5.1,,,,,
1997-12-24,5.17,,,,,
1997-12-26,5.09,,,,,
1997-12-29,5.1,,,,,
1997-12-30,5.27,,,,,
1997-12-31,5.22,,,,,
1998-01-02,5.23,,,,,
1998-01-05,5.08,,,,,
1998-01-06,4.86,,,,,
1998-01-07,4.85,,,,,
1998-01-08,4.66,,,,,
1998-01-09,4.67,,,,,
1998-01-12,4.7,,,,,
1998-01-13,4.7,,,,,
1998-01-14,4.7,,,,,
1998-01-15,4.81,,,,,
1998-01-16,4.84,,,,,
1998-01-20,4.99,,,,,
1998-01-21,4.92,,,,,
1998-01-22,4.88,,,,,
1998-01-23,4.81,,,,,
1998-01-26,4.79,,,,,
1998-01-27,4.77,,,,,
1998-01-28,4.92,,,,,
1998-01-29,4.93,,,,,
1998-01-30,4.91,,,,,
1998-02-02,5.01,,,,,
1998-02-03,4.96,,,,,
1998-02-04,5.1,,,,,
1998-02-05,5.03,,,,,
1998-02-06,5.16,,,,,
1998-02-09,5.08,,,,,
1998-02-10,5.11,,,,,
1998-02-11,5.07,,,,,
1998-02-12,4.94,,,,,
1998-02-13,4.9,,,,,
1998-02-17,4.8,,,,,
1998-02-18,4.7,,,,,
1998-02-19,4.86,,,,,
1998-02-20,4.81,,,,,
1998-02-23,4.79,,,,,
1998-02-24,4.88,,,,,
1998-02-25,4.85,,,,,
1998-02-26,5.02,,,,,
1998-02-27,5.12,,,,,
1998-03-02,5.29,,,,,
1998-03-03,5.3,,,,,
1998-03-04,5.39,,,,,
1998-03-05,5.39,,,,,
1998-03-06,5.3,,,,,
1998-03-09,5.17,,,,,
1998-03-10,5.25,,,,,
1998-03-11,5.34,,,,,
1998-03-12,5.35,,,,,
1998-03-13,5.34,,,,,
1998-03-16,5.36,,,,,
1998-03-17,5.37,,,,,
1998-03-18,5.25,,,,,
1998-03-19,5.31,,,,,
1998-03-20,5.5,,,,,
1998-03-23,5.37,,,,,
1998-03-24,5.5,,,,,
1998-03-25,5.49,,,,,
1998-03-26,5.4,,,,,
1998-03-27,5.4,,,,,
1998-03-30,5.31,,,,,
1998-03-31,5.4,,,,,
1998-04-01,5.66,,,,,
1998-04-02,5.65,,,,,
1998-04-03,5.8,,,,,
1998-04-06,5.65,,,,,
1998-04-07,5.46,,,,,
1998-04-08,5.4,,,,,
1998-04-09,5.53,,,,,
1998-04-13,5.5,,,,,
1998-04-14,5.5,,,,,
1998-04-15,5.7,,,,,
1998-04-16,5.64,,,,,
1998-04-17,5.65,,,,,
1998-04-20,5.68,,,,,
1998-04-21,5.65,,,,,
1998-04-22,5.9,,,,,
1998-04-23,5.89,,,,,
1998-04-24,5.82,,,,,
1998-04-27,5.61,,,,,
1998-04-28,5.57,,,,,
1998-04-29,5.64,,,,,
1998-04-30,5.71,,,,,
1998-05-01,5.64,,,,,
1998-05-04,5.57,,,,,
1998-05-05,5.59,,,,,
1998-05-06,5.55,,,,,
1998-05-07,5.41,,,,,
1998-05-08,5.44,,,,,
1998-05-11,5.45,,,,,
1998-05-12,5.55,,,,,
1998-05-13,5.57,,,,,
1998-05-14,5.62,,,,,
1998-05-15,5.67,,,,,
1998-05-18,5.72,,,,,
1998-05-19,5.76,,,,,
1998-05-20,5.68,,,,,
1998-05-21,5.61,,,,,
1998-05-22,5.58,,,,,
1998-05-26,5.55,,,,,
1998-05-27,5.43,,,,,
1998-05-28,5.56,,,,,
1998-05-29,5.58,,,,,
1998-06-01,5.78,,,,,
1998-06-02,5.89,,,,,
1998-06-03,5.82,,,,,
1998-06-04,5.8,,,,,
1998-06-05,5.83,,,,,
1998-06-08,5.86,,,,,
1998-06-09,5.95,,,,,
1998-06-10,5.8,,,,,
1998-06-11,5.57,,,,,
1998-06-12,5.56,,,,,
1998-06-15,5.39,,,,,
1998-06-16,5.38,,,,,
1998-06-17,5.59,,,,,
1998-06-18,5.59,,,,,
1998-06-19,5.61,,,,,
1998-06-22,5.66,,,,,
1998-06-23,5.72,,,,,
1998-06-24,6.02,,,,,
1998-06-25,6.05,,,,,
1998-06-26,5.84,,,,,
1998-06-29,6.0,,,,,
1998-06-30,5.7,,,,,
1998-07-01,5.86,,,,,
1998-07-02,5.83,,,,,
1998-07-06,6.03,,,,,
1998-07-07,5.87,,,,,
1998-07-08,5.95,,,,,
1998-07-09,5.91,,,,,
1998-07-10,5.94,,,,,
1998-07-13,5.93,,,,,
1998-07-14,6.02,,,,,
1998-07-15,6.1,,,,,
1998-07-16,6.34,,,,,
1998-07-17,6.36,,,,,
1998-07-20,6.45,,,,,
1998-07-21,6.32,,,,,
1998-07-22,6.34,,,,,
1998-07-23,6.27,,,,,
1998-07-24,6.29,,,,,
1998-07-27,6.59,,,,,
1998-07-28,6.48,,,,,
1998-07-29,6.45,,,,,
1998-07-30,6.56,,,,,
1998-07-31,6.36,,,,,
1998-08-03,6.38,,,,,
1998-08-04,6.2,,,,,
1998-08-05,6.18,,,,,
1998-08-06,6.09,,,,,
1998-08-07,6.08,,,,,
1998-08-10,6.2,,,,,
1998-08-11,6.1,,,,,
1998-08-12,6.34,,,,,
1998-08-13,6.12,,,,,
1998-08-14,6.17,,,,,
1998-08-17,5.72,,,,,
1998-08-18,5.84,,,,,
1998-08-19,6.65,,,,,
1998-08-20,7.12,,,,,
1998-08-21,6.81,,,,,
1998-08-24,7.08,,,,,
1998-08-25,7.32,,,,,
1998-08-26,7.2,,,,,
1998-08-27,7.01,,,,,
1998-08-28,6.89,,,,,
1998-08-31,6.66,,,,,
1998-09-01,7.11,,,,,
1998-09-02,7.02,,,,,
1998-09-03,6.85,,,,,
1998-09-04,6.71,,,,,
1998-09-08,7.07,,,,,
1998-09-09,6.99,,,,,
1998-09-10,6.68,,,,,
1998-09-11,6.83,,,,,
1998-09-14,6.95,,,,,
1998-09-15,6.78,,,,,
1998-09-16,7.0,,,,,
1998-09-17,6.94,,,,,
1998-09-18,7.05,,,,,
1998-09-21,7.05,,,,,
1998-09-22,6.95,,,,,
1998-09-23,7.16,,,,,
1998-09-24,6.77,,,,,
1998-09-25,6.63,,,,,
1998-09-28,6.64,,,,,
1998-09-29,6.89,,,,,
1998-09-30,7.03,,,,,
1998-10-01,6.96,,,,,
1998-10-02,6.91,,,,,
1998-10-05,6.69,,,,,
1998-10-06,6.68,,,,,
1998-10-07,6.29,,,,,
1998-10-08,5.98,,,,,
1998-10-09,6.57,,,,,
1998-10-12,6.56,,,,,
1998-10-13,6.51,,,,,
1998-10-14,6.94,,,,,
1998-10-15,7.07,,,,,
1998-10-16,7.2,,,,,
1998-10-19,7.63,,,,,
1998-10-20,8.02,,,,,
1998-10-21,7.93,,,,,
1998-10-22,7.86,,,,,
1998-10-23,8.0,,,,,
1998-10-26,7.89,,,,,
1998-10-27,7.91,,,,,
1998-10-28,7.82,,,,,
1998-10-29,7.74,,,,,
1998-10-30,7.82,,,,,
1998-11-02,7.93,,,,,
1998-11-03,7.9,,,,,
1998-11-04,7.95,,,,,
1998-11-05,7.85,,,,,
1998-11-06,7.84,,,,,
1998-11-09,7.91,,,,,
1998-11-10,8.18,,,,,
1998-11-11,8.09,,,,,
1998-11-12,8.12,,,,,
1998-11-13,8.44,,,,,
1998-11-16,8.48,,,,,
1998-11-17,8.28,,,,,
1998-11-18,8.21,,,,,
1998-11-19,8.22,,,,,
1998-11-20,8.27,,,,,
1998-11-23,8.49,,,,,
1998-11-24,8.31,,,,,
1998-11-25,8.3,,,,,
1998-11-27,8.17,,,,,
1998-11-30,8.22,,,,,
1998-12-01,8.26,,,,,
1998-12-02,8.16,,,,,
1998-12-03,8.35,,,,,
1998-12-04,8.86,,,,,
1998-12-07,8.87,,,,,
1998-12-08,8.81,,,,,
1998-12-09,8.9,,,,,
1998-12-10,8.67,,,,,
1998-12-11,8.68,,,,,
1998-12-14,8.33,,,,,
1998-12-15,8.4,,,,,
1998-12-16,8.5,,,,,
1998-12-17,8.65,,,,,
1998-12-18,8.84,,,,,
1998-12-21,8.63,,,,,
1998-12-22,8.82,,,,,
1998-12-23,8.68,,,,,
1998-12-24,8.56,,,,,
1998-12-28,8.57,,,,,
1998-12-29,8.8,,,,,
1998-12-30,9.1,,,,,
1998-12-31,9.01,,,,,
1999-01-04,8.65,,,,,
1999-01-05,8.82,,,,,
1999-01-06,8.95,,,,,
1999-01-07,8.91,,,,,
1999-01-08,8.93,,,,,
1999-01-11,9.17,,,,,
1999-01-12,8.96,,,,,
1999-01-13,9.05,,,,,
1999-01-14,8.63,,,,,
1999-01-15,8.76,,,,,
1999-01-19,8.72,,,,,
1999-01-20,8.58,,,,,
1999-01-21,8.38,,,,,
1999-01-22,8.27,,,,,
1999-01-25,8.31,,,,,
1999-01-26,8.63,,,,,
1999-01-27,8.71,,,,,
1999-01-28,8.8,,,,,
1999-01-29,8.55,,,,,
1999-02-01,8.31,,,,,
1999-02-02,8.44,,,,,
1999-02-03,8.87,,,,,
1999-02-04,8.74,,,,,
1999-02-05,8.81,,,,,
