date,EVRG,EVRG_SHE,PB Ratio
2018-11-29,12593362000.0,10688900000.0,1.1781719353722087
2018-11-30,12711117000.0,10688900000.0,1.189188503962054
2018-12-03,12783911000.0,10688900000.0,1.1959987463630495
2018-12-04,12854564000.0,10688900000.0,1.2026086875169568
2018-12-06,13010857000.0,10688900000.0,1.2172306785543883
2018-12-07,12912371000.0,10688900000.0,1.2080168211883355
2018-12-10,12955191000.0,10688900000.0,1.2120228461300975
2018-12-11,12980883000.0,10688900000.0,1.2144264610951547
2018-12-12,12809603000.0,10688900000.0,1.1984023613281067
2018-12-13,12895243000.0,10688900000.0,1.2064144112116308
2018-12-14,12961614000.0,10688900000.0,1.212623749871362
2018-12-17,12492735000.0,10688900000.0,1.1687577767590678
2018-12-18,12471325000.0,10688900000.0,1.1667547642881868
2018-12-19,12434928000.0,10688900000.0,1.163349643087689
2018-12-20,12419941000.0,10688900000.0,1.1619475343580723
2018-12-21,12477748000.0,10688900000.0,1.167355668029451
2018-12-24,11970331000.0,10688900000.0,1.1198842724695712
2018-12-26,12113778000.0,10688900000.0,1.133304456024474
2018-12-27,12145893000.0,10688900000.0,1.1363089747307955
2018-12-28,12103073000.0,10688900000.0,1.1323029497890336
2018-12-31,12154457000.0,10688900000.0,1.1371101797191479
2019-01-02,14137640000.0,10688900000.0,1.3226468579554491
2019-01-03,14084510000.0,10688900000.0,1.3176762810017868
2019-01-04,14140170000.0,10688900000.0,1.3228835520960998
2019-01-07,14155350000.0,10688900000.0,1.3243037169400032
2019-01-08,14322330000.0,10688900000.0,1.3399255302229416
2019-01-09,14183180000.0,10688900000.0,1.3269073524871595
2019-01-10,14385580000.0,10688900000.0,1.345842883739206
2019-01-11,14286910000.0,10688900000.0,1.3366118122538335
2019-01-14,14178120000.0,10688900000.0,1.3264339642058585
2019-01-15,14256550000.0,10688900000.0,1.3337714825660265
2019-01-16,14241370000.0,10688900000.0,1.332351317722123
2019-01-17,14319800000.0,10688900000.0,1.339688836082291
2019-01-18,14334980000.0,10688900000.0,1.3411090009261946
2019-01-22,14372930000.0,10688900000.0,1.3446594130359533
2019-01-23,14400760000.0,10688900000.0,1.3472630485831096
2019-01-24,14456420000.0,10688900000.0,1.3524703196774224
2019-01-25,14365340000.0,10688900000.0,1.3439493306140013
2019-01-28,14347630000.0,10688900000.0,1.3422924716294473
2019-01-29,14299560000.0,10688900000.0,1.3377952829570863
2019-01-30,14345100000.0,10688900000.0,1.342055777488797
2019-01-31,14501960000.0,10688900000.0,1.3567308142091328
2019-02-01,14476660000.0,10688900000.0,1.354363872802627
2019-02-04,14527260000.0,10688900000.0,1.3590977556156387
2019-02-05,14532320000.0,10688900000.0,1.3595711438969398
2019-02-06,14474130000.0,10688900000.0,1.3541271786619764
2019-02-07,14582920000.0,10688900000.0,1.3643050267099515
2019-02-08,14699300000.0,10688900000.0,1.3751929571798782
2019-02-11,14691710000.0,10688900000.0,1.3744828747579265
2019-02-12,14749900000.0,10688900000.0,1.37992683999289
2019-02-13,14787850000.0,10688900000.0,1.3834772521026486
2019-02-14,14780260000.0,10688900000.0,1.382767169680697
2019-02-15,14868810000.0,10688900000.0,1.391051464603467
2019-02-19,15000370000.0,10688900000.0,1.4033595599172974
2019-02-20,15025670000.0,10688900000.0,1.4057265013238032
2019-02-21,15147110000.0,10688900000.0,1.4170878200750312
2019-02-22,14038970000.0,10028200000.0,1.3999491434155682
2019-02-25,14076920000.0,10028200000.0,1.4037334716100596
2019-02-26,14114870000.0,10028200000.0,1.4075177998045512
2019-02-27,14038970000.0,10028200000.0,1.3999491434155682
2019-02-28,14145230000.0,10028200000.0,1.4105452623601444
2019-03-01,13922590000.0,10028200000.0,1.388343870285794
2019-03-04,13983310000.0,10028200000.0,1.3943987953969805
2019-03-05,13935240000.0,10028200000.0,1.3896053130172912
2019-03-06,13874520000.0,10028200000.0,1.3835503879061049
2019-03-07,14013670000.0,10028200000.0,1.3974262579525738
2019-03-08,14107280000.0,10028200000.0,1.4067609341656528
2019-03-11,14256550000.0,10028200000.0,1.4216459583973196
2019-03-12,14352690000.0,10028200000.0,1.431232923156698
