date,XYL,XYL_SHE,PB Ratio
2011-10-13,4514186000.0,,
2011-10-14,4718953200.0,,
2011-10-17,4683584320.0,,
2011-10-18,4698476480.0,,
2011-10-19,4607262000.0,,
2011-10-20,4607262000.0,,
2011-10-21,4754322080.0,,
2011-10-24,4797137040.0,,
2011-10-25,4793414000.0,,
2011-10-26,4657523040.0,,
2011-10-27,4769214240.0,,
2011-10-28,4806444640.0,,
2011-10-31,4977704480.0,,
2011-11-01,5083811120.0,,
2011-11-02,4955366240.0,,
2011-11-03,4912551280.0,,
2011-11-04,4689168880.0,,
2011-11-07,4579339200.0,,
2011-11-08,4642630880.0,,
2011-11-09,4447171280.0,,
2011-11-10,4402494800.0,,
2011-11-11,4428556080.0,,
2011-11-14,4454617360.0,,
2011-11-15,4465786480.0,,
2011-11-16,4489986240.0,,
2011-11-17,4439725200.0,,
2011-11-18,4454617360.0,,
2011-11-21,4396910240.0,0.0,inf
2011-11-22,4398771760.0,0.0,inf
2011-11-23,4408079360.0,0.0,inf
2011-11-25,4281496000.0,0.0,inf
2011-11-28,4372710480.0,0.0,inf
2011-11-29,4331757040.0,0.0,inf
2011-11-30,4449032800.0,0.0,inf
2011-12-01,4517909040.0,0.0,inf
2011-12-02,4514186000.0,0.0,inf
2011-12-05,4670553680.0,0.0,inf
2011-12-06,4622154160.0,0.0,inf
2011-12-07,4573754640.0,0.0,inf
2011-12-08,4445309760.0,0.0,inf
2011-12-09,4532801200.0,0.0,inf
2011-12-12,4452755840.0,0.0,inf
2011-12-13,4439725200.0,0.0,inf
2011-12-14,4357818320.0,0.0,inf
2011-12-15,4452755840.0,0.0,inf
2011-12-16,4592369840.0,0.0,inf
2011-12-19,4514186000.0,0.0,inf
2011-12-20,4525355120.0,0.0,inf
2011-12-21,4638907840.0,0.0,inf
2011-12-22,4622154160.0,0.0,inf
2011-12-23,4637046320.0,0.0,inf
2011-12-27,4663107600.0,0.0,inf
2011-12-28,4758045120.0,0.0,inf
2011-12-29,4830644400.0,0.0,inf
2011-12-30,4782244880.0,0.0,inf
2012-01-03,4679861280.0,0.0,inf
2012-01-04,4834367440.0,0.0,inf
2012-01-05,4765491200.0,0.0,inf
2012-01-06,4685445840.0,0.0,inf
2012-01-09,4704061040.0,0.0,inf
2012-01-10,4761768160.0,0.0,inf
2012-01-11,4851121120.0,0.0,inf
2012-01-12,4784106400.0,0.0,inf
2012-01-13,4771075760.0,0.0,inf
2012-01-17,4771075760.0,0.0,inf
2012-01-18,5024242480.0,0.0,inf
2012-01-19,4955366240.0,0.0,inf
2012-01-20,4906966720.0,0.0,inf
2012-01-23,4793414000.0,0.0,inf
2012-01-24,4866013280.0,0.0,inf
2012-01-25,4951643200.0,0.0,inf
2012-01-26,4828782880.0,0.0,inf
2012-01-27,4804583120.0,0.0,inf
2012-01-30,4825059840.0,0.0,inf
