date,close price,ED_SHE,ED_TA,ED_TL,market cap,PB Ratio
,,5026000000.0,10130000000.0,5104000000.0,,
1962-01-02,10.13,5026000000.0,10130000000.0,5104000000.0,,
1962-01-03,10.13,5026000000.0,10130000000.0,5104000000.0,,
1962-01-04,10.09,5026000000.0,10130000000.0,5104000000.0,,
1962-01-05,9.88,5026000000.0,10130000000.0,5104000000.0,,
1962-01-08,9.92,5026000000.0,10130000000.0,5104000000.0,,
1962-01-09,9.91,5026000000.0,10130000000.0,5104000000.0,,
1962-01-10,9.88,5026000000.0,10130000000.0,5104000000.0,,
1962-01-11,9.92,5026000000.0,10130000000.0,5104000000.0,,
1962-01-12,10.0,5026000000.0,10130000000.0,5104000000.0,,
1962-01-15,10.03,5026000000.0,10130000000.0,5104000000.0,,
1962-01-16,9.89,5026000000.0,10130000000.0,5104000000.0,,
1962-01-17,9.88,5026000000.0,10130000000.0,5104000000.0,,
1962-01-18,9.88,5026000000.0,10130000000.0,5104000000.0,,
1962-01-19,9.86,5026000000.0,10130000000.0,5104000000.0,,
1962-01-22,9.84,5026000000.0,10130000000.0,5104000000.0,,
1962-01-23,9.72,5026000000.0,10130000000.0,5104000000.0,,
1962-01-24,9.69,5026000000.0,10130000000.0,5104000000.0,,
1962-01-25,9.53,5026000000.0,10130000000.0,5104000000.0,,
1962-01-26,9.53,5026000000.0,10130000000.0,5104000000.0,,
1962-01-29,9.58,5026000000.0,10130000000.0,5104000000.0,,
1962-01-30,9.63,5026000000.0,10130000000.0,5104000000.0,,
1962-01-31,9.59,5026000000.0,10130000000.0,5104000000.0,,
1962-02-01,9.63,5026000000.0,10130000000.0,5104000000.0,,
1962-02-02,9.63,5026000000.0,10130000000.0,5104000000.0,,
1962-02-05,9.63,5026000000.0,10130000000.0,5104000000.0,,
1962-02-06,9.61,5026000000.0,10130000000.0,5104000000.0,,
1962-02-07,9.66,5026000000.0,10130000000.0,5104000000.0,,
1962-02-08,9.58,5026000000.0,10130000000.0,5104000000.0,,
1962-02-09,9.63,5026000000.0,10130000000.0,5104000000.0,,
1962-02-12,9.63,5026000000.0,10130000000.0,5104000000.0,,
1962-02-13,9.77,5026000000.0,10130000000.0,5104000000.0,,
1962-02-14,9.91,5026000000.0,10130000000.0,5104000000.0,,
1962-02-15,10.03,5026000000.0,10130000000.0,5104000000.0,,
1962-02-16,9.89,5026000000.0,10130000000.0,5104000000.0,,
1962-02-19,9.92,5026000000.0,10130000000.0,5104000000.0,,
1962-02-20,9.97,5026000000.0,10130000000.0,5104000000.0,,
1962-02-21,9.83,5026000000.0,10130000000.0,5104000000.0,,
1962-02-23,9.81,5026000000.0,10130000000.0,5104000000.0,,
1962-02-26,9.78,5026000000.0,10130000000.0,5104000000.0,,
1962-02-27,9.72,5026000000.0,10130000000.0,5104000000.0,,
1962-02-28,9.75,5026000000.0,10130000000.0,5104000000.0,,
1962-03-01,9.81,5026000000.0,10130000000.0,5104000000.0,,
1962-03-02,9.81,5026000000.0,10130000000.0,5104000000.0,,
1962-03-05,9.83,5026000000.0,10130000000.0,5104000000.0,,
1962-03-06,9.75,5026000000.0,10130000000.0,5104000000.0,,
1962-03-07,9.77,5026000000.0,10130000000.0,5104000000.0,,
1962-03-08,9.86,5026000000.0,10130000000.0,5104000000.0,,
1962-03-09,10.06,5026000000.0,10130000000.0,5104000000.0,,
1962-03-12,10.11,5026000000.0,10130000000.0,5104000000.0,,
1962-03-13,10.13,5026000000.0,10130000000.0,5104000000.0,,
1962-03-14,10.09,5026000000.0,10130000000.0,5104000000.0,,
1962-03-15,10.08,5026000000.0,10130000000.0,5104000000.0,,
1962-03-16,10.09,5026000000.0,10130000000.0,5104000000.0,,
1962-03-19,10.13,5026000000.0,10130000000.0,5104000000.0,,
1962-03-20,10.13,5026000000.0,10130000000.0,5104000000.0,,
1962-03-21,10.17,5026000000.0,10130000000.0,5104000000.0,,
1962-03-22,10.14,5026000000.0,10130000000.0,5104000000.0,,
1962-03-23,10.19,5026000000.0,10130000000.0,5104000000.0,,
1962-03-26,10.28,5026000000.0,10130000000.0,5104000000.0,,
1962-03-27,10.31,5026000000.0,10130000000.0,5104000000.0,,
1962-03-28,10.25,5026000000.0,10130000000.0,5104000000.0,,
1962-03-29,10.22,5026000000.0,10130000000.0,5104000000.0,,
1962-03-30,10.13,5026000000.0,10130000000.0,5104000000.0,,
1962-04-02,10.02,5026000000.0,10130000000.0,5104000000.0,,
1962-04-03,10.0,5026000000.0,10130000000.0,5104000000.0,,
1962-04-04,9.94,5026000000.0,10130000000.0,5104000000.0,,
1962-04-05,9.95,5026000000.0,10130000000.0,5104000000.0,,
1962-04-06,10.03,5026000000.0,10130000000.0,5104000000.0,,
1962-04-09,9.88,5026000000.0,10130000000.0,5104000000.0,,
1962-04-10,9.95,5026000000.0,10130000000.0,5104000000.0,,
1962-04-11,9.94,5026000000.0,10130000000.0,5104000000.0,,
1962-04-12,9.94,5026000000.0,10130000000.0,5104000000.0,,
1962-04-13,9.94,5026000000.0,10130000000.0,5104000000.0,,
1962-04-16,9.95,5026000000.0,10130000000.0,5104000000.0,,
1962-04-17,10.02,5026000000.0,10130000000.0,5104000000.0,,
1962-04-18,9.95,5026000000.0,10130000000.0,5104000000.0,,
1962-04-19,9.95,5026000000.0,10130000000.0,5104000000.0,,
1962-04-23,9.95,5026000000.0,10130000000.0,5104000000.0,,
1962-04-24,9.94,5026000000.0,10130000000.0,5104000000.0,,
1962-04-25,9.98,5026000000.0,10130000000.0,5104000000.0,,
1962-04-26,9.88,5026000000.0,10130000000.0,5104000000.0,,
1962-04-27,9.83,5026000000.0,10130000000.0,5104000000.0,,
1962-04-30,9.83,5026000000.0,10130000000.0,5104000000.0,,
1962-05-01,9.69,5026000000.0,10130000000.0,5104000000.0,,
1962-05-02,9.69,5026000000.0,10130000000.0,5104000000.0,,
