date,close price,XRAY_SHE,XRAY_TA,XRAY_TL,market cap,PB Ratio
,,105000000.0,486000000.0,381000000.0,,
1987-08-12,0.67,105000000.0,486000000.0,381000000.0,,
1987-08-13,0.72,105000000.0,486000000.0,381000000.0,,
1987-08-14,0.72,105000000.0,486000000.0,381000000.0,,
1987-08-17,0.73,105000000.0,486000000.0,381000000.0,,
1987-08-18,0.71,105000000.0,486000000.0,381000000.0,,
1987-08-19,0.69,105000000.0,486000000.0,381000000.0,,
1987-08-20,0.69,105000000.0,486000000.0,381000000.0,,
1987-08-21,0.69,105000000.0,486000000.0,381000000.0,,
1987-08-24,0.7,105000000.0,486000000.0,381000000.0,,
1987-08-25,0.7,105000000.0,486000000.0,381000000.0,,
1987-08-26,0.7,105000000.0,486000000.0,381000000.0,,
1987-08-27,0.7,105000000.0,486000000.0,381000000.0,,
1987-08-28,0.7,105000000.0,486000000.0,381000000.0,,
1987-08-31,0.7,105000000.0,486000000.0,381000000.0,,
1987-09-01,0.7,105000000.0,486000000.0,381000000.0,,
1987-09-02,0.7,105000000.0,486000000.0,381000000.0,,
1987-09-03,0.7,105000000.0,486000000.0,381000000.0,,
1987-09-04,0.7,105000000.0,486000000.0,381000000.0,,
1987-09-08,0.66,105000000.0,486000000.0,381000000.0,,
1987-09-09,0.66,105000000.0,486000000.0,381000000.0,,
1987-09-10,0.66,105000000.0,486000000.0,381000000.0,,
1987-09-11,0.66,105000000.0,486000000.0,381000000.0,,
1987-09-14,0.66,105000000.0,486000000.0,381000000.0,,
1987-09-15,0.67,105000000.0,486000000.0,381000000.0,,
1987-09-16,0.67,105000000.0,486000000.0,381000000.0,,
1987-09-17,0.67,105000000.0,486000000.0,381000000.0,,
1987-09-18,0.67,105000000.0,486000000.0,381000000.0,,
1987-09-21,0.67,105000000.0,486000000.0,381000000.0,,
1987-09-22,0.66,105000000.0,486000000.0,381000000.0,,
1987-09-23,0.65,105000000.0,486000000.0,381000000.0,,
1987-09-24,0.66,105000000.0,486000000.0,381000000.0,,
1987-09-25,0.66,105000000.0,486000000.0,381000000.0,,
1987-09-28,0.66,105000000.0,486000000.0,381000000.0,,
1987-09-29,0.66,105000000.0,486000000.0,381000000.0,,
1987-09-30,0.66,105000000.0,486000000.0,381000000.0,,
1987-10-01,0.67,105000000.0,486000000.0,381000000.0,,
1987-10-02,0.67,105000000.0,486000000.0,381000000.0,,
1987-10-05,0.67,105000000.0,486000000.0,381000000.0,,
1987-10-06,0.7,105000000.0,486000000.0,381000000.0,,
1987-10-07,0.68,105000000.0,486000000.0,381000000.0,,
1987-10-08,0.68,105000000.0,486000000.0,381000000.0,,
1987-10-09,0.7,105000000.0,486000000.0,381000000.0,,
1987-10-12,0.71,105000000.0,486000000.0,381000000.0,,
1987-10-13,0.75,105000000.0,486000000.0,381000000.0,,
1987-10-14,0.71,105000000.0,486000000.0,381000000.0,,
