date,close price,CL_SHE,CL_TA,CL_TL,market cap,PB Ratio
,,1190000000.0,3525000000.0,2334000000.0,,
1973-05-02,2.0,1190000000.0,3525000000.0,2334000000.0,,
1973-05-03,2.01,1190000000.0,3525000000.0,2334000000.0,,
1973-05-04,2.0,1190000000.0,3525000000.0,2334000000.0,,
1973-05-07,1.99,1190000000.0,3525000000.0,2334000000.0,,
1973-05-08,1.99,1190000000.0,3525000000.0,2334000000.0,,
1973-05-09,1.98,1190000000.0,3525000000.0,2334000000.0,,
1973-05-10,1.98,1190000000.0,3525000000.0,2334000000.0,,
1973-05-11,1.98,1190000000.0,3525000000.0,2334000000.0,,
1973-05-14,1.95,1190000000.0,3525000000.0,2334000000.0,,
1973-05-15,1.96,1190000000.0,3525000000.0,2334000000.0,,
1973-05-16,1.96,1190000000.0,3525000000.0,2334000000.0,,
1973-05-17,1.94,1190000000.0,3525000000.0,2334000000.0,,
1973-05-18,1.91,1190000000.0,3525000000.0,2334000000.0,,
1973-05-21,1.88,1190000000.0,3525000000.0,2334000000.0,,
1973-05-22,1.89,1190000000.0,3525000000.0,2334000000.0,,
1973-05-23,1.88,1190000000.0,3525000000.0,2334000000.0,,
1973-05-24,1.83,1190000000.0,3525000000.0,2334000000.0,,
1973-05-25,1.84,1190000000.0,3525000000.0,2334000000.0,,
1973-05-29,1.84,1190000000.0,3525000000.0,2334000000.0,,
1973-05-30,1.82,1190000000.0,3525000000.0,2334000000.0,,
1973-05-31,1.79,1190000000.0,3525000000.0,2334000000.0,,
1973-06-01,1.74,1190000000.0,3525000000.0,2334000000.0,,
1973-06-04,1.66,1190000000.0,3525000000.0,2334000000.0,,
1973-06-05,1.62,1190000000.0,3525000000.0,2334000000.0,,
1973-06-06,1.54,1190000000.0,3525000000.0,2334000000.0,,
1973-06-07,1.6,1190000000.0,3525000000.0,2334000000.0,,
1973-06-08,1.72,1190000000.0,3525000000.0,2334000000.0,,
1973-06-11,1.73,1190000000.0,3525000000.0,2334000000.0,,
1973-06-12,1.8,1190000000.0,3525000000.0,2334000000.0,,
1973-06-13,1.77,1190000000.0,3525000000.0,2334000000.0,,
1973-06-14,1.73,1190000000.0,3525000000.0,2334000000.0,,
1973-06-15,1.63,1190000000.0,3525000000.0,2334000000.0,,
1973-06-18,1.64,1190000000.0,3525000000.0,2334000000.0,,
1973-06-19,1.73,1190000000.0,3525000000.0,2334000000.0,,
1973-06-20,1.79,1190000000.0,3525000000.0,2334000000.0,,
1973-06-21,1.76,1190000000.0,3525000000.0,2334000000.0,,
1973-06-22,1.76,1190000000.0,3525000000.0,2334000000.0,,
1973-06-25,1.66,1190000000.0,3525000000.0,2334000000.0,,
1973-06-26,1.69,1190000000.0,3525000000.0,2334000000.0,,
1973-06-27,1.7,1190000000.0,3525000000.0,2334000000.0,,
1973-06-28,1.73,1190000000.0,3525000000.0,2334000000.0,,
1973-06-29,1.75,1190000000.0,3525000000.0,2334000000.0,,
1973-07-02,1.7,1190000000.0,3525000000.0,2334000000.0,,
1973-07-03,1.66,1190000000.0,3525000000.0,2334000000.0,,
1973-07-05,1.69,1190000000.0,3525000000.0,2334000000.0,,
1973-07-06,1.69,1190000000.0,3525000000.0,2334000000.0,,
1973-07-09,1.73,1190000000.0,3525000000.0,2334000000.0,,
1973-07-10,1.73,1190000000.0,3525000000.0,2334000000.0,,
1973-07-11,1.85,1190000000.0,3525000000.0,2334000000.0,,
1973-07-12,1.96,1190000000.0,3525000000.0,2334000000.0,,
1973-07-13,1.91,1190000000.0,3525000000.0,2334000000.0,,
1973-07-16,1.98,1190000000.0,3525000000.0,2334000000.0,,
1973-07-17,2.01,1190000000.0,3525000000.0,2334000000.0,,
1973-07-18,2.02,1190000000.0,3525000000.0,2334000000.0,,
1973-07-19,2.0,1190000000.0,3525000000.0,2334000000.0,,
1973-07-20,2.05,1190000000.0,3525000000.0,2334000000.0,,
