date,close price,HCA_SHE,HCA_TA,HCA_TL,market cap,PB Ratio
,,39000000.0,228000000.0,189000000.0,,
1994-05-16,,3514000000.0,10352000000.0,6838000000.0,,
1994-08-12,,3724000000.0,10398000000.0,6674000000.0,,
1994-11-14,,4848000000.0,11839000000.0,6991000000.0,,
1995-05-15,,5328000000.0,13344000000.0,8016000000.0,,
1995-08-14,,6448000000.0,17454000000.0,11006000000.0,,
1995-11-13,,6766000000.0,18206000000.0,11440000000.0,,
1996-05-10,,7579000000.0,20189000000.0,12610000000.0,,
1996-08-09,,7900000000.0,20601000000.0,12701000000.0,,
1996-11-12,,8215000000.0,20657000000.0,12442000000.0,,
2000-05-11,,5690000000.0,16730000000.0,11040000000.0,,
2000-08-07,,5379000000.0,17692000000.0,12313000000.0,,
2000-11-08,,5406000000.0,17507000000.0,12101000000.0,,
2001-05-11,,4499000000.0,17543000000.0,13044000000.0,,
2001-08-14,,4861000000.0,17880000000.0,13019000000.0,,
2001-11-14,,4915000000.0,17497000000.0,12582000000.0,,
2002-05-10,,5226000000.0,17955000000.0,12729000000.0,,
2002-08-14,,5755000000.0,18262000000.0,12507000000.0,,
2002-11-14,,5737000000.0,18527000000.0,12790000000.0,,
2003-03-28,,5702000000.0,18741000000.0,13039000000.0,,
2003-05-13,,6041000000.0,19885000000.0,13844000000.0,,
2003-08-11,,5980000000.0,20470000000.0,14490000000.0,,
2003-11-13,,6116000000.0,20646000000.0,14530000000.0,,
2004-03-12,,6209000000.0,21063000000.0,14854000000.0,,
2004-05-06,,6210000000.0,21211000000.0,15001000000.0,,
2004-08-06,,6343000000.0,21179000000.0,14836000000.0,,
2004-11-09,,6519000000.0,21332000000.0,14813000000.0,,
2005-03-11,,4407000000.0,21840000000.0,17433000000.0,,
2005-05-06,,5331000000.0,21689000000.0,16358000000.0,,
2005-08-04,,6117000000.0,21718000000.0,15601000000.0,,
2005-11-08,,6359000000.0,22319000000.0,15960000000.0,,
2006-03-14,,4863000000.0,22225000000.0,17362000000.0,,
2006-05-10,,4555000000.0,22415000000.0,17860000000.0,,
2006-08-04,,4826000000.0,23120000000.0,18294000000.0,,
2006-10-31,,5126000000.0,23125000000.0,17999000000.0,,
2007-03-27,,-11374000000.0,23675000000.0,35049000000.0,,
2007-05-15,,-11116000000.0,23643000000.0,34759000000.0,,
2007-08-14,,-10905000000.0,23704000000.0,34609000000.0,,
2007-11-08,,-10722000000.0,23777000000.0,34499000000.0,,
2008-03-28,,-10538000000.0,24025000000.0,34563000000.0,,
2008-05-12,,-10526000000.0,24492000000.0,35018000000.0,,
2008-08-13,,-10185000000.0,24070000000.0,34255000000.0,,
2008-11-13,,-10144000000.0,23793000000.0,33937000000.0,,
2009-03-04,,-10255000000.0,24280000000.0,34535000000.0,,
2009-05-14,,-9888000000.0,24284000000.0,34172000000.0,,
2009-08-14,,-9486000000.0,24241000000.0,33727000000.0,,
2009-11-12,,-9279000000.0,24120000000.0,33399000000.0,,
2010-03-01,,-8986000000.0,24131000000.0,33117000000.0,,
2010-05-07,,-10313000000.0,24091000000.0,34404000000.0,,
2010-08-11,,-10525000000.0,23420000000.0,33945000000.0,,
2010-11-09,,-10259000000.0,23253000000.0,33512000000.0,,
2011-02-17,,-11926000000.0,23852000000.0,35778000000.0,,
2011-03-10,31.02,-11926000000.0,23852000000.0,35778000000.0,14331240000.0,-1.2016803622337748
2011-03-11,31.12,-11926000000.0,23852000000.0,35778000000.0,14377440000.0,-1.205554251215831
2011-03-14,30.91,-11926000000.0,23852000000.0,35778000000.0,14280420000.0,-1.1974190843535133
2011-03-15,31.34,-11926000000.0,23852000000.0,35778000000.0,14479080000.0,-1.2140768069763541
