date,close price,KHC_SHE,KHC_TA,KHC_TL,market cap,PB Ratio
,,15130000000.0,36293000000.0,21163000000.0,,
2015-07-06,72.96,15130000000.0,36293000000.0,21163000000.0,46183679999.99999,3.0524573694646393
2015-07-07,74.63,15130000000.0,36293000000.0,21163000000.0,47240790000.0,3.1223258426966294
2015-07-08,75.4,15130000000.0,36293000000.0,21163000000.0,47728200000.0,3.154540647719762
2015-07-09,74.8,15130000000.0,36293000000.0,21163000000.0,47348400000.0,3.129438202247191
2015-07-10,77.31,15130000000.0,36293000000.0,21163000000.0,48937230000.0,3.23445009914078
2015-07-13,78.83,15130000000.0,36293000000.0,21163000000.0,49899390000.0,3.2980429610046267
2015-07-14,78.0,15130000000.0,36293000000.0,21163000000.0,49374000000.0,3.2633179114342368
2015-07-15,76.71,15130000000.0,36293000000.0,21163000000.0,48557429999.99999,3.209347653668208
2015-07-16,78.75,15130000000.0,36293000000.0,21163000000.0,49848750000.0,3.2946959682749504
2015-07-17,79.63,15130000000.0,36293000000.0,21163000000.0,50405790000.0,3.331512888301388
2015-07-20,80.11,15130000000.0,36293000000.0,21163000000.0,50709630000.0,3.351594844679445
2015-07-21,80.22,15130000000.0,36293000000.0,21163000000.0,50779260000.0,3.3561969596827494
2015-07-22,78.64,15130000000.0,36293000000.0,21163000000.0,49779120000.0,3.290093853271646
2015-07-23,76.74,15130000000.0,36293000000.0,21163000000.0,48576420000.0,3.2106027759418376
2015-07-24,76.41,15130000000.0,36293000000.0,21163000000.0,48367530000.0,3.1967964309319234
2015-07-27,77.38,15130000000.0,36293000000.0,21163000000.0,48981540000.0,3.2373787177792464
2015-07-28,78.32,15130000000.0,36293000000.0,21163000000.0,49576559999.99999,3.2767058823529407
2015-07-29,77.91,15130000000.0,36293000000.0,21163000000.0,49317030000.0,3.259552544613351
2015-07-30,79.21,15130000000.0,36293000000.0,21163000000.0,50139929999.99999,3.3139411764705877
2015-07-31,79.47,15130000000.0,36293000000.0,21163000000.0,50304510000.0,3.324818902842036
2015-08-03,80.37,15130000000.0,36293000000.0,21163000000.0,50874210000.0,3.3624725710508923
2015-08-04,79.81,15130000000.0,36293000000.0,21163000000.0,50519730000.0,3.3390436219431594
2015-08-05,80.48,15130000000.0,36293000000.0,21163000000.0,50943840000.0,3.367074686054197
2015-08-06,79.76,15130000000.0,36293000000.0,21163000000.0,50488080000.0,3.3369517514871117
2015-08-07,78.46,15130000000.0,36293000000.0,21163000000.0,49665179999.99999,3.282563119629874
2015-08-10,78.81,15059000000.0,36062000000.0,21003000000.0,49886730000.0,3.3127518427518425
2015-08-11,77.97,15059000000.0,36062000000.0,21003000000.0,49355010000.0,3.277442725280563
2015-08-12,76.69,15059000000.0,36062000000.0,21003000000.0,48544770000.0,3.223638355800518
2015-08-13,75.99,15059000000.0,36062000000.0,21003000000.0,48101670000.0,3.1942140912411183
2015-08-14,76.42,15059000000.0,36062000000.0,21003000000.0,48373860000.0,3.212288996613321
