date,close price,WEC_SHE,WEC_TA,WEC_TL,market cap,PB Ratio
,,10492700000.0,35042000000.0,24549300000.0,,
1980-03-17,2.21,10492700000.0,35042000000.0,24549300000.0,,
1980-03-18,2.24,10492700000.0,35042000000.0,24549300000.0,,
1980-03-19,2.28,10492700000.0,35042000000.0,24549300000.0,,
1980-03-20,2.33,10492700000.0,35042000000.0,24549300000.0,,
1980-03-21,2.36,10492700000.0,35042000000.0,24549300000.0,,
1980-03-24,2.28,10492700000.0,35042000000.0,24549300000.0,,
1980-03-25,2.25,10492700000.0,35042000000.0,24549300000.0,,
1980-03-26,2.28,10492700000.0,35042000000.0,24549300000.0,,
1980-03-27,2.26,10492700000.0,35042000000.0,24549300000.0,,
1980-03-28,2.25,10492700000.0,35042000000.0,24549300000.0,,
1980-03-31,2.26,10492700000.0,35042000000.0,24549300000.0,,
1980-04-01,2.33,10492700000.0,35042000000.0,24549300000.0,,
1980-04-02,2.43,10492700000.0,35042000000.0,24549300000.0,,
1980-04-03,2.54,10492700000.0,35042000000.0,24549300000.0,,
1980-04-07,2.53,10492700000.0,35042000000.0,24549300000.0,,
1980-04-08,2.54,10492700000.0,35042000000.0,24549300000.0,,
1980-04-09,2.61,10492700000.0,35042000000.0,24549300000.0,,
1980-04-10,2.68,10492700000.0,35042000000.0,24549300000.0,,
1980-04-11,2.67,10492700000.0,35042000000.0,24549300000.0,,
1980-04-14,2.67,10492700000.0,35042000000.0,24549300000.0,,
1980-04-15,2.58,10492700000.0,35042000000.0,24549300000.0,,
1980-04-16,2.72,10492700000.0,35042000000.0,24549300000.0,,
1980-04-17,2.72,10492700000.0,35042000000.0,24549300000.0,,
1980-04-18,2.71,10492700000.0,35042000000.0,24549300000.0,,
1980-04-21,2.67,10492700000.0,35042000000.0,24549300000.0,,
1980-04-22,2.68,10492700000.0,35042000000.0,24549300000.0,,
1980-04-23,2.69,10492700000.0,35042000000.0,24549300000.0,,
1980-04-24,2.67,10492700000.0,35042000000.0,24549300000.0,,
1980-04-25,2.68,10492700000.0,35042000000.0,24549300000.0,,
1980-04-28,2.69,10492700000.0,35042000000.0,24549300000.0,,
1980-04-29,2.71,10492700000.0,35042000000.0,24549300000.0,,
1980-04-30,2.72,10492700000.0,35042000000.0,24549300000.0,,
1980-05-01,2.72,10492700000.0,35042000000.0,24549300000.0,,
1980-05-02,2.64,10492700000.0,35042000000.0,24549300000.0,,
1980-05-05,2.65,10492700000.0,35042000000.0,24549300000.0,,
1980-05-06,2.71,10492700000.0,35042000000.0,24549300000.0,,
1980-05-07,2.76,10492700000.0,35042000000.0,24549300000.0,,
1980-05-08,2.71,10492700000.0,35042000000.0,24549300000.0,,
1980-05-09,2.71,10492700000.0,35042000000.0,24549300000.0,,
1980-05-12,2.69,10492700000.0,35042000000.0,24549300000.0,,
1980-05-13,2.65,10492700000.0,35042000000.0,24549300000.0,,
1980-05-14,2.67,10492700000.0,35042000000.0,24549300000.0,,
1980-05-15,2.67,10492700000.0,35042000000.0,24549300000.0,,
1980-05-16,2.65,10492700000.0,35042000000.0,24549300000.0,,
1980-05-19,2.65,10492700000.0,35042000000.0,24549300000.0,,
1980-05-20,2.69,10492700000.0,35042000000.0,24549300000.0,,
1980-05-21,2.68,10492700000.0,35042000000.0,24549300000.0,,
1980-05-22,2.69,10492700000.0,35042000000.0,24549300000.0,,
1980-05-23,2.72,10492700000.0,35042000000.0,24549300000.0,,
1980-05-27,2.71,10492700000.0,35042000000.0,24549300000.0,,
1980-05-28,2.72,10492700000.0,35042000000.0,24549300000.0,,
1980-05-29,2.75,10492700000.0,35042000000.0,24549300000.0,,
1980-05-30,2.78,10492700000.0,35042000000.0,24549300000.0,,
1980-06-02,2.76,10492700000.0,35042000000.0,24549300000.0,,
1980-06-03,2.75,10492700000.0,35042000000.0,24549300000.0,,
1980-06-04,2.76,10492700000.0,35042000000.0,24549300000.0,,
