date,AVGO,AVGO_SHE,PB Ratio
2018-05-07,102175010000.0,,
2018-05-08,103422050000.0,,
2018-05-09,103075650000.0,,
2018-05-10,105439830000.0,,
2018-05-11,105383540000.0,,
2018-05-14,105981080000.0,,
2018-05-15,104604140000.0,,
2018-05-16,104140830000.0,,
2018-05-17,103681850000.0,,
2018-05-18,102183670000.0,,
2018-05-21,103508650000.0,,
2018-05-22,103266170000.0,,
2018-05-23,104162480000.0,,
2018-05-24,105448490000.0,,
2018-05-25,108262990000.0,,
2018-05-29,108115770000.0,,
2018-05-30,107990200000.0,,
2018-05-31,109146310000.0,,
2018-06-01,110995219999.99998,,
2018-06-04,111874210000.0,,
2018-06-05,112259580000.0,,
2018-06-06,114104159999.99998,,
2018-06-07,114606440000.0,,
2018-06-08,111701010000.00002,,
2018-06-11,112939390000.0,,
2018-06-12,113199190000.0,,
2018-06-13,114130140000.0,,
2018-06-14,116243179999.99998,32067000000.0,3.6250095113356404
2018-06-15,117009590000.00002,32067000000.0,3.6489097826425927
2018-06-18,114528500000.0,32067000000.0,3.5715377179031402
2018-06-19,112991350000.0,32067000000.0,3.523602145507843
2018-06-20,113108260000.00002,32067000000.0,3.527247949605514
2018-06-21,112428449999.99998,32067000000.0,3.506048273926466
2018-06-22,112454429999.99998,32067000000.0,3.5068584526148374
2018-06-25,109297860000.0,32067000000.0,3.408421741977734
2018-06-26,108916820000.0,32067000000.0,3.396539121214956
2018-06-27,106998630000.0,32067000000.0,3.336720928056881
2018-06-28,106041700000.0,32067000000.0,3.306879346368541
2018-06-29,105063120000.0,32067000000.0,3.2763626157732246
2018-07-02,104807650000.0,32067000000.0,3.2683958586709076
2018-07-03,103612570000.0,32067000000.0,3.2311276390058317
2018-07-05,106258200000.0,32067000000.0,3.313630835438301
2018-07-06,107245440000.0,32067000000.0,3.3444176255964075
2018-07-09,107137190000.0,32067000000.0,3.3410418810615274
2018-07-10,108492480000.0,32067000000.0,3.3833062026382263
