date,BKR,BKR_SHE,PB Ratio
2017-03-31,5982.0,,
2017-04-03,5969.0,,
2017-04-04,6015.0,,
2017-04-05,6036.0,,
2017-04-06,6094.0,,
2017-04-07,6128.0,,
2017-04-10,6171.0,,
2017-04-11,6087.0,,
2017-04-12,6034.0,,
2017-04-13,5946.0,,
2017-04-17,5962.0,,
2017-04-18,6001.0,,
2017-04-19,5947.0,,
2017-04-20,5950.0,,
2017-04-21,5768.0,,
2017-04-24,5865.0,,
2017-04-25,5929.0,,
2017-04-26,5946.0,,
2017-04-27,5965.0,,
2017-04-28,5937.0,,
2017-05-01,5971.0,,
2017-05-02,5957.0,,
2017-05-03,5905.0,,
2017-05-04,5741.0,,
2017-05-05,5933.0,,
2017-05-08,5948.0,,
2017-05-09,5860.0,,
2017-05-10,6007.0,,
2017-05-11,5933.0,,
2017-05-12,5826.0,,
2017-05-15,5801.0,,
2017-05-16,5750.0,,
2017-05-17,5743.0,,
2017-05-18,5713.0,,
2017-05-19,5822.0,,
2017-05-22,5800.0,,
2017-05-23,5767.0,,
2017-05-24,5693.0,,
2017-05-25,5484.0,,
2017-05-26,5545.0,,
2017-05-30,5507.0,,
2017-05-31,5515.0,,
2017-06-01,5553.0,,
2017-06-02,5495.0,,
2017-06-05,5473.0,,
2017-06-06,5560.0,,
2017-06-07,5428.0,,
2017-06-08,5434.0,,
2017-06-09,5553.0,,
2017-06-12,5616.0,,
2017-06-13,5707.0,,
2017-06-14,5611.0,,
2017-06-15,5632.0,,
2017-06-16,5729.0,,
2017-06-19,5655.0,,
2017-06-20,5547.0,,
2017-06-21,5485.0,,
2017-06-22,5452.0,,
2017-06-23,5399.0,,
2017-06-26,5370.0,,
2017-06-27,5337.0,,
2017-06-28,5350.0,,
2017-06-29,5352.0,,
2017-06-30,5451.0,,
2017-07-03,24687040000.0,,
2017-07-05,15943000000.0,,
2017-07-06,15840280000.0,,
2017-07-07,16225479999.999998,,
2017-07-10,15934439999.999998,,
2017-07-11,15985800000.0,,
2017-07-12,15994359999.999998,,
2017-07-13,15767520000.000002,,
2017-07-14,15985800000.0,,
2017-07-17,16109920000.0,,
2017-07-18,15729000000.0,,
2017-07-19,15639120000.0,,
2017-07-20,14967160000.0,,
2017-07-21,14603359999.999998,,
2017-07-24,14706080000.0,,
2017-07-25,15087000000.0,,
2017-07-26,15429399999.999998,,
2017-07-27,15476479999.999998,,
2017-07-28,15878800000.0,0.0,inf
2017-07-31,15788920000.0,0.0,inf
2017-08-01,15279600000.000002,0.0,inf
2017-08-02,15129800000.0,0.0,inf
2017-08-03,15112680000.000002,0.0,inf
2017-08-04,15078439999.999998,0.0,inf
2017-08-07,14791680000.000002,0.0,inf
2017-08-08,14954319999.999998,0.0,inf
2017-08-09,14988560000.000002,0.0,inf
2017-08-10,14851600000.000002,0.0,inf
2017-08-11,14676120000.0,0.0,inf
2017-08-14,14663280000.0,0.0,inf
2017-08-15,14684680000.000002,0.0,inf
2017-08-16,14479240000.0,0.0,inf
2017-08-17,14038399999.999998,0.0,inf
2017-08-18,14025560000.000002,0.0,inf
2017-08-21,13927120000.0,0.0,inf
2017-08-22,13991319999.999998,0.0,inf
2017-08-23,14141120000.0,0.0,inf
2017-08-24,14046960000.0,0.0,inf
2017-08-25,14235280000.0,0.0,inf
2017-08-28,14231000000.0,0.0,inf
2017-08-29,14445000000.0,0.0,inf
2017-08-30,14342280000.0,0.0,inf
2017-08-31,14509200000.0,0.0,inf
2017-09-01,14680399999.999998,0.0,inf
2017-09-05,14967160000.0,0.0,inf
2017-09-06,14868720000.0,0.0,inf
2017-09-07,14873000000.0,0.0,inf
2017-09-08,14731760000.0,0.0,inf
2017-09-11,15185439999.999998,0.0,inf
2017-09-12,15390880000.0,0.0,inf
2017-09-13,15446520000.000002,0.0,inf
2017-09-14,15570640000.000002,0.0,inf
2017-09-15,15793200000.0,0.0,inf
2017-09-18,15990080000.0,0.0,inf
2017-09-19,16002920000.0,0.0,inf
2017-09-20,16050000000.0,0.0,inf
2017-09-21,15656240000.0,0.0,inf
2017-09-22,15694760000.0,0.0,inf
2017-09-25,16058560000.000002,0.0,inf
2017-09-26,15853120000.0,0.0,inf
2017-09-27,15806040000.0,0.0,inf
2017-09-28,15848840000.0,0.0,inf
2017-09-29,15673359999.999998,0.0,inf
2017-10-02,15739220000.0,0.0,inf
2017-10-03,15658090000.0,0.0,inf
2017-10-04,15675170000.0,0.0,inf
2017-10-05,15576959999.999998,0.0,inf
2017-10-06,15598310000.0,0.0,inf
2017-10-09,15303680000.000002,0.0,inf
2017-10-10,14932190000.0,0.0,inf
2017-10-11,14684530000.0,0.0,inf
2017-10-12,14483840000.0,0.0,inf
2017-10-13,14402709999.999998,0.0,inf
2017-10-16,14389900000.000002,0.0,inf
2017-10-17,14428330000.0,0.0,inf
2017-10-18,14432599999.999998,0.0,inf
2017-10-19,14155050000.0,0.0,inf
2017-10-20,14202020000.0,0.0,inf
2017-10-23,13437690000.0,0.0,inf
2017-10-24,13104630000.0,0.0,inf
2017-10-25,12839890000.0,0.0,inf
2017-10-26,12784380000.0,0.0,inf
2017-10-27,13365100000.0,0.0,inf
2017-10-30,13450500000.0,0.0,inf
2017-10-31,13420610000.0,14985000000.0,0.895602936269603
2017-11-01,13599950000.0,14985000000.0,0.9075709042375709
2017-11-02,13356560000.0,14985000000.0,0.8913286619953287
2017-11-03,13313860000.0,14985000000.0,0.8884791458124791
2017-11-06,14483840000.0,14985000000.0,0.9665558892225559
2017-11-07,14261800000.0,14985000000.0,0.9517384050717385
2017-11-08,14022680000.000002,14985000000.0,0.9357811144477812
2017-11-09,13979980000.0,14985000000.0,0.9329315982649315
2017-11-10,14069650000.000002,14985000000.0,0.9389155822489157
2017-11-13,13612760000.0,14985000000.0,0.9084257590924257
2017-11-14,13027770000.0,14985000000.0,0.8693873873873874
2017-11-15,13066200000.0,14985000000.0,0.871951951951952
2017-11-16,12874050000.0,14985000000.0,0.8591291291291291
2017-11-17,13198570000.0,14985000000.0,0.8807854521187855
2017-11-20,12997880000.0,14985000000.0,0.8673927260593928
2017-11-21,13091820000.0,14985000000.0,0.8736616616616617
2017-11-22,13113170000.0,14985000000.0,0.8750864197530864
2017-11-24,13151600000.0,14985000000.0,0.877650984317651
2017-11-27,12942370000.0,14985000000.0,0.8636883550216884
2017-11-28,12844160000.0,14985000000.0,0.8571344678011344
2017-11-29,12801460000.0,14985000000.0,0.854284951618285
2017-11-30,12694710000.0,14985000000.0,0.8471611611611611
2017-12-01,13108900000.0,14985000000.0,0.8748014681348014
2017-12-04,13540170000.0,14985000000.0,0.9035815815815815
2017-12-05,13155870000.0,14985000000.0,0.8779359359359359
2017-12-06,13027770000.0,14985000000.0,0.8693873873873874
2017-12-07,12967990000.0,14985000000.0,0.865398064731398
2017-12-08,12921020000.0,14985000000.0,0.8622635969302636
2017-12-11,13061930000.0,14985000000.0,0.871667000333667
2017-12-12,13215650000.0,14985000000.0,0.8819252585919253
2017-12-13,12950910000.0,14985000000.0,0.8642582582582583
2017-12-14,13061930000.0,14985000000.0,0.871667000333667
2017-12-15,12921020000.0,14985000000.0,0.8622635969302636
2017-12-18,13249810000.0,14985000000.0,0.8842048715382048
2017-12-19,13591410000.0,14985000000.0,0.907001001001001
2017-12-20,13979980000.0,14985000000.0,0.9329315982649315
2017-12-21,13792099999.999998,14985000000.0,0.9203937270603936
2017-12-22,13762209999.999998,14985000000.0,0.9183990657323989
2017-12-26,13689620000.000002,14985000000.0,0.9135548882215551
2017-12-27,13676810000.0,14985000000.0,0.9127000333667
2017-12-28,13407800000.0,14985000000.0,0.894748081414748
2017-12-29,13510280000.0,14985000000.0,0.9015869202535869
2018-01-02,13504369999.999998,14985000000.0,0.9011925258591924
2018-01-03,14049070000.0,14985000000.0,0.9375422088755422
2018-01-04,14509970000.000002,14985000000.0,0.9682996329662997
2018-01-05,14430360000.0,14985000000.0,0.962986986986987
2018-01-08,14459690000.0,14985000000.0,0.9649442776109443
2018-01-09,14677570000.0,14985000000.0,0.9794841508174842
2018-01-10,14861930000.0,14985000000.0,0.9917871204537871
2018-01-11,15293500000.0,14985000000.0,1.0205872539205874
2018-01-12,15586800000.000002,14985000000.0,1.0401601601601602
2018-01-16,15201320000.0,14985000000.0,1.0144357691024357
2018-01-17,15205510000.0,14985000000.0,1.0147153820487154
2018-01-18,14556060000.0,14985000000.0,0.9713753753753753
2018-01-19,14556060000.0,14985000000.0,0.9713753753753753
2018-01-22,14895449999.999998,14985000000.0,0.9940240240240239
2018-01-23,15008580000.0,14985000000.0,1.0015735735735736
2018-01-24,14153820000.0,14985000000.0,0.9445325325325326
2018-01-25,13537890000.0,14985000000.0,0.9034294294294294
2018-01-26,13718060000.0,14985000000.0,0.9154527861194528
2018-01-29,13156600000.0,14985000000.0,0.8779846513179846
2018-01-30,13349340000.0,14985000000.0,0.8908468468468469
2018-01-31,13470850000.0,14985000000.0,0.8989556222889556
2018-02-01,13596550000.000002,14985000000.0,0.9073440106773442
2018-02-02,13009950000.0,14985000000.0,0.8681981981981982
2018-02-05,12310220000.0,14985000000.0,0.8215028361695028
2018-02-06,12243180000.0,14985000000.0,0.8170290290290291
2018-02-07,12071390000.0,14985000000.0,0.8055648982315649
2018-02-08,11522500000.0,14985000000.0,0.7689356022689356
2018-02-09,11103500000.0,14985000000.0,0.7409743076409743
2018-02-12,11250150000.0,14985000000.0,0.7507607607607608
2018-02-13,10868860000.0,14985000000.0,0.725315982649316
2018-02-14,11069980000.0,14985000000.0,0.7387374040707374
2018-02-15,10952660000.0,14985000000.0,0.7309082415749082
2018-02-16,11116070000.0,14985000000.0,0.7418131464798131
2018-02-20,11078360000.0,14985000000.0,0.7392966299632966
2018-02-21,11212440000.0,14985000000.0,0.7482442442442443
2018-02-22,11748760000.0,14985000000.0,0.7840347013680347
2018-02-23,11744570000.0,14709000000.0,0.7984614861649331
2018-02-26,11576970000.0,14709000000.0,0.7870671017744238
2018-02-27,11313000000.0,14709000000.0,0.7691209463593718
2018-02-28,11061600000.0,14709000000.0,0.752029369773608
2018-03-01,11367470000.0,14709000000.0,0.7728241212862873
2018-03-02,11501550000.0,14709000000.0,0.7819396287986947
2018-03-05,11740380000.0,14709000000.0,0.7981766265551703
2018-03-06,11962450000.0,14709000000.0,0.813274185872595
2018-03-07,12117480000.0,14709000000.0,0.8238139914338161
2018-03-08,12280890000.0,14709000000.0,0.8349235162145625
2018-03-09,12670560000.0,14709000000.0,0.8614154599224965
2018-03-12,12901010000.0,14709000000.0,0.8770827384594466
2018-03-13,12716650000.0,14709000000.0,0.8645489156298864
2018-03-14,12821400000.0,14709000000.0,0.8716704058739547
2018-03-15,12523910000.0,14709000000.0,0.8514453735808009
2018-03-16,12955480000.0,14709000000.0,0.8807859133863621
2018-03-19,12808830000.0,14709000000.0,0.8708158270446665
2018-03-20,12507150000.0,14709000000.0,0.8503059351417499
2018-03-21,12972240000.0,14709000000.0,0.881925351825413
2018-03-22,12477820000.0,14709000000.0,0.8483119178734109
2018-03-23,12234800000.0,14709000000.0,0.8317900605071725
2018-03-26,12532290000.0,14709000000.0,0.8520150928003263
2018-03-27,12234800000.0,14709000000.0,0.8317900605071725
2018-03-28,11761330000.0,14709000000.0,0.7996009246039839
2018-03-29,11635630000.0,14709000000.0,0.791055136311102
2018-04-02,11635630000.0,14709000000.0,0.791055136311102
2018-04-03,12117480000.0,14709000000.0,0.8238139914338161
2018-04-04,12553240000.0,14709000000.0,0.85343939084914
2018-04-05,12448490000.0,14709000000.0,0.8463179006050717
2018-04-06,12394020000.0,14709000000.0,0.8426147256781562
2018-04-09,12318600000.0,14709000000.0,0.8374872527024271
2018-04-10,12942910000.0,14709000000.0,0.879931334557074
2018-04-11,13081180000.0,14709000000.0,0.889331701679244
2018-04-12,13462470000.000002,14709000000.0,0.9152539261676526
2018-04-13,13646830000.0,14709000000.0,0.9277877489972126
