date,close price,AEP_SHE,AEP_TA,AEP_TL,market cap,PB Ratio
,,5095000000.0,14746000000.0,9651000000.0,,
1989-09-19,30.25,5095000000.0,14746000000.0,9651000000.0,,
1989-09-20,30.13,5095000000.0,14746000000.0,9651000000.0,,
1989-09-21,30.0,5095000000.0,14746000000.0,9651000000.0,,
1989-09-22,30.13,5095000000.0,14746000000.0,9651000000.0,,
1989-09-25,29.75,5095000000.0,14746000000.0,9651000000.0,,
1989-09-26,29.75,5095000000.0,14746000000.0,9651000000.0,,
1989-09-27,29.88,5095000000.0,14746000000.0,9651000000.0,,
1989-09-28,30.13,5095000000.0,14746000000.0,9651000000.0,,
1989-09-29,30.0,5095000000.0,14746000000.0,9651000000.0,,
1989-10-02,30.13,5095000000.0,14746000000.0,9651000000.0,,
1989-10-03,30.25,5095000000.0,14746000000.0,9651000000.0,,
1989-10-04,30.25,5095000000.0,14746000000.0,9651000000.0,,
1989-10-05,30.25,5095000000.0,14746000000.0,9651000000.0,,
1989-10-06,30.13,5095000000.0,14746000000.0,9651000000.0,,
1989-10-09,30.0,5095000000.0,14746000000.0,9651000000.0,,
1989-10-10,30.25,5095000000.0,14746000000.0,9651000000.0,,
1989-10-11,30.38,5095000000.0,14746000000.0,9651000000.0,,
1989-10-12,30.38,5095000000.0,14746000000.0,9651000000.0,,
1989-10-13,29.75,5095000000.0,14746000000.0,9651000000.0,,
1989-10-16,29.75,5095000000.0,14746000000.0,9651000000.0,,
1989-10-17,30.25,5095000000.0,14746000000.0,9651000000.0,,
1989-10-18,30.25,5095000000.0,14746000000.0,9651000000.0,,
1989-10-19,30.38,5095000000.0,14746000000.0,9651000000.0,,
1989-10-20,30.5,5095000000.0,14746000000.0,9651000000.0,,
1989-10-23,30.5,5095000000.0,14746000000.0,9651000000.0,,
1989-10-24,30.25,5095000000.0,14746000000.0,9651000000.0,,
1989-10-25,30.5,5095000000.0,14746000000.0,9651000000.0,,
1989-10-26,30.25,5095000000.0,14746000000.0,9651000000.0,,
1989-10-27,30.38,5095000000.0,14746000000.0,9651000000.0,,
1989-10-30,30.5,5095000000.0,14746000000.0,9651000000.0,,
1989-10-31,30.88,5095000000.0,14746000000.0,9651000000.0,,
1989-11-01,31.0,5095000000.0,14746000000.0,9651000000.0,,
1989-11-02,30.88,5095000000.0,14746000000.0,9651000000.0,,
1989-11-03,30.88,5095000000.0,14746000000.0,9651000000.0,,
1989-11-06,29.75,5095000000.0,14746000000.0,9651000000.0,,
1989-11-07,30.13,5095000000.0,14746000000.0,9651000000.0,,
1989-11-08,30.38,5095000000.0,14746000000.0,9651000000.0,,
1989-11-09,30.38,5095000000.0,14746000000.0,9651000000.0,,
1989-11-10,30.5,5095000000.0,14746000000.0,9651000000.0,,
1989-11-13,30.63,5095000000.0,14746000000.0,9651000000.0,,
1989-11-14,30.75,5095000000.0,14746000000.0,9651000000.0,,
1989-11-15,31.0,5095000000.0,14746000000.0,9651000000.0,,
1989-11-16,30.75,5095000000.0,14746000000.0,9651000000.0,,
1989-11-17,30.75,5095000000.0,14746000000.0,9651000000.0,,
1989-11-20,30.38,5095000000.0,14746000000.0,9651000000.0,,
1989-11-21,30.25,5095000000.0,14746000000.0,9651000000.0,,
1989-11-22,30.5,5095000000.0,14746000000.0,9651000000.0,,
