date,close price,BIIB_SHE,BIIB_TA,BIIB_TL,market cap,PB Ratio
,,55000000.0,58000000.0,4000000.0,,
1991-09-17,3.13,55000000.0,58000000.0,4000000.0,,
1991-09-18,3.13,55000000.0,58000000.0,4000000.0,,
1991-09-19,3.15,55000000.0,58000000.0,4000000.0,,
1991-09-20,3.08,55000000.0,58000000.0,4000000.0,,
1991-09-23,2.96,55000000.0,58000000.0,4000000.0,,
1991-09-24,3.0,55000000.0,58000000.0,4000000.0,,
1991-09-25,3.04,55000000.0,58000000.0,4000000.0,,
1991-09-26,3.17,55000000.0,58000000.0,4000000.0,,
1991-09-27,3.33,55000000.0,58000000.0,4000000.0,,
1991-09-30,3.13,55000000.0,58000000.0,4000000.0,,
1991-10-01,3.08,55000000.0,58000000.0,4000000.0,,
1991-10-02,3.17,55000000.0,58000000.0,4000000.0,,
1991-10-03,2.96,55000000.0,58000000.0,4000000.0,,
1991-10-04,2.88,55000000.0,58000000.0,4000000.0,,
1991-10-07,2.67,55000000.0,58000000.0,4000000.0,,
1991-10-08,2.54,55000000.0,58000000.0,4000000.0,,
1991-10-09,2.52,55000000.0,58000000.0,4000000.0,,
1991-10-10,2.56,55000000.0,58000000.0,4000000.0,,
1991-10-11,2.69,55000000.0,58000000.0,4000000.0,,
1991-10-14,2.96,55000000.0,58000000.0,4000000.0,,
1991-10-15,3.31,55000000.0,58000000.0,4000000.0,,
1991-10-16,3.54,55000000.0,58000000.0,4000000.0,,
1991-10-17,3.17,55000000.0,58000000.0,4000000.0,,
1991-10-18,3.38,55000000.0,58000000.0,4000000.0,,
1991-10-21,3.29,55000000.0,58000000.0,4000000.0,,
1991-10-22,3.25,55000000.0,58000000.0,4000000.0,,
1991-10-23,3.17,55000000.0,58000000.0,4000000.0,,
1991-10-24,3.08,55000000.0,58000000.0,4000000.0,,
1991-10-25,3.0,55000000.0,58000000.0,4000000.0,,
1991-10-28,2.96,55000000.0,58000000.0,4000000.0,,
1991-10-29,3.17,55000000.0,58000000.0,4000000.0,,
1991-10-30,3.17,55000000.0,58000000.0,4000000.0,,
1991-10-31,3.08,55000000.0,58000000.0,4000000.0,,
1991-11-01,3.04,55000000.0,58000000.0,4000000.0,,
1991-11-04,2.96,55000000.0,58000000.0,4000000.0,,
1991-11-05,2.75,55000000.0,58000000.0,4000000.0,,
1991-11-06,2.67,55000000.0,58000000.0,4000000.0,,
1991-11-07,2.54,55000000.0,58000000.0,4000000.0,,
1991-11-08,2.71,55000000.0,58000000.0,4000000.0,,
1991-11-11,2.71,55000000.0,58000000.0,4000000.0,,
1991-11-12,2.92,55000000.0,58000000.0,4000000.0,,
1991-11-13,2.92,55000000.0,58000000.0,4000000.0,,
1991-11-14,2.98,55000000.0,58000000.0,4000000.0,,
1991-11-15,2.38,55000000.0,58000000.0,4000000.0,,
1991-11-18,2.46,55000000.0,58000000.0,4000000.0,,
1991-11-19,2.38,55000000.0,58000000.0,4000000.0,,
1991-11-20,2.21,55000000.0,58000000.0,4000000.0,,
1991-11-21,2.25,55000000.0,58000000.0,4000000.0,,
1991-11-22,2.08,55000000.0,58000000.0,4000000.0,,
1991-11-25,2.08,55000000.0,58000000.0,4000000.0,,
