date,NEE,NEE_SHE,PB Ratio
2001-11-09,,5979000000.0,
2001-12-31,4765800000.0,5979000000.0,0.7970898143502257
2002-01-02,4813120000.0,5979000000.0,0.805004181301221
2002-01-03,4782700000.0,5979000000.0,0.7999163739755812
2002-01-04,4757350000.0,5979000000.0,0.795676534537548
2002-01-07,4774250000.0,5979000000.0,0.7985030941629035
2002-01-08,4698200000.0,5979000000.0,0.7857835758488041
2002-01-09,4708340000.0,5979000000.0,0.7874795116240174
2002-01-10,4718480000.0,5979000000.0,0.7891754473992306
2002-01-11,4686370000.0,5979000000.0,0.7838049841110554
2002-01-14,4760730000.0,5979000000.0,0.7962418464626192
2002-01-15,4816500000.0,5979000000.0,0.805569493226292
2002-01-16,4808050000.0,5979000000.0,0.8041562134136143
2002-01-17,4737070000.0,5979000000.0,0.7922846629871216
2002-01-18,4753970000.0,5979000000.0,0.795111222612477
2002-01-22,4728620000.0,5979000000.0,0.7908713831744438
2002-01-23,4740450000.0,5979000000.0,0.7928499749121927
2002-01-24,4745520000.0,5979000000.0,0.7936979427997993
2002-01-25,4733690000.0,5979000000.0,0.7917193510620505
2002-01-28,4694820000.0,5979000000.0,0.7852182639237331
2002-01-29,4441320000.0,5979000000.0,0.742819869543402
2002-01-30,4464980000.0,5979000000.0,0.7467770530188995
2002-01-31,4530890000.0,5979000000.0,0.7578006355577855
2002-02-01,4500470000.0,5979000000.0,0.7527128282321458
2002-02-04,4471740000.0,5979000000.0,0.7479076768690417
2002-02-05,4390620000.0,5979000000.0,0.7343401906673357
2002-02-06,4341610000.0,5979000000.0,0.7261431677538049
2002-02-07,4368650000.0,5979000000.0,0.7306656631543736
2002-02-08,4373720000.0,5979000000.0,0.7315136310419803
2002-02-11,4448080000.0,5979000000.0,0.743950493393544
2002-02-12,4508920000.0,5979000000.0,0.7541261080448235
2002-02-13,4534270000.0,5979000000.0,0.7583659474828567
2002-02-14,4559620000.0,5979000000.0,0.7626057869208898
2002-02-15,4519060000.0,5979000000.0,0.7558220438200368
2002-02-19,4470050000.0,5979000000.0,0.7476250209065061
2002-02-20,4464980000.0,5979000000.0,0.7467770530188995
2002-02-21,4422730000.0,5979000000.0,0.7397106539555109
2002-02-22,4483570000.0,5979000000.0,0.7498862686067904
2002-02-25,4432870000.0,5979000000.0,0.7414065897307242
2002-02-26,4473430000.0,5979000000.0,0.7481903328315772
2002-02-27,4492020000.0,5979000000.0,0.7512995484194681
2002-02-28,4488640000.0,5979000000.0,0.7507342364943971
2002-03-01,4578210000.0,5979000000.0,0.7657150025087808
2002-03-04,4615390000.0,5979000000.0,0.7719334336845627
2002-03-05,4671160000.0,5979000000.0,0.7812610804482355
2002-03-06,4748900000.0,5979000000.0,0.7942632547248704
2002-03-07,4745520000.0,5979000000.0,0.7936979427997993
2002-03-08,4733690000.0,5979000000.0,0.7917193510620505
2002-03-11,4816500000.0,5979000000.0,0.805569493226292
2002-03-12,4792840000.0,5979000000.0,0.8016123097507944
2002-03-13,4809740000.0,5979000000.0,0.8044388693761498
2002-03-14,4884100000.0,5979000000.0,0.8168757317277137
2002-03-15,4889170000.0,5979000000.0,0.8177236996153203
2002-03-18,4887480000.0,5979000000.0,0.8174410436527847
2002-03-19,4887480000.0,5979000000.0,0.8174410436527847
2002-03-20,4919590000.0,5979000000.0,0.8228115069409601
2002-03-21,5015920000.0,5979000000.0,0.8389228968054858
2002-03-22,5002400000.0,5979000000.0,0.8366616491052016
2002-03-25,4983810000.0,5979000000.0,0.8335524335173106
2002-03-26,4956770000.0,5979000000.0,0.829029938116742
2002-03-27,5007470000.0,5979000000.0,0.8375096169928081
2002-03-28,5032820000.0,5979000000.0,0.8417494564308413
2002-03-29,,0.0,
2002-04-01,4985500000.0,0.0,inf
2002-04-02,5024370000.0,0.0,inf
2002-04-03,5014230000.0,0.0,inf
2002-04-04,5078450000.0,0.0,inf
2002-04-05,5103800000.0,0.0,inf
2002-04-08,5112250000.0,0.0,inf
2002-04-09,5041270000.0,0.0,inf
2002-04-10,5151120000.0,0.0,inf
2002-04-11,5048030000.0,0.0,inf
2002-04-12,5125770000.0,0.0,inf
2002-04-15,5112250000.0,0.0,inf
2002-04-16,5152810000.0,0.0,inf
2002-04-17,5162950000.0,0.0,inf
2002-04-18,5217030000.0,0.0,inf
2002-04-19,5277870000.0,0.0,inf
2002-04-22,5244070000.0,0.0,inf
2002-04-23,5274490000.0,0.0,inf
2002-04-24,5315050000.0,0.0,inf
2002-04-25,5277870000.0,0.0,inf
2002-04-26,5223790000.0,0.0,inf
2002-04-29,5309980000.0,0.0,inf
2002-04-30,5365750000.0,0.0,inf
2002-05-01,5323500000.0,0.0,inf
2002-05-02,5323500000.0,0.0,inf
2002-05-03,5304910000.0,0.0,inf
2002-05-06,5267730000.0,0.0,inf
2002-05-07,5215340000.0,0.0,inf
2002-05-08,5259280000.0,0.0,inf
2002-05-09,5252520000.0,0.0,inf
2002-05-10,5262660000.0,0.0,inf
2002-05-13,5313360000.0,0.0,inf
2002-05-14,5365750000.0,0.0,inf
2002-05-15,5316740000.0,5813000000.0,0.914629279201789
2002-05-16,5228860000.0,5813000000.0,0.8995114398761397
2002-05-17,5242380000.0,5813000000.0,0.901837261310855
2002-05-20,5309980000.0,5813000000.0,0.9134663684844314
2002-05-21,5360680000.0,5813000000.0,0.9221881988646138
2002-05-22,5470530000.0,5813000000.0,0.9410854980216755
2002-05-23,5485740000.0,5813000000.0,0.9437020471357302
2002-05-24,5458699999.999999,5813000000.0,0.9390504042662995
2002-05-28,5424900000.0,5813000000.0,0.9332358506795114
2002-05-29,5391100000.0,5813000000.0,0.9274212970927233
2002-05-30,5364060000.0,5813000000.0,0.9227696542232926
2002-05-31,5323500000.0,5813000000.0,0.9157921899191468
2002-06-03,5054790000.0,5813000000.0,0.8695664889041803
2002-06-04,5070000000.0,5813000000.0,0.8721830380182349
2002-06-05,4999020000.0,5813000000.0,0.8599724754859797
2002-06-06,4782700000.0,5813000000.0,0.822759332530535
2002-06-07,4838470000.0,5813000000.0,0.8323533459487356
2002-06-10,4899310000.0,5813000000.0,0.8428195424049544
2002-06-11,4963530000.0,5813000000.0,0.853867194219852
2002-06-12,4966910000.0,5813000000.0,0.8544486495785308
2002-06-13,5058170000.0,5813000000.0,0.8701479442628591
2002-06-14,5049720000.0,5813000000.0,0.868694305866162
