date,close price,ABT_SHE,ABT_TA,ABT_TL,market cap,PB Ratio
,,2746000000.0,5173000000.0,2427000000.0,,
1989-09-19,3.6,2746000000.0,5173000000.0,2427000000.0,,
1989-09-20,3.54,2746000000.0,5173000000.0,2427000000.0,,
1989-09-21,3.48,2746000000.0,5173000000.0,2427000000.0,,
1989-09-22,3.51,2746000000.0,5173000000.0,2427000000.0,,
1989-09-25,3.46,2746000000.0,5173000000.0,2427000000.0,,
1989-09-26,3.44,2746000000.0,5173000000.0,2427000000.0,,
1989-09-27,3.49,2746000000.0,5173000000.0,2427000000.0,,
1989-09-28,3.59,2746000000.0,5173000000.0,2427000000.0,,
1989-09-29,3.58,2746000000.0,5173000000.0,2427000000.0,,
1989-10-02,3.62,2746000000.0,5173000000.0,2427000000.0,,
1989-10-03,3.65,2746000000.0,5173000000.0,2427000000.0,,
1989-10-04,3.7,2746000000.0,5173000000.0,2427000000.0,,
1989-10-05,3.74,2746000000.0,5173000000.0,2427000000.0,,
1989-10-06,3.76,2746000000.0,5173000000.0,2427000000.0,,
1989-10-09,3.79,2746000000.0,5173000000.0,2427000000.0,,
1989-10-10,3.82,2746000000.0,5173000000.0,2427000000.0,,
1989-10-11,3.79,2746000000.0,5173000000.0,2427000000.0,,
1989-10-12,3.76,2746000000.0,5173000000.0,2427000000.0,,
1989-10-13,3.45,2746000000.0,5173000000.0,2427000000.0,,
1989-10-16,3.65,2746000000.0,5173000000.0,2427000000.0,,
1989-10-17,3.65,2746000000.0,5173000000.0,2427000000.0,,
1989-10-18,3.72,2746000000.0,5173000000.0,2427000000.0,,
1989-10-19,3.79,2746000000.0,5173000000.0,2427000000.0,,
1989-10-20,3.77,2746000000.0,5173000000.0,2427000000.0,,
1989-10-23,3.79,2746000000.0,5173000000.0,2427000000.0,,
1989-10-24,3.76,2746000000.0,5173000000.0,2427000000.0,,
1989-10-25,3.71,2746000000.0,5173000000.0,2427000000.0,,
1989-10-26,3.69,2746000000.0,5173000000.0,2427000000.0,,
1989-10-27,3.63,2746000000.0,5173000000.0,2427000000.0,,
1989-10-30,3.64,2746000000.0,5173000000.0,2427000000.0,,
1989-10-31,3.66,2746000000.0,5173000000.0,2427000000.0,,
1989-11-01,3.68,2746000000.0,5173000000.0,2427000000.0,,
1989-11-02,3.66,2746000000.0,5173000000.0,2427000000.0,,
1989-11-03,3.63,2746000000.0,5173000000.0,2427000000.0,,
1989-11-06,3.56,2746000000.0,5173000000.0,2427000000.0,,
1989-11-07,3.6,2746000000.0,5173000000.0,2427000000.0,,
1989-11-08,3.65,2746000000.0,5173000000.0,2427000000.0,,
1989-11-09,3.68,2746000000.0,5173000000.0,2427000000.0,,
1989-11-10,3.75,2746000000.0,5173000000.0,2427000000.0,,
1989-11-13,3.72,2746000000.0,5173000000.0,2427000000.0,,
1989-11-14,3.68,2746000000.0,5173000000.0,2427000000.0,,
